query,subject,score
NP_013207.1,XP_033767880.1,9037.0
NP_011967.1,XP_033766769.1,7497.0
NP_012980.1,XP_033767673.1,7396.0
NP_010745.3,XP_033765669.1,6348.0
NP_013060.1,XP_033767742.1,6117.0
NP_013188.1,XP_033767861.1,5923.0
NP_014560.1,XP_033769076.1,5851.0
NP_009698.3,XP_033764732.1,5269.0
NP_011320.3,XP_033766183.1,5080.0
NP_009465.2,XP_033764517.1,5048.0
NP_012719.2,XP_033767436.1,5036.0
NP_013559.1,XP_033768181.1,5000.0
NP_012600.1,XP_033767328.1,4969.0
NP_015442.1,XP_033769862.1,4796.0
NP_012035.1,XP_033766833.1,4741.0
NP_012137.3,XP_033766926.1,4726.0
NP_009694.3,XP_033764728.1,4658.0
NP_009551.2,XP_033764594.1,4646.0
NP_014413.1,XP_033768948.1,4581.0
NP_012405.2,XP_033767160.1,4521.0
NP_014137.1,XP_033768698.1,4416.0
NP_010110.1,XP_033765104.1,4387.0
NP_116648.2,XP_033766059.1,4237.0
NP_012739.1,XP_033767454.1,4202.0
NP_013534.3,XP_033768158.1,4181.0
NP_116674.2,XP_033766083.1,4090.0
NP_011099.1,XP_033765989.1,4027.0
NP_011082.3,XP_033765973.1,3984.0
NP_010017.2,XP_033765024.1,3961.0
NP_011733.3,XP_033766552.1,3944.0
NP_013934.1,XP_033768510.1,3916.0
NP_011546.3,XP_033766382.1,3902.0
NP_009961.2,XP_033764974.1,3898.0
NP_011787.4,XP_033766599.1,3893.0
NP_013446.1,XP_033768079.1,3875.0
NP_015093.1,XP_033769542.1,3835.0
NP_011700.1,XP_033766519.1,3819.0
NP_013408.1,XP_033768047.1,3798.0
NP_012529.3,XP_033767265.1,3791.0
NP_010454.3,XP_033765409.1,3741.0
NP_015243.1,XP_033769684.1,3730.0
NP_012328.1,XP_033767095.1,3717.0
NP_013526.1,XP_033768151.1,3682.0
NP_009767.1,XP_033764800.1,3628.0
NP_011888.1,XP_033766693.1,3581.0
NP_014036.1,XP_033768609.1,3569.0
NP_010141.1,XP_033765131.1,3563.0
NP_013124.1,XP_033767802.1,3492.0
NP_014128.2,XP_033768691.1,3486.0
NP_011833.1,XP_033766640.1,3473.0
NP_014986.3,XP_033769450.1,3414.0
NP_011309.1,XP_033766174.1,3336.0
NP_010569.3,XP_033765508.1,3332.0
NP_116620.1,XP_033766035.1,3305.0
NP_015240.1,XP_033769681.1,3281.0
NP_013885.1,XP_033768464.1,3281.0
NP_014736.1,XP_033769232.1,3271.0
NP_013052.1,XP_033767736.1,3236.0
NP_012495.1,XP_033767237.1,3235.0
NP_012426.1,XP_033767178.1,3231.0
NP_014428.1,XP_033768962.1,3208.0
NP_014227.4,XP_033768778.1,3199.0
NP_011093.3,XP_033765983.1,3194.0
NP_012674.1,XP_033767397.1,3190.0
NP_010378.1,XP_033765342.1,3179.0
NP_014971.1,XP_033769437.1,3171.0
NP_010412.1,XP_033765372.1,3169.0
NP_014102.1,XP_033768668.1,3142.0
NP_012056.1,XP_033766854.1,3140.0
NP_013956.1,XP_033768532.1,3130.0
NP_015267.1,XP_033769705.1,3130.0
NP_010694.1,XP_033765627.1,3122.0
NP_012911.3,XP_033767610.1,3112.0
NP_012956.3,XP_033767654.1,3105.0
NP_010425.1,XP_033765383.1,3102.0
NP_012672.1,XP_033767395.1,3087.0
NP_009834.4,XP_033764864.1,3086.0
NP_015510.1,XP_033769923.1,3079.0
NP_014796.3,XP_033769286.1,3078.0
NP_011058.3,XP_033765953.1,3064.0
NP_014933.3,XP_033769406.1,3058.0
NP_010294.1,XP_033765265.1,3055.0
NP_013652.1,XP_033768260.1,3041.0
NP_014973.1,XP_033769439.1,3018.0
NP_010419.3,XP_033765379.1,2999.0
NP_014759.1,XP_033769253.1,2988.0
NP_013086.1,XP_033767764.1,2980.0
NP_013021.1,XP_033767712.1,2978.0
NP_013639.1,XP_033768246.1,2959.0
NP_013604.1,XP_033768218.1,2958.0
NP_014260.3,XP_033768806.1,2954.0
NP_010225.1,XP_033765208.1,2941.0
NP_011612.3,XP_033766441.1,2941.0
NP_011631.1,XP_033766456.1,2934.0
NP_011342.1,XP_033766202.1,2925.0
NP_011091.1,XP_033765981.1,2924.0
NP_013413.1,XP_033768053.1,2894.0
NP_009536.1,XP_033764582.1,2892.0
NP_011797.3,XP_033766609.1,2881.0
NP_116579.1,XP_033767394.1,2873.0
NP_014834.1,XP_033769321.1,2854.0
NP_009474.1,XP_033764524.1,2843.0
NP_013348.1,XP_033767998.1,2838.0
NP_014297.3,XP_033768839.1,2825.0
NP_011018.1,XP_033765915.1,2824.0
NP_014157.1,XP_033768717.1,2823.0
NP_010892.1,XP_033765791.1,2803.0
NP_012252.1,XP_033767029.1,2774.0
NP_012915.3,XP_033767614.1,2772.0
NP_013975.1,XP_033768551.1,2771.0
NP_013357.1,XP_033768005.1,2770.0
NP_009655.2,XP_033764693.1,2769.0
NP_009373.1,XP_033764444.1,2766.0
NP_015082.1,XP_033769532.1,2764.0
NP_014934.1,XP_033769407.1,2762.0
NP_011575.1,XP_033766408.1,2760.0
NP_012034.1,XP_033766832.1,2759.0
NP_009376.2,XP_033764447.1,2734.0
NP_009673.1,XP_033764709.1,2712.0
NP_013475.1,XP_033768106.1,2709.0
NP_011828.1,XP_033766635.1,2707.0
NP_014654.1,XP_033769162.1,2705.0
NP_010587.1,XP_033765525.1,2705.0
NP_010466.3,XP_033765420.1,2701.0
NP_014311.3,XP_033768852.1,2698.0
NP_010731.3,XP_033765657.1,2691.0
NP_010621.1,XP_033765559.1,2689.0
NP_015515.1,XP_033769928.1,2688.0
NP_010004.1,XP_033765013.1,2687.0
NP_015158.1,XP_033769604.1,2680.0
NP_013915.1,XP_033768492.1,2674.0
NP_011318.2,XP_033766181.1,2665.0
NP_116617.1,XP_033766031.1,2659.0
NP_009519.1,XP_033764564.1,2658.0
NP_009914.2,XP_033764935.1,2654.0
NP_013523.3,XP_033768148.1,2643.0
NP_012117.3,XP_033766906.1,2632.0
NP_010434.1,XP_033765391.1,2628.0
NP_009378.1,XP_033764449.1,2624.0
NP_013488.3,XP_033768117.1,2624.0
NP_014468.3,XP_033769000.1,2617.0
NP_012440.1,XP_033767191.1,2610.0
NP_012821.2,XP_033767526.1,2609.0
NP_010613.1,XP_033765552.1,2601.0
NP_013848.1,XP_033768432.1,2600.0
NP_013187.1,XP_033767860.1,2599.0
NP_014567.2,XP_033769082.1,2588.0
NP_015490.1,XP_033769904.1,2573.0
NP_009971.1,XP_033764983.1,2561.0
NP_010171.1,XP_033765158.1,2560.0
NP_014007.1,XP_033768582.1,2551.0
NP_014794.3,XP_033769284.1,2550.0
NP_012567.3,XP_033767297.1,2545.0
NP_009385.2,XP_033764456.1,2529.0
NP_013986.1,XP_033768561.1,2521.0
NP_012313.1,XP_033768997.1,2517.0
NP_012095.1,XP_033768997.1,2515.0
NP_010579.1,XP_033765517.1,2509.0
NP_013424.1,XP_033768062.1,2505.0
NP_012565.1,XP_033767295.1,2500.0
NP_012707.1,XP_033767424.1,2500.0
NP_010924.1,XP_033765821.1,2495.0
