query,subject,score
NP_593055.1,XP_449022.1,2933.0
NP_593861.1,XP_447350.1,2835.0
NP_593271.1,XP_449236.1,2726.0
NP_594133.1,XP_448821.1,2560.0
NP_593823.1,XP_445956.1,2256.0
NP_588501.1,XP_446406.1,2239.0
NP_595359.2,XP_445995.1,2236.0
NP_594032.1,XP_446406.1,2056.0
NP_594370.1,XP_445436.1,1996.0
NP_595673.1,XP_447415.1,1980.0
NP_596275.1,XP_445995.1,1972.0
NP_588370.1,XP_449846.1,1956.0
NP_596354.1,XP_448057.1,1950.0
NP_595971.1,XP_446406.1,1865.0
NP_594766.1,XP_446406.1,1824.0
NP_596560.1,XP_446387.1,1802.0
NP_594148.1,XP_444929.1,1774.0
NP_593101.2,XP_448959.1,1767.0
NP_593690.1,XP_448895.1,1714.0
NP_596300.1,XP_445928.1,1671.0
NP_595506.1,XP_449275.1,1667.0
NP_595900.1,XP_448518.1,1594.0
NP_595819.2,XP_447785.1,1571.0
NP_596080.2,XP_447036.1,1504.0
NP_596685.1,XP_445387.1,1502.0
NP_594681.1,XP_449840.1,1466.0
NP_593296.1,XP_448421.1,1440.0
NP_001342896.1,XP_444908.1,1396.0
NP_587863.1,XP_444908.1,1396.0
NP_596486.1,XP_446634.1,1394.0
NP_595777.1,XP_444849.1,1375.0
NP_595569.1,XP_446507.1,1367.0
NP_594314.1,XP_448559.1,1357.0
NP_592810.1,XP_448234.1,1329.0
NP_588285.1,XP_445123.1,1306.0
NP_593326.1,XP_448638.1,1296.0
NP_595805.1,XP_447949.1,1291.0
NP_592849.1,XP_449281.1,1286.0
NP_001342839.1,XP_447920.1,1286.0
NP_593287.2,XP_448116.1,1274.0
NP_595772.1,XP_446741.1,1268.0
NP_594360.1,XP_444794.1,1264.0
NP_593346.1,XP_449287.1,1259.0
NP_001342911.1,XP_445065.1,1249.0
NP_595435.1,XP_446497.1,1248.0
NP_587959.2,XP_444794.1,1247.0
NP_595402.1,XP_448376.1,1237.0
NP_592862.1,XP_444849.1,1233.0
NP_593943.3,XP_449053.1,1222.0
NP_587932.3,XP_447461.1,1216.0
NP_593669.1,XP_445495.1,1212.0
NP_594491.1,XP_447841.1,1201.0
NP_596124.1,XP_449097.1,1198.0
NP_001342861.1,XP_449279.1,1186.0
NP_001342779.1,XP_448238.1,1180.0
NP_592809.1,XP_448234.1,1174.0
NP_594882.1,XP_447863.1,1165.0
NP_593971.1,XP_448834.1,1154.0
NP_593640.1,XP_445923.1,1145.0
NP_595055.1,XP_449053.1,1133.0
NP_595256.1,XP_448264.1,1132.0
NP_594031.2,XP_445684.1,1126.0
NP_593474.1,XP_449135.1,1123.0
NP_593252.1,XP_449361.1,1123.0
NP_593025.1,XP_449286.1,1122.0
NP_595279.1,XP_447410.1,1105.0
NP_593660.1,XP_449279.1,1092.0
NP_587882.1,XP_449832.1,1088.0
NP_596437.2,XP_448264.1,1057.0
NP_593035.1,XP_447898.1,1055.0
NP_595937.1,XP_446279.1,1050.0
NP_594759.1,XP_449281.1,1043.0
NP_594555.1,XP_445724.2,1032.0
NP_588421.1,XP_446506.1,1031.0
NP_593704.1,XP_446506.1,1030.0
NP_595102.2,XP_445944.1,1029.0
NP_594396.1,XP_448323.1,1027.0
NP_596653.1,XP_446987.1,1020.0
NP_588492.1,XP_446003.1,1019.0
NP_593720.1,XP_448805.1,1011.0
NP_596189.3,XP_446075.1,1004.0
NP_595477.1,XP_447899.1,990.0
NP_594954.1,XP_445724.2,985.0
NP_588004.2,XP_448331.1,983.0
NP_593979.1,XP_445912.1,982.0
NP_594319.1,XP_447749.1,979.0
NP_592832.2,XP_448792.1,976.0
NP_587877.1,XP_449773.1,975.0
NP_593253.1,XP_447213.1,971.0
NP_595098.1,XP_447436.1,964.0
NP_594365.1,XP_448795.1,957.0
NP_595472.2,XP_446038.1,954.0
NP_001342702.1,XP_447141.1,947.0
NP_593482.1,XP_449030.1,947.0
NP_594861.1,XP_446743.1,944.0
NP_596180.1,XP_445638.1,942.0
NP_593459.1,XP_447319.1,940.0
NP_593609.1,XP_445575.1,937.0
NP_588472.2,XP_449556.1,935.0
NP_001342826.1,XP_449908.1,934.0
NP_593572.1,XP_447920.1,933.0
NP_595343.1,XP_448623.1,932.0
NP_596117.1,XP_449729.1,929.0
NP_593352.1,XP_447467.1,929.0
NP_595946.1,XP_449235.1,928.0
NP_593080.1,XP_445603.1,926.0
NP_594576.1,XP_444788.1,924.0
NP_595246.1,XP_448738.1,923.0
NP_588095.1,XP_445288.1,920.0
NP_001342781.1,XP_449396.1,915.0
NP_593691.1,XP_447840.1,914.0
NP_587771.1,XP_448179.1,911.0
NP_596614.1,XP_447986.1,910.0
NP_596503.1,XP_446531.1,906.0
NP_596732.1,XP_446712.1,905.0
NP_596713.1,XP_449804.1,896.0
NP_001342849.1,XP_448870.1,895.0
NP_594186.1,XP_446650.1,892.0
NP_594862.1,XP_449624.1,891.0
NP_593777.1,XP_444829.1,887.0
NP_587890.1,XP_449557.1,887.0
NP_596545.1,XP_449582.1,885.0
NP_593245.1,XP_445544.1,884.0
NP_595793.1,XP_448323.1,880.0
NP_596011.1,XP_448593.1,877.0
NP_588025.2,XP_445920.1,872.0
NP_595949.1,XP_446311.1,867.0
NP_595438.1,XP_448432.1,863.0
NP_595792.1,XP_445539.1,860.0
NP_595148.1,XP_444781.1,858.0
NP_596066.1,XP_445471.1,858.0
NP_587701.1,XP_448558.1,855.0
NP_588027.1,XP_444914.1,853.0
NP_593112.1,XP_448952.1,853.0
NP_587900.1,XP_446808.1,853.0
NP_596800.2,XP_445315.1,850.0
NP_593218.1,XP_449870.1,845.0
NP_594623.1,XP_445210.1,839.0
NP_593437.1,XP_448693.1,837.0
NP_593520.1,XP_448390.1,835.0
NP_001342928.1,XP_446186.1,835.0
NP_595086.1,XP_449801.1,834.0
NP_594538.2,XP_449929.1,828.0
NP_595837.1,XP_448674.1,823.0
NP_595890.2,XP_446462.1,820.0
NP_593254.1,XP_446164.1,818.0
NP_594919.1,XP_449761.1,818.0
NP_587757.1,XP_448561.1,816.0
NP_595255.1,XP_448561.1,816.0
NP_594440.1,XP_448561.1,816.0
NP_588091.1,XP_447327.1,815.0
NP_588344.1,XP_446716.1,815.0
NP_593935.1,XP_446421.1,813.0
NP_596745.1,XP_448972.1,813.0
NP_595304.1,XP_445685.1,813.0
NP_596526.1,XP_445310.1,812.0
NP_595586.1,XP_446336.1,812.0
NP_594902.1,XP_448497.1,809.0
NP_593151.1,XP_446820.1,799.0
NP_588114.1,XP_447742.1,797.0
NP_596289.1,XP_445058.1,797.0
NP_594290.1,XP_447432.1,791.0
NP_588291.2,XP_445089.1,791.0
NP_596233.1,XP_446003.1,791.0
NP_594488.1,XP_449931.1,786.0
NP_595153.2,XP_446684.1,786.0
NP_001342717.1,XP_447703.1,785.0
NP_595998.1,XP_445960.2,785.0
NP_596319.1,XP_446808.1,785.0
NP_588142.1,XP_446663.1,784.0
NP_596355.1,XP_446549.1,783.0
NP_595892.1,XP_448737.1,780.0
NP_594690.1,XP_449422.1,780.0
NP_595810.1,XP_446661.1,780.0
NP_596209.1,XP_448220.1,772.0
NP_593729.1,XP_445144.1,768.0
NP_592894.1,XP_448482.1,766.0
NP_593277.1,XP_445997.1,764.0
NP_594312.1,XP_446141.1,759.0
NP_596635.1,XP_447033.1,758.0
NP_594155.1,XP_449208.1,758.0
NP_596014.1,XP_445662.1,754.0
NP_593816.1,XP_447742.1,754.0
NP_001342707.1,XP_447187.1,753.0
NP_593483.1,XP_445260.1,753.0
NP_593890.1,XP_444795.1,749.0
NP_595409.1,XP_445631.1,748.0
NP_595335.1,XP_447017.1,745.0
NP_596329.1,XP_445313.1,744.0
NP_596162.1,XP_444855.1,739.0
NP_594448.2,XP_446852.1,738.0
NP_595382.1,XP_448375.1,738.0
NP_594263.2,XP_446189.1,736.0
NP_593129.1,XP_444991.1,735.0
NP_595095.1,XP_449923.1,735.0
NP_593069.1,XP_447015.1,728.0
NP_596735.1,XP_445093.1,727.0
NP_593894.1,XP_445066.1,726.0
NP_595403.1,XP_448698.1,726.0
NP_593017.1,XP_449136.1,726.0
NP_001018299.1,XP_445907.1,725.0
NP_596797.1,XP_447770.1,724.0
NP_001342720.1,XP_448531.1,723.0
NP_595618.1,XP_448768.2,723.0
NP_001342776.1,XP_447044.1,722.0
NP_001342761.1,XP_447585.1,720.0
NP_592939.1,XP_447591.1,719.0
NP_596431.1,XP_445172.1,718.0
NP_595580.1,XP_445271.1,717.0
NP_594459.2,XP_448765.1,717.0
NP_594564.1,XP_448044.1,717.0
NP_594219.2,XP_445306.1,716.0
NP_594811.1,XP_447891.1,716.0
NP_587795.1,XP_448833.1,714.0
NP_001342853.1,XP_446388.1,708.0
NP_596381.1,XP_449902.1,707.0
NP_588235.1,XP_449268.1,706.0
NP_596077.1,XP_444859.1,703.0
NP_588086.1,XP_449253.1,702.0
NP_595898.1,XP_447610.1,702.0
NP_588348.1,XP_447087.1,702.0
NP_595686.2,XP_447496.1,701.0
NP_596805.1,XP_445972.1,700.0
NP_596650.1,XP_448766.1,699.0
NP_595155.1,XP_447412.1,699.0
NP_594288.2,XP_449941.1,698.0
NP_596774.1,XP_445079.1,697.0
NP_595524.1,XP_449533.1,697.0
NP_595248.1,XP_449713.1,694.0
NP_596523.1,XP_448941.1,693.0
NP_588149.1,XP_446609.1,691.0
NP_595106.1,XP_445079.1,691.0
NP_594205.1,XP_448136.1,688.0
NP_592919.1,XP_448292.1,687.0
NP_596049.2,XP_446063.1,687.0
NP_593995.1,XP_447461.1,686.0
NP_594783.1,XP_446216.1,686.0
NP_594867.1,XP_448725.1,686.0
NP_595530.1,XP_447138.1,686.0
NP_588502.1,XP_449947.1,684.0
NP_595640.1,XP_446843.1,684.0
NP_592838.1,XP_448213.1,683.0
NP_594068.1,XP_449434.1,683.0
NP_595702.1,XP_448685.1,682.0
NP_595991.2,XP_446850.1,682.0
NP_594652.1,XP_447757.1,681.0
NP_588132.1,XP_448853.1,679.0
NP_593260.1,XP_446916.1,679.0
NP_592986.1,XP_448908.1,677.0
NP_594346.1,XP_445932.1,677.0
NP_594788.2,XP_447282.1,675.0
NP_594731.1,XP_445233.1,675.0
NP_595299.2,XP_446107.1,675.0
NP_594558.1,XP_445860.1,674.0
NP_594060.2,XP_449119.1,671.0
NP_001342921.1,XP_448582.1,670.0
NP_594135.1,XP_448088.1,666.0
NP_039499.1,NP_818778.1,664.0
NP_594585.1,XP_445860.1,664.0
NP_596153.1,XP_448373.1,662.0
NP_593318.2,XP_447396.1,661.0
NP_594037.1,XP_446048.1,659.0
NP_595369.1,XP_446723.1,658.0
NP_001342827.1,XP_445315.1,658.0
NP_596458.1,XP_448111.1,655.0
NP_588352.1,XP_445690.1,655.0
NP_593896.1,XP_445323.1,655.0
NP_595939.1,XP_445278.2,652.0
NP_587878.1,XP_449774.1,651.0
NP_595341.1,XP_449943.1,648.0
NP_587951.1,XP_445935.1,648.0
NP_001342870.1,XP_444885.1,647.0
NP_593321.1,XP_446640.1,647.0
NP_588141.1,XP_448669.1,647.0
NP_588397.3,XP_444816.1,646.0
NP_588033.1,XP_448898.1,646.0
NP_596410.1,XP_447494.1,642.0
NP_596103.2,XP_446566.1,640.0
NP_595125.1,XP_444856.1,640.0
NP_596324.1,XP_447399.1,639.0
NP_593496.1,XP_446057.1,639.0
NP_594878.1,XP_446954.1,638.0
NP_594442.1,XP_446046.1,638.0
NP_587938.1,XP_449316.1,637.0
NP_593966.1,XP_447076.1,637.0
NP_588225.1,XP_445722.1,637.0
NP_594261.1,XP_449077.1,636.0
NP_594233.1,XP_446411.1,632.0
NP_587731.1,XP_447064.1,628.0
NP_593668.2,XP_446048.1,627.0
NP_596607.1,XP_448887.1,627.0
NP_001342968.1,XP_448046.1,627.0
NP_596494.2,XP_445244.1,625.0
NP_595480.1,XP_447462.1,624.0
NP_587868.1,XP_448210.1,624.0
NP_001342845.1,XP_449940.1,622.0
NP_594487.2,XP_448983.1,620.0
NP_593165.1,XP_447970.1,619.0
NP_596710.1,XP_445289.1,617.0
NP_595238.1,XP_449493.1,615.0
NP_001342976.1,XP_449611.1,613.0
NP_587837.1,XP_449901.1,613.0
NP_596178.1,XP_449251.1,611.0
NP_592843.1,XP_449852.1,610.0
NP_595773.1,XP_449305.1,610.0
NP_596731.1,XP_448075.1,610.0
NP_596002.2,XP_446960.1,610.0
NP_595870.1,XP_445679.1,610.0
NP_596452.1,XP_448892.1,607.0
NP_593490.1,XP_448526.1,607.0
NP_592898.1,XP_445996.1,606.0
NP_593702.2,XP_448182.1,605.0
NP_596441.2,XP_448456.1,603.0
NP_587809.2,XP_448608.1,602.0
NP_001342913.1,XP_446989.1,600.0
NP_595746.1,XP_446776.1,600.0
NP_595903.1,XP_447360.1,595.0
NP_596817.1,XP_447637.1,595.0
NP_593718.2,XP_446968.1,593.0
NP_595599.1,XP_445151.1,593.0
NP_588116.1,XP_446572.1,591.0
NP_595871.1,XP_448362.1,590.0
NP_001342919.1,XP_448294.1,589.0
NP_596113.2,XP_448990.1,589.0
NP_588437.1,XP_448634.1,589.0
NP_596527.1,XP_448146.1,588.0
NP_595368.1,XP_444941.1,587.0
NP_596632.1,XP_448210.1,587.0
NP_594780.1,XP_446452.1,585.0
NP_593471.1,XP_446452.1,585.0
NP_593371.1,XP_449499.1,584.0
NP_595406.1,XP_445547.1,584.0
NP_594853.1,XP_446572.1,583.0
NP_594105.2,XP_445447.1,583.0
NP_595342.1,XP_447981.1,583.0
NP_594680.1,XP_449070.1,582.0
NP_588211.1,XP_449943.1,581.0
NP_593377.1,XP_449280.1,581.0
NP_588050.1,XP_447903.1,580.0
NP_595362.1,XP_448869.1,580.0
NP_588384.1,XP_447855.1,579.0
NP_588323.1,XP_447468.1,578.0
NP_596016.1,XP_449206.1,578.0
NP_596807.1,XP_449354.1,578.0
NP_593077.1,XP_447356.1,578.0
NP_593754.1,XP_446362.1,576.0
NP_595531.1,XP_447140.1,575.0
NP_594664.1,XP_448445.1,574.0
NP_593749.1,XP_448309.1,573.0
NP_596730.1,XP_449113.1,572.0
NP_595163.1,XP_446322.1,572.0
