query,subject,score
NP_593861.1,XP_451233.1,3035.0
NP_593055.1,XP_454643.1,2945.0
NP_593271.1,XP_455355.1,2716.0
NP_594133.1,XP_454839.1,2640.0
NP_595359.2,XP_452152.1,2478.0
NP_593823.1,XP_452914.1,2236.0
NP_588501.1,XP_451796.1,2195.0
NP_588370.1,XP_455973.1,2142.0
NP_596275.1,XP_452152.1,2135.0
NP_594032.1,XP_451796.1,2039.0
NP_595673.1,XP_455310.1,2019.0
NP_595777.1,XP_456065.1,2013.0
NP_594370.1,XP_451653.1,2004.0
NP_596354.1,XP_452312.1,1946.0
NP_595971.1,XP_451796.1,1867.0
NP_592862.1,XP_456065.1,1830.0
NP_594766.1,XP_451796.1,1819.0
NP_593101.2,XP_451784.1,1790.0
NP_594148.1,XP_455531.1,1783.0
NP_596560.1,XP_451432.1,1760.0
NP_593690.1,XP_455128.1,1723.0
NP_596300.1,XP_456115.1,1697.0
NP_595506.1,XP_454912.1,1677.0
NP_593346.1,XP_452995.1,1593.0
NP_595900.1,XP_452456.1,1575.0
NP_595819.2,XP_451816.1,1574.0
NP_594681.1,XP_455965.1,1519.0
NP_596685.1,XP_455224.1,1506.0
NP_596080.2,XP_455023.1,1484.0
NP_592810.1,XP_453046.1,1481.0
NP_593296.1,XP_451889.1,1420.0
NP_596486.1,XP_451177.1,1408.0
NP_001342896.1,XP_454080.1,1400.0
NP_587863.1,XP_454080.1,1400.0
NP_594314.1,XP_451939.1,1385.0
NP_595569.1,XP_454879.1,1344.0
NP_593669.1,XP_455642.1,1322.0
NP_588285.1,XP_455632.1,1315.0
NP_001342839.1,XP_455141.1,1315.0
NP_593326.1,XP_456167.1,1309.0
NP_592849.1,XP_452988.1,1300.0
NP_594360.1,XP_451395.1,1295.0
NP_595805.1,XP_452818.1,1292.0
NP_587959.2,XP_451395.1,1283.0
NP_595435.1,XP_453724.1,1261.0
NP_593287.2,XP_455337.1,1254.0
NP_595772.1,XP_455282.1,1251.0
NP_592809.1,XP_453033.1,1249.0
NP_001342911.1,XP_454672.1,1236.0
NP_594491.1,XP_452551.1,1234.0
NP_595402.1,XP_452090.1,1232.0
NP_587932.3,XP_453219.1,1230.0
NP_593943.3,XP_455982.1,1216.0
NP_594882.1,XP_453334.1,1210.0
NP_001342779.1,XP_452166.1,1209.0
NP_001342861.1,XP_452985.1,1207.0
NP_596124.1,XP_454020.1,1185.0
NP_593971.1,XP_454958.1,1174.0
NP_593640.1,XP_455190.1,1161.0
NP_594031.2,XP_452974.1,1132.0
NP_595256.1,XP_454695.1,1126.0
NP_593474.1,XP_454537.1,1125.0
NP_593025.1,XP_452994.1,1120.0
NP_595055.1,XP_455982.1,1118.0
NP_595279.1,XP_455301.1,1115.0
NP_593660.1,XP_452985.1,1085.0
