query,subject,score
NP_593861.1,XP_033766833.1,3059.0
NP_593055.1,XP_033767160.1,2932.0
NP_593271.1,XP_033768948.1,2712.0
NP_594133.1,XP_033765104.1,2567.0
NP_595359.2,XP_033767436.1,2300.0
NP_593823.1,XP_033769542.1,2237.0
NP_588501.1,XP_033768079.1,2219.0
NP_595777.1,XP_033766769.1,2152.0
NP_594032.1,XP_033768079.1,2053.0
NP_592862.1,XP_033766769.1,2028.0
NP_596275.1,XP_033767436.1,2011.0
NP_595673.1,XP_033765131.1,1988.0
NP_596354.1,XP_033768698.1,1968.0
NP_588370.1,XP_033767880.1,1957.0
NP_594370.1,XP_033767454.1,1947.0
NP_595971.1,XP_033768079.1,1845.0
NP_594766.1,XP_033766382.1,1805.0
NP_593101.2,XP_033769284.1,1779.0
NP_594148.1,XP_033766174.1,1775.0
NP_596560.1,XP_033766599.1,1740.0
NP_593690.1,XP_033769334.1,1724.0
NP_595506.1,XP_033769253.1,1693.0
NP_596300.1,XP_033769450.1,1674.0
NP_593346.1,XP_033765989.1,1670.0
NP_595900.1,XP_033764809.1,1578.0
NP_595819.2,XP_033769769.1,1571.0
NP_594681.1,XP_033765372.1,1516.0
NP_596080.2,XP_033769684.1,1491.0
NP_596685.1,XP_033767368.1,1479.0
NP_593296.1,XP_033766408.1,1436.0
NP_592810.1,XP_033767424.1,1425.0
NP_001342896.1,XP_033769269.1,1408.0
NP_587863.1,XP_033769269.1,1408.0
NP_596486.1,XP_033764447.1,1387.0
NP_595569.1,XP_033764526.1,1357.0
NP_593326.1,XP_033768813.1,1342.0
NP_594314.1,XP_033764709.1,1332.0
NP_592849.1,XP_033765983.1,1324.0
NP_001342839.1,XP_033767232.1,1320.0
NP_593669.1,XP_033766183.1,1315.0
NP_594360.1,XP_033766348.1,1312.0
NP_587959.2,XP_033769726.1,1305.0
NP_588285.1,XP_033768921.1,1298.0
NP_595805.1,XP_033768852.1,1283.0
NP_593287.2,XP_033765145.1,1275.0
NP_595772.1,XP_033766930.1,1258.0
NP_595402.1,XP_033768412.1,1258.0
NP_001342911.1,XP_033766553.1,1249.0
NP_001342861.1,XP_033765981.1,1238.0
NP_595435.1,XP_033766437.1,1231.0
NP_592809.1,XP_033767424.1,1224.0
NP_594491.1,XP_033766983.1,1220.0
NP_593943.3,XP_033765379.1,1218.0
NP_593971.1,XP_033765783.1,1203.0
NP_001342779.1,XP_033767429.1,1202.0
NP_587932.3,XP_033765265.1,1199.0
NP_596124.1,XP_033765168.1,1192.0
NP_594882.1,XP_033769610.1,1181.0
NP_593640.1,XP_033769444.1,1160.0
NP_593252.1,XP_033767394.1,1157.0
NP_595055.1,XP_033765379.1,1135.0
NP_593660.1,XP_033765981.1,1134.0
NP_593025.1,XP_033765988.1,1133.0
NP_593474.1,XP_033766911.1,1122.0
NP_594031.2,XP_033768046.1,1117.0
NP_587882.1,XP_033769407.1,1103.0
NP_595279.1,XP_033765126.1,1083.0
NP_593035.1,XP_033764577.1,1070.0
NP_595256.1,XP_033764679.1,1066.0
NP_594759.1,XP_033765342.1,1061.0
NP_595937.1,XP_033766250.1,1048.0
NP_593704.1,XP_033764527.1,1043.0
NP_588421.1,XP_033765925.1,1038.0
NP_594396.1,XP_033765946.1,1037.0
NP_595102.2,XP_033769556.1,1032.0
NP_592832.2,XP_033768491.1,1030.0
NP_593720.1,XP_033766996.1,1025.0
NP_594555.1,XP_033765409.1,1009.0
NP_596653.1,XP_033769131.1,1009.0
NP_596189.3,XP_033767100.1,1004.0
NP_588492.1,XP_033769437.1,998.0
NP_596437.2,XP_033764679.1,998.0
NP_595477.1,XP_033764576.1,996.0
NP_588004.2,XP_033769777.1,994.0
NP_593253.1,XP_033765826.1,991.0
NP_593979.1,XP_033766217.1,985.0
NP_001018299.1,XP_033766222.1,971.0
NP_594365.1,XP_033768488.1,970.0
NP_587877.1,XP_033768140.1,969.0
NP_593482.1,XP_033766202.1,969.0
NP_001342921.1,XP_033767673.1,962.0
NP_001342827.1,XP_033767742.1,959.0
NP_594576.1,XP_033766347.1,957.0
NP_593572.1,XP_033767232.1,957.0
NP_595343.1,XP_033764994.1,952.0
NP_595472.2,XP_033767845.1,950.0
NP_593080.1,XP_033768386.1,947.0
NP_594319.1,XP_033767241.1,946.0
NP_596614.1,XP_033766176.1,939.0
NP_001342826.1,XP_033766971.1,939.0
NP_588095.1,XP_033768131.1,937.0
NP_593459.1,XP_033767307.1,934.0
NP_595946.1,XP_033768508.1,932.0
NP_595098.1,XP_033766207.1,932.0
NP_594861.1,XP_033769406.1,931.0
NP_588472.2,XP_033769406.1,927.0
NP_593691.1,XP_033765887.1,922.0
NP_593609.1,XP_033769547.1,921.0
NP_593425.1,XP_033765092.1,917.0
NP_596180.1,XP_033766094.1,917.0
NP_594954.1,XP_033765409.1,915.0
NP_593352.1,XP_033765912.1,915.0
NP_594538.2,XP_033768590.1,915.0
NP_596503.1,XP_033767754.1,913.0
NP_596117.1,XP_033765487.1,911.0
NP_595246.1,XP_033765291.1,908.0
NP_587771.1,XP_033766744.1,902.0
NP_001342781.1,XP_033765559.1,899.0
NP_593245.1,XP_033767246.1,898.0
NP_001342849.1,XP_033767625.1,897.0
NP_593777.1,XP_033766331.1,893.0
NP_587890.1,XP_033768532.1,893.0
NP_596732.1,XP_033765341.1,892.0
NP_594862.1,XP_033769680.1,892.0
NP_595793.1,XP_033765946.1,890.0
NP_595392.1,XP_033767860.1,888.0
NP_592787.1,XP_033766011.1,888.0
NP_001342702.1,XP_033766148.1,885.0
NP_595949.1,XP_033765446.1,884.0
NP_588025.2,XP_033769441.1,882.0
NP_593218.1,XP_033764437.1,881.0
NP_588027.1,XP_033768423.1,874.0
NP_595018.1,XP_033768629.1,868.0
NP_595438.1,XP_033768747.1,867.0
NP_596800.2,XP_033767742.1,867.0
NP_596066.1,XP_033769826.1,864.0
NP_596011.1,XP_033767524.1,862.0
NP_595148.1,XP_033766334.1,860.0
NP_596545.1,XP_033764795.1,859.0
NP_594290.1,XP_033766210.1,857.0
NP_594186.1,XP_033768839.1,854.0
NP_593112.1,XP_033768822.1,851.0
NP_001342928.1,XP_033768022.1,850.0
NP_595792.1,XP_033767747.1,849.0
NP_593437.1,XP_033765465.1,847.0
NP_594623.1,XP_033764720.1,842.0
NP_587701.1,XP_033764708.1,837.0
NP_587900.1,XP_033769920.1,837.0
NP_596745.1,XP_033769301.1,830.0
NP_595086.1,XP_033765257.1,827.0
NP_596526.1,XP_033766173.1,823.0
NP_588091.1,XP_033767299.1,820.0
NP_595255.1,XP_033769830.1,818.0
NP_594440.1,XP_033769830.1,818.0
NP_593520.1,XP_033768431.1,817.0
NP_587757.1,XP_033769830.1,817.0
NP_594919.1,XP_033764507.1,816.0
NP_593254.1,XP_033764559.1,813.0
NP_595304.1,XP_033768047.1,810.0
NP_595837.1,XP_033766073.1,809.0
NP_593935.1,XP_033764714.1,806.0
NP_588344.1,XP_033765344.1,806.0
NP_595890.2,XP_033767704.1,806.0
NP_595586.1,XP_033766594.1,802.0
NP_595998.1,XP_033767477.1,801.0
NP_588114.1,XP_033766693.1,798.0
NP_588291.2,XP_033767922.1,798.0
NP_596233.1,XP_033769437.1,798.0
NP_594488.1,XP_033768592.1,796.0
NP_596289.1,XP_033765374.1,796.0
NP_596355.1,XP_033767176.1,795.0
NP_001342717.1,XP_033766464.1,795.0
NP_595153.2,XP_033768281.1,794.0
NP_594902.1,XP_033765669.1,786.0
NP_593151.1,XP_033767378.1,783.0
NP_594987.1,XP_033767091.1,782.0
NP_596319.1,XP_033769920.1,780.0
NP_595892.1,XP_033764657.1,775.0
NP_595810.1,XP_033767258.1,775.0
NP_595335.1,XP_033768117.1,771.0
NP_594690.1,XP_033764675.1,770.0
NP_001342707.1,XP_033766234.1,768.0
NP_593890.1,XP_033766349.1,767.0
NP_593483.1,XP_033766139.1,766.0
NP_594564.1,XP_033768713.1,765.0
NP_594312.1,XP_033768520.1,764.0
NP_593729.1,XP_033767287.1,762.0
NP_596635.1,XP_033764788.1,762.0
NP_596014.1,XP_033767778.1,761.0
NP_592894.1,XP_033768008.1,760.0
NP_594068.1,XP_033769604.1,759.0
NP_588142.1,XP_033767260.1,759.0
NP_593129.1,XP_033764902.1,757.0
NP_594459.2,XP_033766031.1,754.0
NP_595403.1,XP_033765469.1,753.0
NP_587795.1,XP_033765782.1,752.0
NP_594155.1,XP_033769194.1,750.0
NP_595382.1,XP_033768411.1,748.0
NP_595409.1,XP_033767743.1,747.0
NP_593277.1,XP_033767326.1,744.0
NP_594448.2,XP_033765515.1,740.0
NP_596209.1,XP_033769146.1,740.0
NP_595095.1,XP_033766587.1,739.0
NP_593069.1,XP_033768115.1,738.0
NP_596077.1,XP_033765565.1,738.0
NP_593816.1,XP_033766693.1,732.0
NP_596797.1,XP_033768393.1,731.0
NP_594219.2,XP_033769388.1,730.0
NP_594263.2,XP_033768025.1,727.0
NP_596162.1,XP_033766690.1,724.0
NP_593894.1,XP_033766552.1,723.0
NP_595618.1,XP_033766028.1,723.0
NP_001342761.1,XP_033769067.1,723.0
NP_596735.1,XP_033768094.1,721.0
NP_593260.1,XP_033767209.1,721.0
NP_596713.1,XP_033764594.1,719.0
NP_596329.1,XP_033768020.1,719.0
NP_596431.1,XP_033768836.1,718.0
NP_596049.2,XP_033766058.1,715.0
NP_588235.1,XP_033768177.1,714.0
NP_001342776.1,XP_033769674.1,714.0
NP_593017.1,XP_033766912.1,712.0
NP_595580.1,XP_033765857.1,710.0
NP_592939.1,XP_033769073.1,709.0
NP_595530.1,XP_033766145.1,708.0
NP_593995.1,XP_033769000.1,706.0
NP_595898.1,XP_033765839.1,706.0
NP_594811.1,XP_033764584.1,704.0
NP_595155.1,XP_033765128.1,702.0
NP_594288.2,XP_033768603.1,699.0
NP_596650.1,XP_033766030.1,698.0
NP_596858.1,XP_033764616.1,697.0
NP_588086.1,XP_033768260.1,697.0
NP_594060.2,XP_033764959.1,695.0
NP_596381.1,XP_033766974.1,694.0
NP_594652.1,XP_033767247.1,692.0
NP_596172.1,XP_033766926.1,691.0
NP_592838.1,XP_033768761.1,690.0
NP_588149.1,XP_033765064.1,689.0
NP_596805.1,XP_033767487.1,689.0
NP_595524.1,XP_033767898.1,687.0
NP_595686.2,XP_033768943.1,686.0
NP_594783.1,XP_033765429.1,684.0
NP_595640.1,XP_033769538.1,679.0
