query,subject,score
NP_593861.1,XP_001245132.2,3593.0
NP_593055.1,XP_001240175.1,3063.0
NP_594133.1,XP_001248715.1,2962.0
NP_593271.1,XP_001247056.1,2924.0
NP_595359.2,XP_001244924.2,2557.0
NP_593823.1,XP_001241314.1,2417.0
NP_588501.1,XP_001247982.1,2371.0
NP_595777.1,XP_001242569.2,2363.0
NP_593346.1,XP_012214356.1,2357.0
NP_594032.1,XP_001247982.1,2234.0
NP_594370.1,XP_004445014.1,2221.0
NP_592862.1,XP_001242569.2,2188.0
NP_596354.1,XP_001248123.1,2176.0
NP_596275.1,XP_001244924.2,2170.0
NP_595673.1,XP_001243803.1,2026.0
NP_595971.1,XP_001247982.1,2004.0
NP_596560.1,XP_001241737.1,1997.0
NP_594148.1,XP_001239951.1,1996.0
NP_594766.1,XP_001247982.1,1917.0
NP_593101.2,XP_001240650.2,1807.0
NP_588370.1,XP_001245947.2,1800.0
NP_592810.1,XP_001247190.2,1677.0
NP_595900.1,XP_001239952.1,1676.0
NP_596685.1,XP_001248455.1,1645.0
NP_596080.2,XP_001244437.1,1635.0
NP_594681.1,XP_001243950.2,1630.0
NP_593690.1,XP_001242390.1,1628.0
NP_595506.1,XP_001246195.2,1553.0
NP_001018282.1,XP_001241041.2,1545.0
NP_596500.1,XP_001241041.2,1543.0
NP_001342921.1,XP_001239562.1,1541.0
NP_588165.3,XP_001241041.2,1531.0
NP_596486.1,XP_001247037.1,1517.0
NP_594314.1,XP_001247720.1,1504.0
NP_001342827.1,XP_001247814.1,1491.0
NP_593217.1,XP_001243862.1,1480.0
NP_593669.1,XP_001247140.2,1469.0
NP_594538.2,XP_004446073.1,1451.0
NP_593296.1,XP_001242574.1,1443.0
NP_595819.2,XP_001247351.1,1428.0
NP_595619.1,XP_001241041.2,1410.0
NP_596300.1,XP_001243937.1,1409.0
NP_595805.1,XP_001249065.2,1402.0
NP_592849.1,XP_001241902.2,1400.0
NP_595569.1,XP_001243953.1,1394.0
NP_001342911.1,XP_001243319.1,1393.0
NP_001342896.1,XP_001245593.1,1374.0
NP_587863.1,XP_001245593.1,1374.0
NP_596124.1,XP_001239851.1,1364.0
NP_595772.1,XP_001247826.2,1361.0
NP_592809.1,XP_001247190.2,1332.0
NP_593370.1,XP_001248051.2,1323.0
NP_588285.1,XP_004446234.1,1319.0
NP_594360.1,XP_001242392.1,1318.0
NP_593326.1,XP_001245384.1,1311.0
NP_593252.1,XP_001246498.1,1305.0
NP_587959.2,XP_001242392.1,1305.0
NP_594491.1,XP_001244657.2,1301.0
NP_595402.1,XP_001241608.1,1297.0
NP_593253.1,XP_001246972.2,1290.0
NP_001342839.1,XP_001244717.1,1279.0
NP_593287.2,XP_001239786.1,1276.0
NP_001342779.1,XP_001246521.1,1274.0
NP_593943.3,XP_001242271.1,1264.0
NP_587932.3,XP_001247647.1,1254.0
NP_593971.1,XP_001246341.2,1246.0
NP_594414.1,XP_001239205.2,1230.0
NP_595256.1,XP_001240508.2,1216.0
NP_001342744.1,XP_001242301.1,1214.0
NP_587882.1,XP_001242459.2,1203.0
NP_594882.1,XP_001247926.1,1197.0
NP_593640.1,XP_001248510.1,1193.0
NP_593025.1,XP_001243936.2,1186.0
NP_593482.1,XP_001242618.1,1178.0
NP_595055.1,XP_001242271.1,1163.0
NP_588095.1,XP_001244993.1,1159.0
NP_595890.2,XP_001245180.1,1159.0
NP_593035.1,XP_001240981.1,1157.0
NP_594186.1,XP_001240726.1,1155.0
NP_594031.2,XP_001247958.1,1154.0
NP_596503.1,XP_001243782.1,1150.0
NP_587890.1,XP_001246553.1,1146.0
NP_001018299.1,XP_001242158.1,1138.0
NP_596800.2,XP_001247814.1,1134.0
NP_595686.2,XP_001247168.1,1132.0
NP_594555.1,XP_001246017.2,1124.0
NP_595435.1,XP_001248390.1,1120.0
NP_595950.1,XP_004444876.1,1116.0
NP_594759.1,XP_001241902.2,1113.0
NP_596713.1,XP_001247361.1,1113.0
NP_596180.1,XP_001240817.2,1110.0
NP_595279.1,XP_001240536.2,1108.0
NP_594861.1,XP_001242147.2,1105.0
NP_594954.1,XP_001246017.2,1102.0
NP_596437.2,XP_001240508.2,1098.0
NP_596689.2,XP_001248492.1,1096.0
NP_593260.1,XP_001245836.1,1095.0
NP_594813.1,XP_004446123.1,1094.0
NP_592832.2,XP_001241289.1,1093.0
NP_593080.1,XP_001242931.2,1089.0
NP_594396.1,XP_001243224.1,1087.0
NP_595392.1,XP_001246077.2,1077.0
NP_595102.2,XP_001245620.1,1073.0
NP_596653.1,XP_001243197.1,1071.0
NP_594069.2,XP_001246638.2,1064.0
NP_595357.1,XP_001241349.2,1061.0
NP_587900.1,XP_001245371.1,1053.0
NP_001342913.1,XP_001239453.1,1052.0
NP_593704.1,XP_001248723.1,1051.0
NP_588421.1,XP_001248723.1,1050.0
NP_595937.1,XP_001239544.1,1043.0
NP_588472.2,XP_001242147.2,1041.0
NP_593979.1,XP_001240434.1,1040.0
NP_595343.1,XP_001242613.1,1039.0
NP_594183.2,XP_001239876.2,1030.0
NP_588086.1,XP_001241723.2,1024.0
NP_594290.1,XP_001247953.2,1019.0
NP_596329.1,XP_001248316.1,1015.0
NP_588149.1,XP_001247210.1,1012.0
NP_594319.1,XP_001248568.1,1006.0
NP_588004.2,XP_001247247.2,1004.0
NP_595246.1,XP_001243667.2,1003.0
NP_593474.1,XP_001242631.1,1002.0
NP_593890.1,XP_001243029.1,1002.0
NP_588025.2,XP_001239691.1,1001.0
NP_588114.1,XP_012214130.1,999.0
NP_588344.1,XP_001241662.2,992.0
NP_596202.1,XP_001240069.1,991.0
NP_595477.1,XP_001246276.1,990.0
NP_595759.2,XP_001242778.2,987.0
NP_596526.1,XP_001248783.2,986.0
NP_593352.1,XP_001244621.1,985.0
NP_595403.1,XP_001243039.1,985.0
NP_596189.3,XP_001244575.2,982.0
NP_001342861.1,XP_001239291.1,979.0
NP_001342849.1,XP_001242550.1,977.0
NP_593894.1,XP_001243065.2,973.0
NP_596117.1,XP_001243073.1,971.0
NP_593572.1,XP_001244717.1,971.0
NP_588502.1,XP_001244573.1,967.0
NP_596171.1,XP_001239554.2,967.0
NP_593112.1,XP_001249057.1,965.0
NP_587766.1,XP_001239732.2,965.0
NP_596049.2,XP_001240439.2,963.0
NP_594576.1,XP_001241042.1,962.0
NP_593720.1,XP_001239149.1,957.0
NP_588116.1,XP_001242881.1,954.0
NP_593245.1,XP_001247458.1,954.0
NP_596545.1,XP_001240386.1,941.0
NP_594487.2,XP_001246769.1,940.0
NP_596614.1,XP_001246942.1,938.0
NP_595148.1,XP_001248435.1,937.0
NP_593660.1,XP_001239291.1,937.0
NP_593816.1,XP_012214130.1,934.0
NP_593609.1,XP_001239067.2,931.0
NP_594365.1,XP_001245288.1,931.0
NP_593691.1,XP_001239059.2,927.0
NP_593459.1,XP_001244995.1,926.0
NP_595963.1,XP_001244314.2,925.0
NP_587978.1,XP_001241041.2,925.0
NP_001342781.1,XP_001240571.2,924.0
NP_595472.2,XP_001241630.1,922.0
NP_595304.1,XP_001240308.1,922.0
NP_595837.1,XP_001244777.1,920.0
NP_596066.1,XP_001239980.2,918.0
NP_596732.1,XP_001239292.2,917.0
NP_595793.1,XP_001243224.1,917.0
NP_595086.1,XP_001248223.1,906.0
NP_593777.1,XP_001245634.1,905.0
NP_001342702.1,XP_001249025.1,902.0
NP_595946.1,XP_001241716.2,898.0
NP_001342928.1,XP_001242563.1,893.0
NP_001342707.1,XP_001240755.2,892.0
NP_594731.1,XP_001247943.2,891.0
NP_588492.1,XP_001242465.1,889.0
NP_593277.1,XP_001247514.1,889.0
NP_596086.1,XP_001247216.1,885.0
NP_595281.1,XP_001248084.1,881.0
