query,subject,score
NP_593861.1,XP_501687.2,3202.0
NP_593055.1,XP_503737.1,2989.0
NP_594133.1,XP_501118.1,2953.0
NP_593271.1,XP_501721.1,2781.0
NP_595359.2,XP_505106.1,2469.0
NP_588501.1,XP_504213.2,2278.0
NP_593823.1,XP_501096.1,2273.0
NP_594032.1,XP_504213.2,2173.0
NP_594370.1,XP_500912.1,2169.0
NP_595673.1,XP_501909.2,2157.0
NP_596275.1,XP_505106.1,2153.0
NP_593101.2,XP_502376.1,1952.0
NP_595971.1,XP_504213.2,1905.0
NP_596560.1,XP_500859.1,1904.0
NP_594148.1,XP_500150.1,1877.0
NP_588370.1,XP_500637.1,1852.0
NP_594766.1,XP_504213.2,1847.0
NP_593346.1,XP_505676.1,1790.0
NP_595506.1,XP_502142.1,1686.0
NP_593690.1,XP_500966.1,1682.0
NP_595900.1,XP_502210.1,1634.0
NP_596685.1,XP_502204.1,1608.0
NP_596354.1,XP_504422.1,1597.0
NP_596300.1,XP_505388.1,1578.0
NP_595777.1,XP_501349.1,1539.0
NP_594314.1,XP_503627.1,1536.0
NP_596080.2,XP_506078.1,1534.0
NP_595819.2,XP_503752.1,1533.0
NP_594681.1,XP_505337.1,1525.0
NP_593296.1,XP_506031.1,1483.0
NP_596486.1,XP_504778.1,1424.0
NP_001342896.1,XP_499612.1,1404.0
NP_587863.1,XP_499612.1,1404.0
NP_595569.1,XP_499609.1,1365.0
NP_596124.1,XP_499875.1,1357.0
NP_587932.3,XP_505559.1,1338.0
NP_594360.1,XP_501205.1,1334.0
NP_592810.1,XP_503458.2,1316.0
NP_592862.1,XP_501349.1,1309.0
NP_001342911.1,XP_505234.2,1306.0
NP_588285.1,XP_503895.1,1301.0
NP_593252.1,XP_502687.1,1288.0
NP_595805.1,XP_503213.1,1286.0
NP_592849.1,XP_501288.1,1279.0
NP_587959.2,XP_501205.1,1278.0
NP_592809.1,XP_503458.2,1277.0
NP_001342839.1,XP_502733.1,1275.0
NP_593217.1,XP_502441.2,1271.0
NP_593287.2,XP_505319.1,1271.0
NP_595772.1,XP_504734.2,1268.0
NP_593326.1,XP_500898.1,1256.0
NP_594491.1,XP_506109.1,1252.0
NP_595435.1,XP_505653.1,1244.0
NP_594538.2,XP_501149.1,1236.0
NP_587882.1,XP_503183.1,1235.0
NP_001342861.1,XP_501282.1,1233.0
NP_593669.1,XP_502953.1,1231.0
NP_595402.1,XP_503442.1,1218.0
NP_593943.3,XP_504380.1,1217.0
NP_001342779.1,XP_503611.1,1212.0
NP_593370.1,XP_503648.1,1195.0
NP_595256.1,XP_503399.1,1185.0
NP_594882.1,XP_504360.1,1183.0
NP_593025.1,XP_505677.1,1180.0
NP_593640.1,XP_500483.1,1164.0
NP_595055.1,XP_504380.1,1158.0
NP_593971.1,XP_505730.1,1148.0
NP_593474.1,XP_500771.1,1143.0
NP_592832.2,XP_499922.1,1140.0
NP_594031.2,XP_502616.2,1125.0
NP_594861.1,XP_503184.1,1113.0
NP_593660.1,XP_501282.1,1112.0
NP_593253.1,XP_500756.1,1085.0
NP_595937.1,XP_500940.1,1077.0
NP_596437.2,XP_503399.1,1071.0
NP_588472.2,XP_503184.1,1071.0
NP_594759.1,XP_501288.1,1060.0
NP_595686.2,XP_502638.1,1058.0
NP_593704.1,XP_502562.1,1054.0
NP_588421.1,XP_502562.1,1048.0
NP_594954.1,XP_503192.1,1045.0
NP_595102.2,XP_502109.1,1043.0
NP_596653.1,XP_503507.1,1039.0
NP_001342921.1,XP_504704.1,1039.0
NP_001342744.1,XP_500789.1,1038.0
NP_593720.1,XP_504850.1,1036.0
NP_593979.1,XP_503129.1,1033.0
NP_594365.1,XP_501578.1,1033.0
NP_587900.1,XP_504047.2,1027.0
NP_588492.1,XP_503362.1,1024.0
NP_596189.3,XP_503960.1,1024.0
NP_587877.1,XP_500841.1,1020.0
NP_001018299.1,XP_503715.2,1019.0
NP_593894.1,XP_503978.1,1018.0
NP_594555.1,XP_503192.1,1017.0
NP_593482.1,XP_502167.1,1012.0
NP_596202.1,XP_504787.1,1011.0
NP_588114.1,XP_505369.1,1007.0
NP_593572.1,XP_502733.1,994.0
NP_595343.1,XP_500372.1,992.0
NP_588149.1,XP_503741.1,986.0
NP_596180.1,XP_505843.1,981.0
NP_588086.1,XP_500744.1,972.0
NP_595246.1,XP_499639.1,969.0
NP_596503.1,XP_504490.1,969.0
NP_595279.1,XP_504161.1,969.0
NP_594319.1,XP_502696.2,963.0
NP_594576.1,XP_500383.1,961.0
NP_593816.1,XP_505369.1,952.0
NP_593609.1,XP_500490.1,951.0
NP_593459.1,XP_501940.2,949.0
NP_595098.1,XP_503736.1,948.0
NP_595148.1,XP_500973.1,946.0
NP_595946.1,XP_502897.1,945.0
NP_001342702.1,XP_505689.1,944.0
NP_593245.1,XP_503913.1,942.0
NP_595890.2,XP_500667.1,939.0
NP_594290.1,XP_500607.1,937.0
NP_587771.1,XP_500272.1,937.0
NP_595304.1,XP_504493.1,936.0
NP_001342826.1,XP_505278.1,935.0
NP_596117.1,XP_505330.1,933.0
NP_593352.1,XP_503874.1,931.0
NP_588004.2,XP_505008.1,930.0
NP_001342849.1,XP_502627.1,929.0
NP_587766.1,XP_502894.1,929.0
NP_595472.2,XP_502526.1,920.0
NP_595793.1,XP_504092.1,918.0
NP_593890.1,XP_502421.2,914.0
NP_596526.1,XP_502831.1,914.0
NP_593691.1,XP_501025.1,914.0
NP_001342781.1,XP_502425.1,908.0
NP_595477.1,XP_505001.1,904.0
NP_593260.1,XP_499623.1,899.0
NP_593777.1,XP_505845.1,896.0
NP_595392.1,XP_502000.1,893.0
NP_596732.1,XP_500182.1,890.0
NP_593437.1,XP_503471.1,890.0
NP_001342827.1,XP_505096.2,888.0
NP_593035.1,XP_505897.1,887.0
NP_596011.1,XP_501181.1,887.0
NP_588091.1,XP_501912.1,885.0
NP_593425.1,XP_499924.1,883.0
NP_596614.1,XP_500978.1,883.0
NP_593080.1,XP_503209.1,881.0
NP_596319.1,XP_504047.2,880.0
NP_594069.2,XP_501558.1,875.0
NP_595949.1,XP_500945.2,871.0
NP_594862.1,XP_500809.1,868.0
NP_593985.1,XP_502153.2,868.0
NP_588116.1,XP_501126.1,866.0
NP_595153.2,XP_503822.1,863.0
NP_594396.1,XP_504092.1,859.0
NP_588344.1,XP_505910.1,858.0
NP_594186.1,XP_503837.1,858.0
NP_588025.2,XP_505619.1,857.0
NP_595438.1,XP_499604.1,856.0
NP_593218.1,XP_499629.1,855.0
NP_593557.1,XP_499779.1,855.0
NP_588027.1,XP_503230.1,853.0
NP_596066.1,XP_503628.1,850.0
NP_596014.1,XP_505494.1,849.0
NP_595403.1,XP_505605.1,842.0
NP_592838.1,XP_503296.1,841.0
NP_593277.1,XP_504240.1,841.0
NP_596381.1,XP_505224.1,841.0
NP_593520.1,XP_503325.1,839.0
NP_594902.1,XP_500551.2,837.0
NP_594487.2,XP_002142995.1,837.0
NP_588291.2,XP_505057.1,831.0
NP_001342928.1,XP_499648.1,830.0
NP_596745.1,XP_501409.1,825.0
NP_593935.1,XP_503947.1,824.0
NP_596545.1,XP_501070.1,824.0
NP_594623.1,XP_504463.1,821.0
NP_596289.1,XP_501023.2,818.0
NP_594919.1,XP_504936.1,815.0
NP_001342707.1,XP_502107.2,815.0
NP_593254.1,XP_500526.1,814.0
NP_593151.1,XP_500475.2,812.0
NP_594731.1,XP_505028.1,811.0
NP_592894.1,XP_504920.1,811.0
NP_596329.1,XP_505078.1,810.0
NP_593331.2,XP_501810.1,810.0
NP_596431.1,XP_502484.1,804.0
NP_595586.1,XP_506024.1,804.0
NP_595810.1,XP_503078.1,804.0
NP_594060.2,XP_504732.1,803.0
NP_595837.1,XP_503508.1,803.0
NP_588142.1,XP_501701.1,800.0
NP_596233.1,XP_503362.1,800.0
NP_587757.1,XP_501628.1,798.0
NP_595255.1,XP_501628.1,798.0
NP_594440.1,XP_501628.1,798.0
NP_596355.1,XP_502070.1,793.0
NP_593112.1,XP_506103.1,793.0
NP_596172.1,XP_503214.1,790.0
NP_587701.1,XP_504855.1,789.0
NP_595892.1,XP_505490.1,785.0
NP_596209.1,XP_503300.1,780.0
NP_595248.1,XP_505669.1,779.0
NP_595382.1,XP_501277.1,779.0
NP_587795.1,XP_505729.1,778.0
NP_588235.1,XP_503558.1,773.0
NP_595060.1,XP_504871.1,772.0
NP_594219.2,XP_503756.1,772.0
NP_593483.1,XP_504508.1,769.0
NP_588050.1,XP_501356.1,768.0
NP_001342717.1,XP_500037.1,766.0
NP_592986.1,XP_504124.1,766.0
NP_596635.1,XP_505131.1,764.0
NP_588502.1,XP_505419.1,763.0
NP_596689.2,XP_500302.1,762.0
NP_595998.1,XP_500893.2,757.0
NP_594183.2,XP_504608.1,755.0
NP_596049.2,XP_503989.1,754.0
NP_587731.1,XP_506004.1,750.0
NP_595409.1,XP_504128.2,747.0
NP_594263.2,XP_504965.2,746.0
NP_595299.2,XP_505714.1,744.0
NP_595106.1,XP_504142.1,744.0
NP_594312.1,XP_500959.1,743.0
NP_592941.1,XP_505771.1,743.0
NP_594488.1,XP_503430.1,739.0
NP_593729.1,XP_502180.2,739.0
NP_595341.1,XP_502896.1,738.0
NP_596735.1,XP_501015.1,737.0
NP_593995.1,XP_505559.1,735.0
NP_596178.1,XP_504129.1,734.0
NP_594856.2,XP_499779.1,734.0
NP_595524.1,XP_501306.1,734.0
NP_593017.1,XP_505288.1,734.0
NP_001342776.1,XP_500368.1,731.0
NP_594690.1,XP_504542.1,728.0
NP_594652.1,XP_500281.1,727.0
NP_596805.1,XP_502698.1,727.0
NP_596774.1,XP_504142.1,726.0
NP_588132.1,XP_499685.1,725.0
NP_595046.1,XP_503319.1,725.0
NP_595792.1,XP_505704.2,724.0
NP_596090.2,XP_504539.2,724.0
NP_593490.1,XP_500574.1,723.0
NP_594824.1,XP_503470.1,722.0
NP_594288.2,XP_503682.1,717.0
NP_596153.1,XP_503444.1,716.0
NP_001342968.1,XP_502852.1,716.0
NP_594448.2,XP_503987.1,714.0
NP_596077.1,XP_504086.1,714.0
NP_592919.1,XP_503234.1,714.0
NP_596523.1,XP_504478.1,713.0
NP_596797.1,XP_499951.1,713.0
NP_595618.1,XP_502566.2,712.0
NP_595773.1,XP_501037.1,709.0
NP_593318.2,XP_504846.1,707.0
NP_596573.1,XP_505576.1,707.0
NP_596800.2,XP_505096.2,706.0
NP_588211.1,XP_502896.1,705.0
NP_001342720.1,XP_500492.1,703.0
NP_595580.1,XP_505301.1,703.0
NP_595238.1,XP_503924.1,703.0
NP_595369.1,XP_503068.1,700.0
NP_596410.1,XP_504618.1,698.0
NP_596452.1,XP_505254.1,697.0
NP_593321.1,XP_501844.1,697.0
NP_587856.1,XP_501471.1,697.0
NP_595898.1,XP_499738.1,697.0
NP_587890.1,XP_504582.1,696.0
NP_593966.1,XP_505854.1,694.0
NP_587938.1,XP_501693.1,692.0
NP_594442.1,XP_504288.1,692.0
NP_593129.1,XP_502611.1,691.0
NP_595095.1,XP_500938.1,691.0
NP_595530.1,XP_503654.1,688.0
NP_595725.2,XP_502272.1,687.0
NP_596650.1,XP_503384.1,687.0
NP_594811.1,XP_504613.1,686.0
NP_593069.1,XP_504899.1,684.0
NP_593371.1,XP_504948.1,682.0
NP_594783.1,XP_502110.1,682.0
NP_596324.1,XP_505690.1,681.0
NP_587951.1,XP_504653.1,681.0
NP_596713.1,XP_503151.1,679.0
NP_594699.1,XP_505213.2,679.0
NP_593860.1,XP_500497.2,679.0
NP_593191.1,XP_501728.1,679.0
NP_587868.1,XP_505993.1,678.0
NP_594564.1,XP_502853.1,677.0
NP_595702.1,XP_503115.1,677.0
NP_594037.1,XP_504017.1,677.0
NP_595009.1,XP_500683.1,676.0
NP_594205.1,XP_503951.1,675.0
NP_595640.1,XP_504636.2,674.0
NP_596162.1,XP_503566.1,674.0
NP_001342913.1,XP_002143063.1,671.0
NP_594878.1,XP_503903.1,670.0
NP_594135.1,XP_502178.1,670.0
NP_594867.1,XP_504912.1,670.0
NP_594106.1,XP_505435.1,669.0
NP_593094.1,XP_506122.1,669.0
NP_594068.1,XP_502101.1,669.0
NP_588352.1,XP_503144.1,669.0
NP_001342761.1,XP_504806.1,668.0
NP_595155.1,XP_505662.1,667.0
NP_596807.1,XP_503607.1,667.0
NP_594155.1,XP_502801.1,667.0
NP_593377.1,XP_501289.1,665.0
NP_596632.1,XP_505993.1,665.0
NP_595871.1,XP_501881.1,665.0
NP_594346.1,XP_505195.2,664.0
NP_595480.1,XP_504910.1,663.0
NP_594853.1,XP_501126.1,662.0
NP_595870.1,XP_502931.1,662.0
NP_588397.3,XP_501530.1,661.0
NP_593325.1,XP_506004.1,661.0
NP_588033.1,XP_502093.1,660.0
NP_595125.1,XP_503565.1,660.0
NP_596458.1,XP_506079.1,659.0
NP_594558.1,XP_503935.1,659.0
NP_596159.1,XP_501072.1,658.0
NP_594459.2,XP_499998.1,658.0
NP_593896.1,XP_505976.1,658.0
NP_593031.1,XP_504579.1,657.0
NP_596379.1,XP_505601.1,654.0
NP_596743.1,XP_505363.1,653.0
NP_001342870.1,XP_502605.1,652.0
NP_596575.1,XP_504209.2,652.0
NP_595939.1,XP_503164.1,652.0
NP_595362.1,XP_505974.1,650.0
NP_596086.1,XP_502013.1,650.0
