query,subject,score
NP_593861.1,XP_716279.1,3200.0
NP_593055.1,XP_712650.2,2933.0
NP_594133.1,XP_718845.2,2849.0
NP_593271.1,XP_718624.1,2746.0
NP_595359.2,XP_714879.2,2419.0
NP_595777.1,XP_716758.2,2314.0
NP_595673.1,XP_719414.1,2300.0
NP_593823.1,XP_723161.2,2285.0
NP_588370.1,XP_722762.2,2147.0
NP_588501.1,XP_721429.2,2135.0
NP_594370.1,XP_716817.1,2062.0
NP_596275.1,XP_714879.2,2058.0
NP_594032.1,XP_721429.2,2024.0
NP_596354.1,XP_712655.2,2001.0
NP_592862.1,XP_716758.2,1955.0
NP_596560.1,XP_721889.2,1939.0
NP_593101.2,XP_718172.1,1879.0
NP_594148.1,XP_710836.2,1865.0
NP_595971.1,XP_721429.2,1830.0
NP_594766.1,XP_721429.2,1733.0
NP_593690.1,XP_710802.1,1711.0
NP_595506.1,XP_715412.1,1696.0
NP_596300.1,XP_710723.2,1667.0
NP_595819.2,XP_720354.1,1658.0
NP_596080.2,XP_712928.2,1602.0
NP_596685.1,XP_717912.1,1587.0
NP_595900.1,XP_720913.2,1569.0
NP_594681.1,XP_722769.2,1558.0
NP_594314.1,XP_721469.2,1476.0
NP_593296.1,XP_711102.1,1464.0
NP_593346.1,XP_715407.2,1460.0
NP_001342896.1,XP_019330758.1,1403.0
NP_587863.1,XP_019330758.1,1403.0
NP_595569.1,XP_712413.1,1356.0
NP_596486.1,XP_719874.1,1342.0
NP_595805.1,XP_715530.2,1315.0
NP_594360.1,XP_717759.2,1314.0
NP_587959.2,XP_717759.2,1307.0
NP_588285.1,XP_711356.2,1300.0
NP_593326.1,XP_717375.1,1290.0
NP_596124.1,XP_717004.2,1284.0
NP_594491.1,XP_715320.1,1268.0
NP_587932.3,XP_718095.2,1263.0
NP_593287.2,XP_713945.1,1261.0
NP_001342839.1,XP_711675.2,1258.0
NP_001342861.1,XP_721533.2,1255.0
NP_592810.1,XP_715345.2,1247.0
NP_001342779.1,XP_716099.1,1239.0
NP_595772.1,XP_710646.1,1234.0
NP_595435.1,XP_710060.2,1234.0
NP_001342911.1,XP_718640.1,1229.0
NP_593640.1,XP_718082.1,1227.0
NP_593943.3,XP_721319.2,1227.0
NP_001342827.1,XP_711864.2,1214.0
NP_593252.1,XP_714270.2,1212.0
NP_001342921.1,XP_723208.2,1207.0
NP_594882.1,XP_718229.2,1202.0
NP_595402.1,XP_710986.2,1201.0
NP_592809.1,XP_715345.2,1194.0
NP_592849.1,XP_716771.2,1188.0
NP_595279.1,XP_721749.2,1187.0
NP_593669.1,XP_717136.2,1184.0
NP_593971.1,XP_711837.1,1183.0
NP_593025.1,XP_720409.1,1145.0
NP_595055.1,XP_721319.2,1138.0
NP_593660.1,XP_721533.2,1132.0
NP_595256.1,XP_712654.1,1128.0
NP_593474.1,XP_715788.2,1122.0
NP_594031.2,XP_716225.1,1119.0
NP_593370.1,XP_715853.1,1085.0
NP_596189.3,XP_711698.2,1077.0
NP_594396.1,XP_714470.1,1066.0
NP_594555.1,XP_723159.1,1063.0
NP_587882.1,XP_722615.2,1057.0
NP_595937.1,XP_721764.1,1055.0
NP_594954.1,XP_723159.1,1049.0
NP_592832.2,XP_711873.1,1044.0
NP_588492.1,XP_722219.1,1040.0
NP_596437.2,XP_712654.1,1038.0
NP_596800.2,XP_711864.2,1036.0
NP_593704.1,XP_713669.2,1035.0
NP_588421.1,XP_713669.2,1033.0
NP_588004.2,XP_710791.1,1027.0
NP_001018299.1,XP_710254.2,1026.0
NP_593720.1,XP_713593.2,1026.0
NP_594861.1,XP_719938.2,1024.0
NP_593253.1,XP_721941.2,1023.0
NP_595102.2,XP_718522.2,1014.0
NP_593217.1,XP_718045.1,1012.0
NP_595098.1,XP_720380.1,1010.0
NP_588472.2,XP_719938.2,998.0
NP_594759.1,XP_716771.2,996.0
NP_594365.1,XP_721353.1,984.0
NP_593979.1,XP_720518.1,982.0
NP_596653.1,XP_716298.1,981.0
NP_593482.1,XP_019330724.1,974.0
NP_596614.1,XP_718276.2,970.0
NP_587890.1,XP_722620.2,967.0
NP_588095.1,XP_716263.1,959.0
NP_594538.2,XP_720428.1,954.0
NP_595477.1,XP_715131.1,953.0
NP_596117.1,XP_721005.2,947.0
NP_593572.1,XP_711675.2,947.0
NP_593352.1,XP_718219.1,943.0
NP_593080.1,XP_716778.1,941.0
NP_588348.1,XP_715442.2,941.0
NP_595343.1,XP_717966.1,939.0
NP_596503.1,XP_716227.2,936.0
NP_595148.1,XP_722527.1,935.0
NP_595946.1,XP_721378.1,933.0
NP_596180.1,XP_714465.2,932.0
NP_593425.1,XP_019330831.1,931.0
NP_593459.1,XP_713153.1,930.0
NP_588091.1,XP_714234.2,929.0
NP_593609.1,XP_716466.1,929.0
NP_595246.1,XP_719032.1,927.0
NP_595472.2,XP_722143.2,920.0
NP_595793.1,XP_714470.1,914.0
NP_587771.1,XP_722510.1,914.0
NP_593777.1,XP_710312.1,914.0
NP_594186.1,XP_723089.2,914.0
NP_594576.1,XP_718655.1,913.0
NP_596732.1,XP_721532.1,912.0
NP_001342702.1,XP_717599.2,912.0
NP_594319.1,XP_715875.1,910.0
NP_593437.1,XP_717250.1,909.0
NP_001342826.1,XP_710514.1,908.0
NP_001342849.1,XP_715712.1,907.0
NP_594862.1,XP_716628.1,899.0
NP_593691.1,XP_723474.2,896.0
NP_594290.1,XP_722208.1,890.0
NP_593245.1,XP_719462.2,890.0
NP_588149.1,XP_716032.2,887.0
NP_596545.1,XP_712587.2,887.0
NP_587900.1,XP_716562.2,878.0
NP_001342928.1,XP_711479.1,876.0
NP_595403.1,XP_717391.1,872.0
NP_588027.1,XP_717355.1,869.0
NP_593218.1,XP_717619.1,868.0
NP_596233.1,XP_722219.1,862.0
NP_593894.1,XP_718121.1,861.0
NP_595792.1,XP_720530.2,859.0
NP_596526.1,XP_715540.2,859.0
NP_588025.2,XP_716738.2,858.0
NP_595949.1,XP_711889.1,857.0
NP_595392.1,XP_716802.1,850.0
NP_595438.1,XP_716208.1,849.0
NP_596858.1,XP_713766.2,847.0
NP_594623.1,XP_711700.1,846.0
NP_593260.1,XP_719960.2,841.0
NP_587701.1,XP_721468.1,839.0
NP_595304.1,XP_710433.2,837.0
NP_593935.1,XP_715872.1,832.0
NP_593254.1,XP_721850.1,829.0
NP_595837.1,XP_719022.1,829.0
NP_594919.1,XP_019330645.1,825.0
NP_595255.1,XP_710148.2,825.0
NP_594440.1,XP_710148.2,825.0
NP_587757.1,XP_710148.2,824.0
NP_595060.1,XP_721741.2,823.0
NP_588344.1,XP_722156.2,823.0
NP_587766.1,XP_713895.1,814.0
NP_596011.1,XP_721697.2,807.0
NP_596319.1,XP_716562.2,807.0
NP_593277.1,XP_714877.1,806.0
NP_588291.2,XP_019330638.1,806.0
NP_595586.1,XP_721864.2,806.0
NP_588114.1,XP_711151.2,804.0
NP_593520.1,XP_719536.2,804.0
NP_595890.2,XP_715749.2,804.0
NP_587795.1,XP_713158.2,803.0
NP_595810.1,XP_721912.1,803.0
NP_596355.1,XP_714622.1,800.0
NP_593985.1,XP_715325.1,800.0
NP_596066.1,XP_717648.1,797.0
NP_593151.1,XP_019330897.1,796.0
NP_596745.1,XP_720356.1,796.0
NP_001342717.1,XP_712583.1,794.0
NP_596329.1,XP_713140.2,794.0
NP_593483.1,XP_720349.1,785.0
NP_594731.1,XP_723419.2,784.0
NP_594902.1,XP_715318.2,784.0
NP_592894.1,XP_713077.1,780.0
NP_596049.2,XP_715143.2,779.0
NP_595892.1,XP_719846.1,777.0
NP_001342938.1,XP_723581.2,775.0
NP_596162.1,XP_712153.1,772.0
NP_594155.1,XP_722750.2,772.0
NP_595382.1,XP_721692.1,769.0
NP_596635.1,XP_713513.1,768.0
NP_595153.2,XP_721012.1,761.0
NP_595998.1,XP_019330640.1,761.0
NP_595653.1,XP_718267.2,760.0
NP_596289.1,XP_719107.2,760.0
NP_595686.2,XP_723081.1,759.0
NP_593996.1,XP_711217.2,758.0
NP_593112.1,XP_718111.2,757.0
NP_593890.1,XP_721798.1,754.0
NP_593729.1,XP_721948.1,753.0
NP_001342707.1,XP_712507.2,751.0
NP_594312.1,XP_723499.1,750.0
NP_594488.1,XP_721871.1,749.0
NP_593816.1,XP_711151.2,749.0
NP_596381.1,XP_716329.1,747.0
NP_596209.1,XP_714305.1,747.0
NP_588142.1,XP_711583.1,746.0
NP_595086.1,XP_718636.1,745.0
NP_592939.1,XP_716011.2,742.0
NP_588235.1,XP_713636.2,738.0
NP_592838.1,XP_716433.1,737.0
NP_596735.1,XP_713495.1,736.0
NP_588502.1,XP_717622.2,734.0
NP_594060.2,XP_717916.2,731.0
NP_588086.1,XP_716236.1,730.0
NP_593129.1,XP_710224.1,730.0
NP_594219.2,XP_712251.1,729.0
NP_001342776.1,XP_716625.1,728.0
NP_594564.1,XP_722142.1,728.0
NP_596650.1,XP_019330603.1,721.0
NP_593557.1,XP_717180.2,720.0
NP_596805.1,XP_715876.1,720.0
NP_595898.1,XP_720534.1,719.0
NP_594288.2,XP_712090.2,719.0
NP_594263.2,XP_711478.1,716.0
NP_593216.2,XP_711217.2,712.0
NP_596077.1,XP_718164.2,708.0
NP_001342853.1,XP_721858.2,708.0
NP_592919.1,XP_723201.1,708.0
NP_592986.1,XP_713028.2,707.0
NP_596153.1,XP_715772.2,706.0
NP_588132.1,XP_019331084.1,704.0
NP_595369.1,XP_715435.2,704.0
NP_595155.1,XP_720470.1,704.0
NP_595618.1,XP_019330727.1,701.0
NP_594783.1,XP_715438.1,700.0
NP_596774.1,XP_019331113.1,698.0
NP_595702.1,XP_019330790.1,698.0
NP_594811.1,XP_714589.2,697.0
NP_596410.1,XP_713757.1,696.0
NP_595580.1,XP_721821.1,695.0
NP_595106.1,XP_019331113.1,694.0
NP_593995.1,XP_718095.2,693.0
NP_593069.1,XP_718047.2,692.0
NP_594205.1,XP_711706.1,691.0
NP_593017.1,XP_714573.1,691.0
NP_595095.1,XP_019330729.1,690.0
NP_594487.2,XP_715187.1,689.0
NP_596797.1,XP_721746.1,689.0
NP_594459.2,XP_719003.2,685.0
NP_594346.1,XP_714934.1,685.0
NP_594134.1,XP_711294.1,682.0
NP_593490.1,XP_716812.1,682.0
NP_594442.1,XP_718239.2,681.0
NP_595640.1,XP_721377.1,680.0
NP_594037.1,XP_718086.1,680.0
NP_596012.2,XP_019330605.1,678.0
NP_595248.1,XP_716313.1,677.0
NP_594652.1,XP_720463.1,676.0
NP_594261.1,XP_019330896.1,675.0
NP_595014.1,XP_720488.2,675.0
NP_595939.1,XP_716024.1,674.0
NP_593331.2,XP_712410.2,671.0
NP_596014.1,XP_714693.1,670.0
NP_596458.1,XP_712932.1,669.0
NP_596523.1,XP_019331065.1,669.0
NP_594856.2,XP_717180.2,669.0
NP_594788.2,XP_711475.1,668.0
NP_593321.1,XP_714593.1,665.0
NP_594878.1,XP_710717.1,661.0
NP_588033.1,XP_716633.1,658.0
NP_588397.3,XP_717406.1,657.0
NP_594690.1,XP_722199.2,656.0
NP_001342870.1,XP_715432.2,655.0
NP_595524.1,XP_717643.1,655.0
NP_588050.1,XP_719912.1,653.0
NP_587938.1,XP_713215.2,650.0
NP_596324.1,XP_718788.1,650.0
NP_593165.1,XP_723591.2,650.0
NP_587951.1,XP_712510.2,650.0
NP_595870.1,XP_714440.2,649.0
NP_594233.1,XP_713775.1,649.0
NP_594867.1,XP_719967.2,649.0
NP_596178.1,XP_718995.2,647.0
NP_588141.1,XP_723120.1,647.0
NP_593371.1,XP_713569.2,646.0
NP_595238.1,XP_710992.1,643.0
NP_596159.1,XP_716974.2,642.0
NP_587809.2,XP_717345.1,642.0
NP_593377.1,XP_721535.1,642.0
NP_593035.1,XP_717385.1,642.0
NP_596731.1,XP_713791.2,641.0
NP_593896.1,XP_019331013.1,640.0
NP_594135.1,XP_719907.1,638.0
NP_596002.2,XP_720372.1,638.0
NP_596103.2,XP_719048.1,635.0
NP_594414.1,XP_717766.1,635.0
NP_593318.2,XP_710637.2,635.0
NP_587837.1,XP_716332.1,635.0
NP_587868.1,XP_710511.1,634.0
NP_595480.1,XP_717812.2,633.0
NP_588225.1,XP_714552.1,633.0
NP_588352.1,XP_713240.1,633.0
NP_594068.1,XP_716630.2,632.0
NP_593702.2,XP_722612.2,632.0
NP_594987.1,XP_718267.2,632.0
NP_587878.1,XP_722608.2,630.0
NP_593718.2,XP_019331074.1,630.0
NP_593668.2,XP_718086.1,623.0
NP_596730.1,XP_711323.1,622.0
NP_595362.1,XP_714613.1,622.0
NP_595341.1,XP_714422.2,621.0
NP_595599.1,XP_721723.2,621.0
NP_596841.2,XP_715325.1,619.0
NP_596431.1,XP_720344.1,617.0
NP_587731.1,XP_713515.2,617.0
NP_595299.2,XP_716075.1,617.0
NP_594853.1,XP_721025.1,615.0
NP_596710.1,XP_716270.1,614.0
NP_001342976.1,XP_718458.1,614.0
NP_592941.1,XP_717913.2,611.0
NP_595125.1,XP_712154.1,611.0
NP_001342919.1,XP_019331112.1,610.0
NP_594664.1,XP_723513.1,610.0
NP_594430.1,XP_721536.1,609.0
NP_001342913.1,XP_720433.2,608.0
NP_592898.1,XP_714878.1,608.0
NP_001342845.1,XP_716541.2,604.0
NP_595368.1,XP_719331.1,603.0
NP_593471.1,XP_710682.1,603.0
NP_594780.1,XP_710682.1,602.0
NP_596452.1,XP_720443.1,602.0
NP_588116.1,XP_721025.1,601.0
NP_596441.2,XP_721959.1,601.0
NP_595015.1,XP_721718.1,600.0
NP_595406.1,XP_719058.1,600.0
NP_596817.1,XP_712142.1,599.0
NP_593749.1,XP_715059.1,598.0
NP_588437.1,XP_715334.1,596.0
NP_596016.1,XP_721738.2,593.0
NP_593513.1,XP_715538.1,593.0
NP_596632.1,XP_710511.1,593.0
NP_596807.1,XP_714280.2,593.0
NP_587902.1,XP_717399.2,592.0
NP_593224.1,XP_719985.1,590.0
NP_593617.1,XP_713515.2,590.0
NP_595342.1,XP_719996.2,590.0
NP_595530.1,XP_716539.2,589.0
NP_595163.1,XP_711714.1,588.0
NP_596527.1,XP_717364.2,588.0
NP_596317.1,XP_711142.1,588.0
NP_595725.2,XP_711171.1,587.0
NP_595046.1,XP_721687.2,587.0
NP_001342759.1,XP_721883.1,586.0
NP_595903.1,XP_711883.1,585.0
NP_596588.1,XP_713322.2,585.0
NP_592843.1,XP_721016.1,584.0
NP_594579.1,XP_720543.2,584.0
NP_595871.1,XP_713591.2,584.0
NP_592863.1,XP_718509.1,583.0
NP_594680.1,XP_714900.1,583.0
