query,subject,score
NP_013207.1,XP_002770490.1,4594.0
NP_011967.1,XP_002770830.1,3728.0
NP_012035.1,XP_459423.2,3385.0
NP_012405.2,XP_456785.1,3279.0
NP_014413.1,XP_457211.1,3244.0
NP_012719.2,XP_002770885.1,2937.0
NP_013446.1,XP_457762.1,2870.0
NP_011546.3,XP_457762.1,2862.0
NP_012600.1,XP_002770885.1,2820.0
NP_012739.1,XP_457311.1,2704.0
NP_015093.1,XP_457388.1,2671.0
NP_014137.1,XP_002770523.1,2613.0
NP_011787.4,XP_462429.2,2526.0
NP_011320.3,XP_460515.2,2505.0
NP_009767.1,XP_002770271.1,2475.0
NP_014986.3,XP_002770194.1,2472.0
NP_013060.1,XP_459011.2,2444.0
NP_014759.1,XP_462102.2,2332.0
NP_013934.1,XP_457211.1,2315.0
NP_010141.1,XP_002770038.1,2280.0
NP_011309.1,XP_002770420.1,2244.0
NP_012980.1,XP_461077.2,2077.0
NP_014794.3,XP_002770594.1,2014.0
NP_015243.1,XP_002770778.1,1984.0
NP_014036.1,XP_457762.1,1972.0
NP_014850.1,XP_002777730.1,1956.0
NP_015335.1,XP_461338.1,1956.0
NP_009551.2,XP_461148.2,1948.0
NP_011099.1,XP_462098.2,1862.0
NP_011575.1,XP_002770711.1,1850.0
NP_012137.3,XP_456730.2,1829.0
NP_014971.1,XP_458708.1,1822.0
NP_010745.3,XP_461787.2,1803.0
NP_009777.1,XP_458082.2,1783.0
NP_011453.1,XP_458082.2,1776.0
NP_015510.1,XP_457981.2,1762.0
NP_014796.3,XP_462187.2,1760.0
NP_010694.1,XP_462187.2,1722.0
NP_010419.3,XP_460066.2,1716.0
NP_011093.3,XP_459841.2,1697.0
NP_013052.1,XP_458993.2,1681.0
NP_014973.1,XP_462187.2,1669.0
NP_010294.1,XP_456503.2,1667.0
NP_012643.3,XP_002770173.1,1665.0
NP_010110.1,XP_002770648.1,1652.0
NP_013350.1,XP_461401.1,1642.0
NP_014384.3,XP_461401.1,1638.0
NP_010378.1,XP_459841.2,1632.0
NP_009673.1,XP_002770283.1,1627.0
NP_009376.2,XP_002770729.1,1608.0
NP_012485.1,XP_458244.1,1596.0
NP_009477.1,XP_456601.1,1590.0
NP_015165.1,XP_002770764.1,1584.0
NP_014267.1,XP_461271.1,1576.0
NP_010883.3,XP_002770461.1,1570.0
NP_011608.1,XP_458016.2,1568.0
NP_014776.1,XP_461796.1,1555.0
NP_010673.1,XP_461796.1,1555.0
NP_014311.3,XP_459406.2,1551.0
NP_014468.3,XP_456503.2,1533.0
NP_116579.1,XP_002770746.1,1495.0
NP_012141.1,XP_461134.1,1494.0
NP_015098.1,XP_456466.1,1491.0
NP_011091.1,XP_462077.2,1484.0
NP_013956.1,XP_461694.2,1482.0
NP_011507.1,XP_456711.1,1480.0
NP_011734.3,XP_457080.1,1476.0
NP_015289.1,XP_456711.1,1464.0
NP_010136.1,XP_002770319.1,1463.0
NP_014297.3,XP_460862.2,1461.0
NP_010454.3,XP_457387.2,1459.0
NP_012056.1,XP_459649.2,1452.0
NP_012712.1,XP_461109.2,1440.0
NP_010157.1,XP_462191.1,1431.0
NP_013408.1,XP_002770411.1,1429.0
NP_011828.1,XP_458993.2,1406.0
NP_013827.1,XP_458067.2,1404.0
NP_013885.1,XP_462470.2,1400.0
NP_013488.3,XP_458058.2,1399.0
NP_011797.3,XP_457028.2,1395.0
NP_014621.1,XP_461958.2,1391.0
NP_012793.2,XP_458067.2,1389.0
NP_012216.1,XP_459054.2,1389.0
NP_009579.1,XP_002770483.1,1382.0
NP_010096.1,XP_459150.2,1377.0
NP_010993.1,XP_461790.1,1358.0
NP_010181.2,XP_002770696.1,1354.0
NP_015107.1,XP_461620.1,1343.0
NP_014980.3,XP_456501.2,1338.0
NP_012198.3,XP_461790.1,1325.0
NP_013407.1,XP_459431.1,1323.0
NP_013514.1,XP_457310.2,1322.0
NP_013502.3,XP_456821.2,1312.0
NP_013914.1,XP_460532.2,1312.0
NP_012123.1,XP_459707.2,1300.0
NP_015267.1,XP_456503.2,1294.0
NP_011098.3,XP_462055.2,1280.0
NP_013923.1,XP_458975.2,1279.0
NP_116687.1,XP_002770131.1,1276.0
NP_012335.1,XP_460250.1,1276.0
NP_012707.1,XP_002770573.1,1271.0
NP_013797.1,XP_002770466.1,1268.0
NP_009984.1,XP_457216.2,1262.0
NP_011015.3,XP_456648.1,1237.0
NP_013086.1,XP_002770395.1,1228.0
NP_009640.1,XP_462568.1,1228.0
NP_012140.1,XP_461131.2,1225.0
NP_014948.1,XP_458541.2,1225.0
NP_116617.1,XP_002770286.1,1221.0
NP_011395.1,XP_456737.1,1220.0
NP_010324.3,XP_457790.2,1217.0
NP_010323.3,XP_457790.2,1216.0
NP_013932.1,XP_458908.2,1215.0
NP_010325.1,XP_457790.2,1212.0
NP_014934.1,XP_002770571.1,1209.0
NP_011733.3,XP_002770313.1,1202.0
NP_011720.3,XP_462568.1,1202.0
NP_009804.1,XP_002770188.1,1191.0
NP_011365.1,XP_002770708.1,1191.0
NP_009373.1,XP_458708.1,1191.0
NP_009530.1,XP_461279.2,1190.0
NP_013074.1,XP_459498.2,1184.0
NP_011051.3,XP_458629.1,1182.0
NP_011348.1,XP_460949.1,1172.0
NP_116664.1,XP_461948.2,1172.0
NP_015486.1,XP_461315.1,1172.0
NP_013374.1,XP_461359.2,1169.0
NP_011506.1,XP_458182.1,1168.0
NP_011756.1,XP_462445.2,1165.0
NP_015344.1,XP_460031.1,1158.0
NP_009365.1,XP_458159.2,1157.0
NP_011314.2,XP_458410.2,1132.0
NP_011489.1,XP_459006.2,1125.0
NP_010992.1,XP_460830.2,1124.0
NP_011833.1,XP_460487.2,1112.0
NP_010929.3,XP_459081.2,1110.0
NP_013170.1,XP_459937.1,1107.0
NP_013534.3,XP_002770105.1,1107.0
NP_013764.1,XP_459204.2,1105.0
NP_010253.2,XP_461087.2,1104.0
NP_011509.1,XP_002770013.1,1100.0
NP_011035.1,XP_002770260.1,1097.0
NP_116578.3,XP_002770111.1,1095.0
NP_013513.3,XP_458955.2,1093.0
NP_011604.3,XP_002770177.1,1092.0
NP_015084.1,XP_458918.1,1090.0
NP_013911.1,XP_458918.1,1088.0
NP_013847.1,XP_002770596.1,1087.0
NP_014639.1,XP_460794.2,1086.0
NP_010524.3,XP_461182.2,1082.0
NP_015313.1,XP_461307.2,1081.0
NP_012818.1,XP_461639.1,1077.0
NP_010621.1,XP_002770883.1,1072.0
NP_009396.2,XP_459019.1,1069.0
NP_014190.1,XP_456813.1,1066.0
NP_010052.1,XP_456813.1,1066.0
NP_013076.1,XP_459019.1,1064.0
NP_012190.1,XP_457433.2,1064.0
NP_009937.2,XP_002770607.1,1063.0
NP_012756.1,XP_457476.2,1061.0
NP_013187.1,XP_002770099.1,1057.0
NP_012529.3,XP_458452.2,1053.0
NP_013652.1,XP_459511.2,1052.0
NP_011493.1,XP_457160.1,1046.0
NP_009478.1,XP_459019.1,1045.0
NP_010376.3,XP_462080.1,1045.0
NP_015239.1,XP_459174.1,1045.0
NP_014276.1,XP_002770862.1,1043.0
NP_013230.1,XP_460543.2,1043.0
NP_011941.1,XP_456405.2,1043.0
NP_011029.3,XP_459019.1,1042.0
NP_012926.1,XP_459838.2,1041.0
NP_012579.1,XP_458029.1,1039.0
NP_014811.3,XP_461335.2,1039.0
NP_009672.1,XP_002770282.1,1038.0
NP_013523.3,XP_460568.2,1037.0
NP_010569.3,XP_002770831.1,1032.0
NP_012956.3,XP_457807.2,1029.0
NP_013839.1,XP_461010.1,1026.0
NP_015319.1,XP_458667.2,1020.0
NP_012569.1,XP_459783.2,1017.0
NP_014913.3,XP_458057.2,1015.0
NP_014039.1,XP_458161.2,1013.0
NP_014933.3,XP_461131.2,1006.0
NP_011892.1,XP_460014.1,1006.0
NP_012774.1,XP_459635.1,1006.0
NP_010579.1,XP_462426.1,1006.0
NP_013254.1,XP_459020.1,1004.0
NP_009877.1,XP_460162.2,998.0
NP_012500.3,XP_456398.1,997.0
NP_010544.3,XP_460208.2,996.0
NP_015232.1,XP_459177.1,996.0
NP_011308.1,XP_457124.2,996.0
NP_011352.1,XP_002770263.1,995.0
NP_013128.1,XP_461010.1,993.0
NP_013826.1,XP_461633.2,991.0
NP_015399.1,XP_460538.1,989.0
NP_013066.1,XP_458749.2,985.0
NP_009761.4,XP_457383.1,980.0
NP_013376.1,XP_460456.2,979.0
NP_011280.1,XP_461473.1,978.0
NP_009675.3,XP_460538.1,976.0
NP_013636.1,XP_458872.2,976.0
NP_009679.2,XP_459646.1,974.0
NP_010520.3,XP_460673.1,974.0
NP_012490.1,XP_459635.1,972.0
NP_013555.1,XP_458872.2,971.0
NP_015507.1,XP_459434.1,969.0
NP_010953.1,XP_461670.1,969.0
NP_011939.2,XP_457937.1,969.0
NP_014975.2,XP_460911.2,967.0
NP_011359.1,XP_462313.2,964.0
NP_011780.3,XP_002770677.1,964.0
NP_010498.1,XP_462158.1,961.0
NP_012934.1,XP_456704.2,960.0
NP_011269.2,XP_461343.1,956.0
NP_116670.1,XP_457217.1,951.0
NP_010884.1,XP_458029.1,951.0
NP_013359.1,XP_457217.1,944.0
NP_010892.1,XP_456849.2,939.0
NP_010414.3,XP_460160.2,939.0
NP_010066.1,XP_458121.2,936.0
NP_014691.1,XP_460123.2,936.0
NP_009379.2,XP_460573.2,934.0
NP_009685.3,XP_460251.1,933.0
NP_012426.1,XP_457013.2,932.0
NP_014637.1,XP_460799.2,931.0
NP_011786.1,XP_462417.2,929.0
NP_010017.2,XP_459397.2,924.0
NP_011884.1,XP_458274.1,923.0
NP_015437.1,XP_002770331.1,922.0
NP_015471.1,XP_457374.1,921.0
NP_009755.1,XP_460936.1,921.0
NP_014729.1,XP_458146.2,920.0
NP_014428.1,XP_458064.2,919.0
NP_010942.1,XP_002770458.1,918.0
NP_011640.1,XP_457374.1,916.0
NP_011614.1,XP_002770183.1,915.0
NP_012461.1,XP_461610.2,913.0
NP_015349.1,XP_458013.2,913.0
NP_010359.1,XP_462075.2,912.0
NP_011661.2,XP_458269.2,910.0
NP_010628.3,XP_461877.2,909.0
NP_011761.3,XP_002777733.1,906.0
NP_009453.2,XP_459057.2,905.0
NP_010882.1,XP_458026.1,904.0
NP_013944.1,XP_460848.1,904.0
NP_013501.1,XP_456823.2,903.0
NP_013451.1,XP_457778.2,902.0
NP_010322.1,XP_460656.1,896.0
NP_013993.1,XP_460854.2,894.0
NP_010622.1,XP_462306.2,893.0
NP_015219.1,XP_459172.1,892.0
NP_116648.2,XP_461671.2,892.0
NP_012252.1,XP_456503.2,891.0
NP_012501.1,XP_457109.2,887.0
NP_015215.1,XP_462615.2,887.0
NP_009998.2,XP_458064.2,885.0
NP_009347.1,XP_459568.1,884.0
NP_011378.1,XP_457858.2,883.0
NP_014654.1,XP_456503.2,882.0
NP_013486.3,XP_456540.2,882.0
NP_012522.2,XP_462468.2,881.0
NP_014015.1,XP_002770683.1,879.0
NP_013677.1,XP_460211.2,878.0
NP_012520.1,XP_462464.1,877.0
NP_012896.1,XP_460887.2,877.0
NP_011276.1,XP_461492.2,875.0
NP_012655.3,XP_460631.1,872.0
NP_012550.1,XP_459092.2,871.0
NP_011888.1,XP_002770514.1,868.0
NP_009794.3,XP_460559.2,868.0
NP_010345.3,XP_002770636.1,867.0
NP_009694.3,XP_460282.2,866.0
NP_012157.3,XP_458590.2,866.0
NP_116686.3,XP_457603.2,864.0
NP_013360.1,XP_459575.1,864.0
NP_014966.1,XP_460573.2,863.0
NP_014152.1,XP_459935.2,862.0
NP_010905.1,XP_457038.1,861.0
NP_009514.1,XP_462610.2,861.0
NP_009538.1,XP_461160.1,857.0
NP_013463.1,XP_002770815.1,853.0
NP_012598.1,XP_002770886.1,852.0
NP_013392.1,XP_460462.2,851.0
NP_011847.1,XP_458767.1,851.0
NP_014752.3,XP_002769987.1,850.0
NP_010577.3,XP_461419.2,849.0
NP_014238.3,XP_460922.2,848.0
NP_012565.1,XP_456849.2,846.0
NP_014312.1,XP_458146.2,845.0
NP_014295.1,XP_456901.2,845.0
NP_014017.1,XP_462428.1,844.0
NP_116647.1,XP_002770854.1,844.0
NP_014962.3,XP_461805.2,843.0
NP_009594.1,XP_456523.2,842.0
NP_012424.1,XP_460127.2,842.0
NP_012637.4,XP_462610.2,840.0
NP_014030.1,XP_457132.2,840.0
NP_010718.1,XP_458550.2,839.0
NP_009676.1,XP_460533.1,839.0
NP_015405.1,XP_460533.1,839.0
NP_009728.1,XP_459172.1,837.0
NP_014293.1,XP_002769987.1,837.0
NP_010457.3,XP_457365.1,837.0
NP_010138.1,XP_457113.1,836.0
NP_013093.1,XP_458454.1,836.0
NP_009536.1,XP_002770499.1,832.0
NP_013023.3,XP_460109.1,832.0
NP_014210.1,XP_461568.2,831.0
NP_014751.1,XP_456901.2,829.0
NP_015515.1,XP_459701.2,829.0
NP_013145.1,XP_462338.2,827.0
NP_013132.1,XP_002770598.1,827.0
NP_012124.1,XP_456801.1,827.0
NP_013069.1,XP_458762.2,825.0
NP_013807.1,XP_459952.2,825.0
NP_010933.1,XP_459165.2,823.0
NP_014551.1,XP_002770136.1,822.0
NP_014149.1,XP_002770330.1,822.0
NP_010284.1,XP_457082.2,822.0
NP_009900.2,XP_460756.1,821.0
NP_014086.1,XP_002770758.1,821.0
NP_013323.1,XP_460079.2,819.0
NP_014854.2,XP_462370.2,819.0
NP_013239.1,XP_460620.1,818.0
NP_009943.2,XP_461248.1,818.0
NP_009474.1,XP_458645.2,817.0
