query,subject,score
NP_012405.2,XP_658169.1,2962.0
NP_014413.1,XP_663730.1,2865.0
NP_010110.1,XP_050468140.1,2722.0
NP_011546.3,XP_661333.1,2407.0
NP_013446.1,XP_661333.1,2401.0
NP_015093.1,XP_050468976.1,2398.0
NP_012739.1,XP_682677.1,2386.0
NP_012719.2,XP_050467029.1,2275.0
NP_012600.1,XP_050467029.1,2193.0
NP_013934.1,XP_663730.1,2154.0
NP_014137.1,XP_660671.1,2149.0
NP_012980.1,XP_657722.1,2055.0
NP_012035.1,XP_662127.1,2030.0
NP_013207.1,XP_663914.1,2022.0
NP_014036.1,XP_661333.1,1987.0
NP_010141.1,XP_658413.1,1913.0
NP_011787.4,XP_660086.1,1905.0
NP_013060.1,XP_663183.1,1882.0
NP_011309.1,XP_662067.1,1857.0
NP_009777.1,XP_662066.1,1691.0
NP_011099.1,XP_050468651.1,1686.0
NP_014794.3,XP_682389.2,1678.0
NP_011453.1,XP_662066.1,1676.0
NP_014759.1,XP_050468914.1,1593.0
NP_014850.1,XP_657925.2,1576.0
NP_012643.3,XP_663603.1,1553.0
NP_015243.1,XP_661791.1,1545.0
NP_009376.2,XP_663716.1,1473.0
NP_014796.3,XP_050467986.1,1469.0
NP_010694.1,XP_050467986.1,1462.0
NP_011575.1,XP_681390.1,1445.0
NP_011320.3,XP_050467080.1,1442.0
NP_010419.3,XP_680998.1,1438.0
NP_015335.1,XP_661537.1,1427.0
NP_014973.1,XP_050467646.1,1419.0
NP_015510.1,XP_050469246.1,1407.0
NP_014776.1,XP_663934.1,1392.0
NP_010673.1,XP_663934.1,1392.0
NP_014971.1,XP_682131.1,1390.0
NP_009477.1,XP_658309.1,1384.0
NP_012141.1,XP_663175.1,1367.0
NP_012707.1,XP_661576.1,1355.0
NP_009673.1,XP_663214.1,1355.0
NP_014267.1,XP_657851.1,1348.0
NP_010136.1,XP_660630.2,1320.0
NP_013827.1,XP_050468679.1,1277.0
NP_010993.1,XP_661984.1,1274.0
NP_116579.1,XP_680869.1,1272.0
NP_010157.1,XP_050467866.1,1264.0
NP_010883.3,XP_050468449.1,1254.0
NP_012712.1,XP_659778.2,1253.0
NP_012485.1,XP_662016.1,1251.0
NP_012793.2,XP_050468679.1,1246.0
NP_013052.1,XP_657829.1,1227.0
NP_012198.3,XP_661984.1,1215.0
NP_010454.3,XP_664313.1,1212.0
NP_011720.3,XP_660602.2,1199.0
NP_011734.3,XP_050468980.1,1194.0
NP_009640.1,XP_660602.2,1193.0
NP_010294.1,XP_682197.1,1192.0
NP_014311.3,XP_663010.1,1190.0
NP_013407.1,XP_050468252.1,1187.0
NP_015289.1,XP_657922.1,1172.0
NP_011098.3,XP_050469150.1,1169.0
NP_011507.1,XP_657922.1,1167.0
NP_014980.3,XP_050468621.1,1165.0
NP_014384.3,XP_664304.2,1164.0
NP_009579.1,XP_659159.2,1164.0
NP_012216.1,XP_664218.1,1162.0
NP_015267.1,XP_682197.1,1159.0
NP_011608.1,XP_050468653.1,1153.0
NP_009531.1,XP_663797.1,1144.0
NP_013350.1,XP_664304.2,1126.0
NP_013885.1,XP_659615.1,1124.0
NP_014468.3,XP_682197.1,1121.0
NP_011395.1,XP_657737.1,1119.0
NP_014948.1,XP_663247.1,1116.0
NP_116687.1,XP_663503.1,1113.0
NP_010181.2,XP_680594.1,1099.0
NP_013923.1,XP_663890.1,1097.0
NP_015165.1,XP_661306.1,1095.0
NP_009804.1,XP_663247.1,1078.0
NP_011828.1,XP_657829.1,1078.0
NP_009373.1,XP_682131.1,1069.0
NP_013086.1,XP_680998.1,1068.0
NP_015486.1,XP_658619.2,1058.0
NP_010929.3,XP_662325.1,1053.0
NP_011051.3,XP_658943.1,1047.0
NP_014934.1,XP_050467765.1,1036.0
NP_012137.3,XP_658198.2,1031.0
NP_010323.3,XP_050468695.1,1025.0
NP_010324.3,XP_050468695.1,1025.0
NP_013914.1,XP_050467895.1,1023.0
NP_010325.1,XP_664246.1,1020.0
NP_013797.1,XP_658250.2,1019.0
NP_012123.1,XP_050467278.1,1019.0
NP_012140.1,XP_659882.1,1017.0
NP_015098.1,XP_664255.2,1008.0
NP_009396.2,XP_662733.1,1002.0
NP_013076.1,XP_662733.1,999.0
NP_014015.1,XP_660024.1,999.0
NP_011342.1,XP_681454.2,997.0
NP_014933.3,XP_659882.1,996.0
NP_013170.1,XP_661436.1,995.0
NP_014621.1,XP_661261.1,993.0
NP_011029.3,XP_662733.1,990.0
NP_012335.1,XP_661498.1,989.0
NP_012765.3,XP_659242.1,988.0
NP_009478.1,XP_662733.1,987.0
NP_012579.1,XP_663614.1,980.0
NP_011506.1,XP_663490.1,978.0
NP_014975.2,XP_657644.1,977.0
NP_013911.1,XP_681538.1,972.0
NP_014297.3,XP_050467045.1,971.0
NP_013187.1,XP_662201.1,971.0
NP_015084.1,XP_681538.1,966.0
NP_011015.3,XP_662047.2,965.0
NP_012774.1,XP_050468504.1,964.0
NP_010992.1,XP_682039.2,962.0
NP_013408.1,XP_661882.1,960.0
NP_011091.1,XP_658859.1,954.0
NP_012490.1,XP_050468504.1,954.0
NP_013956.1,XP_659751.1,953.0
NP_009530.1,XP_660095.2,951.0
NP_011493.1,XP_050468641.1,947.0
NP_012500.3,XP_659666.1,947.0
NP_010524.3,XP_658781.1,944.0
NP_011913.1,XP_659242.1,944.0
NP_013374.1,XP_050468368.1,940.0
NP_010382.3,XP_659312.1,940.0
NP_011489.1,XP_663835.1,929.0
NP_015319.1,XP_659723.1,929.0
NP_011348.1,XP_680733.1,925.0
NP_014276.1,XP_663040.2,924.0
NP_010544.3,XP_658767.1,919.0
NP_010953.1,XP_659814.1,912.0
NP_009551.2,XP_661542.1,912.0
NP_012818.1,XP_050468175.1,910.0
NP_011797.3,XP_664047.1,909.0
NP_010621.1,XP_050468355.1,908.0
NP_010884.1,XP_663614.1,904.0
NP_116664.1,XP_661919.1,892.0
NP_116670.1,XP_681279.1,891.0
NP_015239.1,XP_659898.1,890.0
NP_011888.1,XP_662310.1,889.0
NP_009761.4,XP_663596.1,886.0
NP_009984.1,XP_050467271.1,884.0
NP_011378.1,XP_050467032.1,882.0
NP_013074.1,XP_658462.1,882.0
NP_011941.1,XP_681472.1,880.0
NP_013359.1,XP_681279.1,879.0
NP_010905.1,XP_050468858.1,879.0
NP_010414.3,XP_050467095.1,876.0
NP_012926.1,XP_681292.1,875.0
NP_015399.1,XP_050469164.1,875.0
NP_013826.1,XP_050467582.1,872.0
NP_009453.2,XP_050468670.1,871.0
NP_013100.1,XP_682143.1,871.0
NP_013254.1,XP_663230.1,869.0
NP_015158.1,XP_662393.1,869.0
NP_013376.1,XP_681263.1,865.0
NP_011314.2,XP_657832.1,862.0
NP_009767.1,XP_658491.1,858.0
NP_013839.1,XP_050467720.1,854.0
NP_011359.1,XP_050468498.1,850.0
NP_009675.3,XP_050469164.1,845.0
NP_011280.1,XP_050467119.1,837.0
NP_013128.1,XP_050467720.1,835.0
NP_009685.3,XP_663836.1,835.0
NP_010284.1,XP_050468223.1,833.0
NP_014551.1,XP_050467575.1,832.0
NP_009365.1,XP_661642.1,832.0
NP_011352.1,XP_050468250.1,832.0
NP_011756.1,XP_660827.1,830.0
NP_013012.3,XP_661636.1,830.0
NP_009347.1,XP_663230.1,825.0
NP_010520.3,XP_664125.1,823.0
NP_009679.2,XP_682104.2,819.0
NP_010498.1,XP_050468819.1,814.0
NP_011733.3,XP_658772.1,811.0
NP_015507.1,XP_657865.1,809.0
NP_011509.1,XP_658793.1,808.0
NP_013932.1,XP_660827.1,808.0
NP_012934.1,XP_050467903.1,805.0
NP_012569.1,XP_664707.1,805.0
NP_010577.3,XP_050467050.1,803.0
NP_014913.3,XP_663210.1,803.0
NP_009555.1,XP_050468223.1,801.0
NP_009676.1,XP_661822.2,801.0
NP_013360.1,XP_663693.1,801.0
NP_015405.1,XP_661822.2,801.0
NP_116578.3,XP_663266.1,798.0
NP_014637.1,XP_657857.1,797.0
NP_012520.1,XP_660738.1,795.0
NP_010066.1,XP_680720.1,790.0
NP_014691.1,XP_658311.1,789.0
NP_009594.1,XP_050467923.1,788.0
NP_012124.1,XP_657985.1,788.0
NP_009943.2,XP_662615.1,786.0
NP_010376.3,XP_050469015.1,783.0
NP_012956.3,XP_050468371.1,780.0
NP_013488.3,XP_050467733.1,778.0
NP_012598.1,XP_659508.2,777.0
NP_015215.1,XP_657741.1,775.0
NP_013023.3,XP_659522.2,774.0
NP_014017.1,XP_659553.1,773.0
NP_013807.1,XP_662161.1,773.0
NP_012461.1,XP_663968.1,771.0
NP_012053.3,XP_050467399.1,771.0
NP_009755.1,XP_663641.1,769.0
NP_012655.3,XP_659919.2,767.0
NP_015232.1,XP_663469.1,762.0
NP_009877.1,XP_657696.1,762.0
NP_011772.3,XP_050467399.1,760.0
NP_011640.1,XP_662005.1,759.0
NP_010942.1,XP_662074.2,759.0
NP_011308.1,XP_050468131.1,759.0
NP_013652.1,XP_660085.1,757.0
NP_012424.1,XP_663317.1,756.0
NP_013486.3,XP_664130.1,756.0
NP_013764.1,XP_658971.1,753.0
NP_014654.1,XP_682197.1,753.0
NP_013392.1,XP_660116.2,753.0
NP_011365.1,XP_659889.1,753.0
NP_009379.2,XP_662709.1,753.0
NP_015471.1,XP_662005.1,751.0
NP_014207.2,XP_050467691.1,749.0
NP_010882.1,XP_050467373.1,749.0
NP_010933.1,XP_662161.1,749.0
NP_012252.1,XP_682197.1,748.0
NP_013230.1,XP_657909.1,746.0
NP_010138.1,XP_050468503.1,746.0
NP_011276.1,XP_664195.1,742.0
NP_013159.1,XP_660662.2,742.0
NP_010322.1,XP_659517.1,741.0
NP_009937.2,XP_662798.1,740.0
NP_010961.3,XP_658867.1,740.0
NP_009514.1,XP_050469206.1,738.0
