query,subject,score
NP_593055.1,XP_658169.1,3053.0
NP_594133.1,XP_050468140.1,2992.0
NP_593271.1,XP_663730.1,2876.0
NP_595359.2,XP_050467029.1,2586.0
NP_593823.1,XP_050468976.1,2457.0
NP_593346.1,XP_050468651.1,2334.0
NP_588501.1,XP_661333.1,2324.0
NP_593861.1,XP_662127.1,2313.0
NP_596275.1,XP_050467029.1,2252.0
NP_594032.1,XP_661333.1,2229.0
NP_594370.1,XP_682677.1,2215.0
NP_588165.3,XP_660911.1,2147.0
NP_596500.1,XP_660911.1,2113.0
NP_596354.1,XP_660671.1,2095.0
NP_001018282.1,XP_660911.1,2060.0
NP_595673.1,XP_658413.1,2043.0
NP_594148.1,XP_662067.1,2012.0
NP_596560.1,XP_660086.1,1984.0
NP_595971.1,XP_661333.1,1952.0
NP_594766.1,XP_661333.1,1840.0
NP_588370.1,XP_663914.1,1831.0
NP_593101.2,XP_682389.2,1765.0
NP_595619.1,XP_663489.1,1688.0
NP_595900.1,XP_662066.1,1674.0
NP_596685.1,XP_663603.1,1664.0
NP_593690.1,XP_657925.2,1597.0
NP_596080.2,XP_661791.1,1583.0
NP_001342921.1,XP_657722.1,1556.0
NP_595506.1,XP_050468914.1,1519.0
NP_593669.1,XP_050467080.1,1517.0
NP_594314.1,XP_663214.1,1513.0
NP_596486.1,XP_663716.1,1510.0
NP_593217.1,XP_658446.1,1491.0
NP_594538.2,XP_660024.1,1471.0
NP_593296.1,XP_681390.1,1450.0
NP_001342827.1,XP_663183.1,1444.0
NP_595819.2,XP_661537.1,1439.0
NP_592810.1,XP_661576.1,1421.0
NP_001342911.1,XP_050468980.1,1400.0
NP_595569.1,XP_658309.1,1399.0
NP_593252.1,XP_680869.1,1382.0
NP_595279.1,XP_660630.2,1379.0
NP_001342896.1,XP_663934.1,1370.0
NP_587863.1,XP_663934.1,1370.0
NP_592809.1,XP_661576.1,1369.0
NP_595772.1,XP_663175.1,1333.0
NP_593326.1,XP_657851.1,1316.0
NP_595402.1,XP_050468679.1,1299.0
NP_593943.3,XP_680998.1,1297.0
NP_594491.1,XP_661984.1,1293.0
NP_593253.1,XP_662325.1,1292.0
NP_001342779.1,XP_659778.2,1284.0
