query,subject,score
NP_013207.1,XP_455973.1,5125.0
NP_011967.1,XP_456065.1,4815.0
NP_014413.1,XP_455355.1,3764.0
NP_012405.2,XP_454643.1,3764.0
NP_012719.2,XP_452152.1,3643.0
NP_010110.1,XP_454839.1,3617.0
NP_012600.1,XP_452152.1,3383.0
NP_012739.1,XP_451653.1,3280.0
NP_013446.1,XP_451796.1,3199.0
NP_011546.3,XP_451796.1,3170.0
NP_015093.1,XP_452914.1,3112.0
NP_011320.3,XP_455642.1,3096.0
NP_014137.1,XP_452312.1,3068.0
NP_010745.3,XP_451611.1,2979.0
NP_011787.4,XP_451432.1,2929.0
NP_014986.3,XP_456115.1,2824.0
NP_010141.1,XP_455310.1,2796.0
NP_009767.1,XP_454317.1,2771.0
NP_011309.1,XP_455531.1,2722.0
NP_012137.3,XP_455287.1,2658.0
NP_013060.1,XP_453978.1,2616.0
NP_014036.1,XP_452829.1,2551.0
NP_015243.1,XP_455023.1,2545.0
NP_009551.2,XP_454735.1,2535.0
NP_014759.1,XP_454912.1,2519.0
NP_015267.1,XP_451960.1,2482.0
NP_013934.1,XP_455355.1,2418.0
NP_010412.1,XP_455965.1,2395.0
NP_012980.1,XP_451249.1,2388.0
NP_010454.3,XP_453828.1,2313.0
NP_014794.3,XP_451784.1,2291.0
NP_015335.1,XP_451816.1,2239.0
NP_011575.1,XP_451889.1,2212.0
NP_010419.3,XP_455982.1,2139.0
NP_009673.1,XP_451939.1,2133.0
NP_011093.3,XP_452988.1,2128.0
NP_014850.1,XP_455128.1,2125.0
NP_013052.1,XP_453970.1,2112.0
NP_010569.3,XP_452681.1,2094.0
NP_010378.1,XP_452988.1,2085.0
NP_009777.1,XP_452456.1,2082.0
NP_014796.3,XP_456048.1,2078.0
NP_010694.1,XP_456048.1,2077.0
NP_011453.1,XP_452456.1,2076.0
NP_011099.1,XP_452995.1,2069.0
NP_009694.3,XP_452905.1,2064.0
NP_014971.1,XP_451171.1,2048.0
NP_012426.1,XP_456032.1,2033.0
NP_010294.1,XP_453219.1,2030.0
NP_013956.1,XP_451897.1,1986.0
NP_009376.2,XP_451177.1,1975.0
NP_014311.3,XP_452818.1,1972.0
NP_014973.1,XP_456048.1,1962.0
NP_013488.3,XP_454181.1,1956.0
NP_011631.1,XP_452036.1,1955.0
NP_012707.1,XP_453046.1,1947.0
NP_010883.3,XP_454958.1,1909.0
NP_011091.1,XP_452985.1,1896.0
NP_012643.3,XP_455224.1,1895.0
NP_116648.2,XP_454493.1,1895.0
NP_012529.3,XP_455786.1,1843.0
NP_116674.2,XP_453267.1,1827.0
NP_014468.3,XP_453219.1,1826.0
NP_009477.1,XP_454879.1,1825.0
NP_013350.1,XP_455632.1,1821.0
NP_014384.3,XP_455632.1,1816.0
NP_013408.1,XP_452973.1,1812.0
NP_012485.1,XP_455141.1,1805.0
NP_011700.1,XP_455768.1,1800.0
NP_011797.3,XP_452837.1,1798.0
NP_013086.1,XP_453244.1,1795.0
NP_013827.1,XP_452090.1,1793.0
NP_012056.1,XP_451414.1,1792.0
NP_011733.3,XP_454673.1,1791.0
NP_013534.3,XP_451783.1,1785.0
NP_010136.1,XP_455301.1,1776.0
NP_014267.1,XP_456167.1,1776.0
NP_015165.1,XP_453334.1,1772.0
NP_011608.1,XP_453724.1,1766.0
NP_014297.3,XP_452791.1,1766.0
NP_014934.1,XP_451896.1,1764.0
NP_012793.2,XP_452090.1,1759.0
NP_015098.1,XP_452920.1,1755.0
NP_010622.1,XP_456046.1,1748.0
NP_014736.1,XP_452806.1,1741.0
NP_009474.1,XP_454882.1,1718.0
NP_011342.1,XP_456080.1,1713.0
NP_011734.3,XP_454672.1,1713.0
NP_012141.1,XP_455282.1,1701.0
NP_010181.2,XP_454020.1,1691.0
NP_011082.3,XP_453989.1,1689.0
NP_012216.1,XP_452573.1,1685.0
NP_012712.1,XP_452166.1,1667.0
NP_015107.1,XP_451623.1,1659.0
NP_014560.1,XP_454757.1,1644.0
NP_014776.1,XP_454080.1,1642.0
NP_010673.1,XP_454080.1,1642.0
NP_013514.1,XP_451657.1,1639.0
NP_014621.1,XP_451472.1,1629.0
NP_011604.3,XP_453716.1,1608.0
NP_011035.1,XP_454889.1,1606.0
NP_009698.3,XP_454757.1,1595.0
NP_014980.3,XP_455190.1,1590.0
NP_013847.1,XP_455863.1,1584.0
NP_012140.1,XP_455284.1,1578.0
NP_010621.1,XP_456051.1,1562.0
NP_011888.1,XP_454473.1,1561.0
NP_011507.1,XP_451395.1,1558.0
NP_116579.1,XP_451709.1,1556.0
NP_010892.1,XP_454979.1,1554.0
NP_011828.1,XP_453970.1,1554.0
NP_009804.1,XP_455384.1,1552.0
NP_012495.1,XP_454481.1,1532.0
NP_013523.3,XP_453204.1,1530.0
NP_010577.3,XP_452678.1,1529.0
NP_013559.1,XP_452000.1,1526.0
NP_012956.3,XP_456035.1,1519.0
NP_009531.1,XP_454420.1,1517.0
NP_014933.3,XP_451901.1,1516.0
NP_013923.1,XP_451986.1,1513.0
NP_011365.1,XP_454355.1,1511.0
NP_013475.1,XP_451877.1,1506.0
NP_015313.1,XP_456293.1,1503.0
NP_015289.1,XP_451395.1,1503.0
NP_013914.1,XP_453630.1,1503.0
NP_013639.1,XP_451743.1,1498.0
NP_116617.1,XP_453294.1,1493.0
NP_014039.1,XP_452833.1,1493.0
NP_011756.1,XP_451245.1,1477.0
NP_010157.1,XP_455337.1,1469.0
NP_009579.1,XP_453222.1,1459.0
NP_010993.1,XP_452551.1,1458.0
NP_015319.1,XP_456287.1,1457.0
NP_015486.1,XP_455538.1,1450.0
NP_010323.3,XP_456007.1,1446.0
NP_014948.1,XP_456186.1,1446.0
NP_010324.3,XP_456007.1,1443.0
NP_010325.1,XP_456007.1,1443.0
NP_012672.1,XP_451707.1,1439.0
NP_010579.1,XP_452671.1,1438.0
NP_009640.1,XP_454511.1,1436.0
NP_010382.3,XP_452992.1,1434.0
NP_011395.1,XP_451555.1,1432.0
NP_014729.1,XP_452819.1,1427.0
NP_013074.1,XP_455896.1,1422.0
NP_013797.1,XP_451821.1,1417.0
NP_010929.3,XP_452048.1,1417.0
NP_011308.1,XP_455530.1,1416.0
NP_014236.1,XP_453415.1,1412.0
NP_010096.1,XP_455325.1,1411.0
NP_011098.3,XP_452994.1,1409.0
NP_013407.1,XP_452974.1,1409.0
NP_015442.1,XP_453734.1,1407.0
NP_012198.3,XP_452551.1,1406.0
NP_013932.1,XP_455363.1,1405.0
NP_009937.2,XP_453265.1,1398.0
NP_013848.1,XP_455860.1,1392.0
NP_012323.1,XP_453962.1,1386.0
NP_009984.1,XP_452599.1,1386.0
NP_010425.1,XP_455884.1,1374.0
NP_009530.1,XP_455649.1,1374.0
NP_011833.1,XP_453979.1,1370.0
NP_010253.2,XP_456179.1,1369.0
NP_014428.1,XP_452580.1,1365.0
NP_010066.1,XP_453440.1,1365.0
NP_012123.1,XP_454537.1,1363.0
NP_012335.1,XP_452349.1,1353.0
NP_010992.1,XP_452556.1,1343.0
NP_011509.1,XP_451391.1,1338.0
NP_013513.3,XP_451658.1,1336.0
NP_010524.3,XP_452885.1,1335.0
NP_011892.1,XP_454469.1,1330.0
NP_015344.1,XP_452982.1,1330.0
NP_012756.1,XP_451853.1,1330.0
NP_012567.3,XP_454977.1,1328.0
NP_011314.2,XP_455539.1,1326.0
NP_116687.1,XP_453765.1,1325.0
NP_009794.3,XP_455560.1,1323.0
NP_011348.1,XP_451138.1,1323.0
NP_014276.1,XP_456153.1,1322.0
NP_010587.1,XP_452657.1,1319.0
NP_009636.3,XP_452850.1,1318.0
NP_012765.3,XP_452692.2,1318.0
NP_011051.3,XP_454562.1,1317.0
NP_013636.1,XP_451740.1,1316.0
NP_011720.3,XP_454511.1,1316.0
NP_116664.1,XP_451473.1,1312.0
NP_014567.2,XP_452398.1,1305.0
NP_015507.1,XP_454166.1,1303.0
NP_116686.3,XP_453764.1,1301.0
NP_009373.1,XP_451171.1,1301.0
NP_014312.1,XP_452819.1,1300.0
NP_009594.1,XP_453224.1,1298.0
NP_013451.1,XP_451788.1,1296.0
NP_010718.1,XP_451573.1,1293.0
NP_013526.1,XP_453195.1,1290.0
NP_013187.1,XP_455936.1,1287.0
NP_116578.3,XP_455348.1,1284.0
NP_013703.1,XP_451570.1,1282.0
NP_009877.1,XP_452227.1,1278.0
NP_014811.3,XP_455998.1,1275.0
NP_011786.1,XP_451429.1,1271.0
NP_015158.1,XP_452640.1,1271.0
NP_014691.1,XP_455419.1,1269.0
NP_011378.1,XP_451618.1,1268.0
NP_014752.3,XP_456129.1,1267.0
NP_013170.1,XP_453304.1,1264.0
NP_012934.1,XP_454574.1,1263.0
NP_011941.1,XP_453643.1,1261.0
NP_009446.2,XP_454239.1,1261.0
NP_009971.1,XP_452294.1,1260.0
NP_009536.1,XP_454425.1,1258.0
NP_116647.1,XP_453397.1,1256.0
NP_011015.3,XP_454859.1,1253.0
NP_011375.1,XP_452308.1,1251.0
NP_014639.1,XP_452473.1,1244.0
NP_011276.1,XP_451037.1,1243.0
NP_015351.1,XP_454247.1,1242.0
NP_012190.1,XP_452613.1,1240.0
NP_015215.1,XP_455109.1,1238.0
NP_015515.1,XP_451691.1,1238.0
NP_010091.2,XP_455319.1,1235.0
NP_013069.1,XP_452983.1,1234.0
NP_013493.2,XP_454175.1,1229.0
NP_012565.1,XP_454979.1,1226.0
NP_013230.1,XP_453783.1,1225.0
NP_014293.1,XP_456129.1,1225.0
NP_010544.3,XP_454711.1,1224.0
NP_014551.1,XP_455202.1,1224.0
NP_011352.1,XP_451134.1,1223.0
NP_014132.1,XP_452303.1,1220.0
NP_013764.1,XP_456266.1,1219.0
NP_012818.1,XP_455692.1,1218.0
NP_015200.1,XP_453356.1,1214.0
NP_011506.1,XP_451218.1,1214.0
NP_013555.1,XP_451740.1,1212.0
NP_012569.1,XP_454975.1,1211.0
NP_009365.1,XP_456116.1,1207.0
NP_013254.1,XP_453827.1,1207.0
NP_012119.1,XP_451026.1,1203.0
NP_013993.1,XP_454450.1,1200.0
NP_014149.1,XP_452327.1,1196.0
NP_013374.1,XP_455983.1,1192.0
NP_010265.1,XP_452382.1,1187.0
NP_011913.1,XP_452692.2,1186.0
NP_012579.1,XP_454960.1,1182.0
NP_013066.1,XP_453984.1,1182.0
NP_011269.2,XP_451028.1,1181.0
NP_011489.1,XP_454431.1,1180.0
NP_012461.1,XP_451012.2,1179.0
NP_010882.1,XP_454957.1,1179.0
NP_011614.1,XP_453735.1,1172.0
NP_014112.1,XP_454548.1,1168.0
NP_010359.1,XP_454407.1,1166.0
NP_015285.1,XP_453590.1,1165.0
NP_009672.1,XP_451940.2,1159.0
NP_012713.1,XP_452165.1,1157.0
NP_014854.2,XP_453360.1,1156.0
NP_009998.2,XP_452580.1,1155.0
NP_009379.2,XP_455792.1,1153.0
NP_011031.1,XP_454882.1,1151.0
NP_014190.1,XP_453906.1,1150.0
NP_010052.1,XP_453906.1,1150.0
NP_014543.1,XP_456284.1,1150.0
NP_009900.2,XP_452260.1,1149.0
NP_015219.1,XP_455059.1,1147.0
NP_010520.3,XP_452878.1,1146.0
NP_014015.1,XP_451417.1,1144.0
NP_011561.3,XP_452306.1,1143.0
NP_012157.3,XP_455249.1,1143.0
NP_013885.1,XP_454022.1,1141.0
NP_011421.1,XP_454804.1,1139.0
NP_012522.2,XP_456091.1,1137.0
NP_010376.3,XP_452984.1,1136.0
NP_012774.1,XP_453260.1,1135.0
NP_009385.2,XP_455425.1,1135.0
NP_013807.1,XP_455697.1,1134.0
NP_009347.1,XP_451146.1,1132.0
NP_009478.1,XP_454878.1,1130.0
NP_015399.1,XP_451936.1,1128.0
NP_010905.1,XP_451486.1,1127.0
NP_015349.1,XP_454250.1,1127.0
NP_012095.1,XP_454425.1,1126.0
NP_012313.1,XP_454425.1,1125.0
NP_012501.1,XP_453485.1,1125.0
NP_013323.1,XP_455676.1,1124.0
NP_014767.3,XP_454055.1,1123.0
NP_011493.1,XP_452719.1,1123.0
NP_014207.2,XP_456021.1,1123.0
NP_015232.1,XP_455039.1,1122.0
NP_011280.1,XP_451041.1,1120.0
NP_013379.1,XP_452404.1,1120.0
NP_013911.1,XP_453640.1,1118.0
NP_011884.1,XP_451373.1,1118.0
NP_013770.1,XP_456260.1,1118.0
NP_013376.1,XP_453475.1,1117.0
NP_013076.1,XP_453252.1,1115.0
NP_015084.1,XP_453640.1,1115.0
NP_014913.3,XP_452533.1,1113.0
NP_009655.2,XP_452060.1,1112.0
NP_009943.2,XP_451485.1,1111.0
NP_013359.1,XP_456111.1,1110.0
