query,subject,score
NP_012035.1,XP_001245132.2,3116.0
NP_012405.2,XP_001240175.1,2967.0
NP_014413.1,XP_001247056.1,2855.0
NP_010110.1,XP_001248715.1,2691.0
NP_011967.1,XP_001242569.2,2565.0
NP_013446.1,XP_001247982.1,2503.0
NP_011546.3,XP_001247982.1,2486.0
NP_015093.1,XP_001241314.1,2338.0
NP_012739.1,XP_004445014.1,2336.0
NP_012719.2,XP_001244924.2,2216.0
NP_014137.1,XP_001248123.1,2189.0
NP_012600.1,XP_001244924.2,2141.0
NP_013934.1,XP_001247056.1,2123.0
NP_014036.1,XP_001247982.1,2040.0
NP_012980.1,XP_001239562.1,2012.0
NP_013207.1,XP_001245947.2,1981.0
NP_011787.4,XP_001241737.1,1975.0
NP_010141.1,XP_001243803.1,1897.0
NP_011309.1,XP_001239951.1,1867.0
NP_013060.1,XP_001247814.1,1850.0
NP_011099.1,XP_012214356.1,1750.0
NP_014794.3,XP_001240650.2,1706.0
NP_009777.1,XP_001239952.1,1666.0
NP_011453.1,XP_001239952.1,1657.0
NP_014759.1,XP_001246195.2,1620.0
NP_014850.1,XP_001242390.1,1576.0
NP_012643.3,XP_001248455.1,1556.0
NP_015243.1,XP_001244437.1,1548.0
NP_012707.1,XP_001247190.2,1512.0
NP_014796.3,XP_001247647.1,1503.0
NP_009376.2,XP_001247037.1,1486.0
NP_010694.1,XP_001247647.1,1460.0
NP_010412.1,XP_001243950.2,1456.0
NP_011093.3,XP_001241902.2,1456.0
NP_011575.1,XP_001242574.1,1455.0
NP_011320.3,XP_001247140.2,1447.0
NP_010378.1,XP_001241902.2,1442.0
NP_014973.1,XP_001247647.1,1440.0
NP_010419.3,XP_001242271.1,1439.0
NP_015335.1,XP_001247351.1,1438.0
NP_014986.3,XP_001243937.1,1410.0
NP_014776.1,XP_001245593.1,1406.0
NP_010673.1,XP_001245593.1,1406.0
NP_009477.1,XP_001243953.1,1386.0
NP_015510.1,XP_001238959.2,1372.0
NP_014971.1,XP_001242465.1,1367.0
NP_012141.1,XP_001247826.2,1350.0
NP_009673.1,XP_001247720.1,1337.0
NP_011507.1,XP_001242392.1,1335.0
NP_014267.1,XP_001245384.1,1333.0
NP_014384.3,XP_004446234.1,1328.0
NP_013350.1,XP_004446234.1,1312.0
NP_015289.1,XP_001242392.1,1311.0
NP_010993.1,XP_001244657.2,1303.0
NP_010883.3,XP_001246341.2,1301.0
NP_013827.1,XP_001241608.1,1296.0
