query,subject,score
NP_594133.1,XP_024553303.1,3012.0
NP_593055.1,XP_001553899.1,3009.0
NP_593271.1,XP_024550058.1,2934.0
NP_595359.2,XP_024546753.1,2535.0
NP_593823.1,XP_024545928.1,2507.0
NP_588370.1,XP_001552108.2,2463.0
NP_593346.1,XP_001561403.1,2348.0
NP_593861.1,XP_024550372.1,2313.0
NP_595777.1,XP_024547007.1,2302.0
NP_588501.1,XP_024547254.1,2271.0
NP_594370.1,XP_024545930.1,2220.0
NP_596275.1,XP_024546753.1,2195.0
NP_594032.1,XP_024547254.1,2181.0
NP_588165.3,XP_001553408.1,2158.0
NP_596354.1,XP_001551077.2,2104.0
NP_596500.1,XP_001553408.1,2082.0
NP_594148.1,XP_024546643.1,2033.0
NP_596560.1,XP_001547460.1,1996.0
NP_595673.1,XP_001549037.1,1982.0
NP_595971.1,XP_024547254.1,1962.0
NP_594766.1,XP_024547254.1,1848.0
NP_593101.2,XP_024552845.1,1846.0
NP_595900.1,XP_024546644.1,1667.0
NP_596080.2,XP_024551207.1,1657.0
NP_596685.1,XP_024546326.1,1650.0
NP_592810.1,XP_001554380.1,1648.0
NP_593690.1,XP_024548343.1,1619.0
NP_001342921.1,XP_001552215.2,1618.0
NP_594681.1,XP_001548219.2,1589.0
NP_001018282.1,XP_001553408.1,1586.0
NP_595506.1,XP_001550869.2,1529.0
NP_593669.1,XP_001554457.1,1529.0
NP_001342827.1,XP_001552063.2,1511.0
NP_593217.1,XP_001554198.1,1504.0
NP_596486.1,XP_024553889.1,1484.0
NP_595819.2,XP_024547942.1,1462.0
NP_596300.1,XP_024552643.1,1457.0
NP_594538.2,XP_001555199.1,1454.0
NP_595619.1,XP_001553408.1,1448.0
NP_595569.1,XP_001548195.1,1397.0
NP_595279.1,XP_001552780.1,1395.0
NP_592849.1,XP_024551073.1,1395.0
NP_593253.1,XP_001547691.2,1370.0
NP_001342896.1,XP_024549661.1,1364.0
NP_587863.1,XP_024549661.1,1364.0
NP_593296.1,XP_024546926.1,1362.0
NP_001342911.1,XP_024552794.1,1355.0
NP_594360.1,XP_001554426.1,1346.0
NP_587959.2,XP_001554426.1,1345.0
NP_596124.1,XP_024550510.1,1342.0
NP_592809.1,XP_001554380.1,1333.0
NP_595772.1,XP_001549031.2,1313.0
NP_588285.1,XP_024552251.1,1310.0
NP_593252.1,XP_001552234.2,1300.0
NP_595805.1,XP_001548951.1,1295.0
NP_593326.1,XP_024548987.1,1276.0
NP_587932.3,XP_024549700.1,1269.0
NP_593287.2,XP_001553950.1,1268.0
NP_594314.1,XP_024548068.1,1267.0
NP_593971.1,XP_024552001.1,1261.0
NP_594491.1,XP_001549288.1,1260.0
NP_593943.3,XP_024551196.1,1259.0
NP_587882.1,XP_024547819.1,1255.0
NP_594414.1,XP_024551352.1,1251.0
NP_001342744.1,XP_024551284.1,1249.0
NP_592862.1,XP_024547007.1,1245.0
NP_593370.1,XP_024549207.1,1243.0
NP_001342779.1,XP_024552047.1,1236.0
NP_595256.1,XP_001557201.2,1236.0
NP_595402.1,XP_024548562.1,1224.0
NP_593025.1,XP_024552645.1,1201.0
NP_594882.1,XP_001546406.1,1191.0
NP_594555.1,XP_024552343.1,1182.0
NP_594186.1,XP_001553328.1,1176.0
