query,subject,score
NP_012405.2,XP_001553899.1,2957.0
NP_014413.1,XP_024550058.1,2908.0
NP_010110.1,XP_024553303.1,2701.0
NP_015093.1,XP_024545928.1,2455.0
NP_012739.1,XP_024545930.1,2420.0
NP_013446.1,XP_024547254.1,2413.0
NP_011546.3,XP_024547254.1,2391.0
NP_012719.2,XP_024546753.1,2234.0
NP_012600.1,XP_024546753.1,2168.0
NP_013934.1,XP_024550058.1,2167.0
NP_014137.1,XP_001551077.2,2090.0
NP_011967.1,XP_024547007.1,2082.0
NP_013207.1,XP_001552108.2,2066.0
NP_012035.1,XP_024550372.1,2034.0
NP_014036.1,XP_024547254.1,1956.0
NP_011787.4,XP_001547460.1,1938.0
NP_011309.1,XP_024546643.1,1913.0
NP_012980.1,XP_001552215.2,1889.0
NP_013060.1,XP_001552063.2,1855.0
NP_010141.1,XP_001549037.1,1842.0
NP_011099.1,XP_001561403.1,1719.0
NP_014794.3,XP_024552845.1,1711.0
NP_009777.1,XP_024546644.1,1647.0
NP_011453.1,XP_024546644.1,1641.0
NP_014850.1,XP_024548343.1,1610.0
NP_014759.1,XP_001550869.2,1599.0
NP_015243.1,XP_024551207.1,1583.0
NP_012643.3,XP_024546326.1,1562.0
NP_011320.3,XP_001554457.1,1553.0
NP_012707.1,XP_001554380.1,1512.0
NP_010412.1,XP_001548219.2,1507.0
NP_015335.1,XP_024547942.1,1462.0
NP_011093.3,XP_024551073.1,1461.0
NP_009376.2,XP_024553889.1,1456.0
NP_014796.3,XP_001555249.2,1452.0
NP_015510.1,XP_001556509.1,1449.0
NP_010378.1,XP_024551074.1,1440.0
NP_010694.1,XP_001555249.2,1435.0
NP_010419.3,XP_024551196.1,1432.0
NP_014986.3,XP_024552643.1,1431.0
NP_014973.1,XP_001555249.2,1431.0
NP_014971.1,XP_001555378.2,1395.0
NP_009477.1,XP_001548195.1,1390.0
NP_014776.1,XP_024549661.1,1387.0
NP_010673.1,XP_024549661.1,1387.0
NP_011507.1,XP_001554426.1,1354.0
NP_015289.1,XP_001554426.1,1343.0
NP_012141.1,XP_001549031.2,1338.0
