query,subject,score
NP_593861.1,NP_983156.2,3096.0
NP_593055.1,NP_983665.2,2978.0
NP_593271.1,NP_982612.1,2726.0
NP_594133.1,NP_984386.2,2622.0
NP_595359.2,NP_985967.2,2455.0
NP_593823.1,NP_985412.2,2231.0
NP_588501.1,NP_983223.2,2172.0
NP_595777.1,NP_985248.2,2152.0
NP_588370.1,NP_986739.2,2150.0
NP_596275.1,NP_985967.2,2124.0
NP_594032.1,NP_983223.2,2034.0
NP_595673.1,NP_984182.2,2013.0
NP_594370.1,NP_984945.2,1960.0
NP_596354.1,NP_986205.2,1876.0
NP_595971.1,NP_983223.2,1807.0
NP_593101.2,NP_985951.1,1796.0
NP_594766.1,NP_983223.2,1776.0
NP_594148.1,NP_985215.2,1746.0
NP_593690.1,NP_983821.2,1725.0
NP_596560.1,NP_983089.2,1717.0
NP_595506.1,NP_985109.2,1674.0
NP_593346.1,NP_986779.1,1670.0
NP_596300.1,NP_984470.2,1636.0
NP_595819.2,NP_982975.2,1572.0
NP_595900.1,NP_982705.2,1541.0
NP_596080.2,NP_984605.2,1463.0
NP_594681.1,NP_986731.2,1457.0
NP_592810.1,NP_983061.1,1436.0
NP_593296.1,NP_986120.1,1402.0
NP_596685.1,NP_983105.2,1397.0
NP_001342896.1,NP_985689.1,1393.0
NP_587863.1,NP_985689.1,1393.0
NP_595569.1,NP_985249.2,1377.0
NP_596486.1,NP_984446.2,1372.0
NP_588285.1,NP_982514.2,1309.0
NP_001342839.1,NP_984680.2,1306.0
NP_594360.1,NP_986581.1,1300.0
NP_587959.2,NP_986581.1,1290.0
NP_592862.1,NP_985248.2,1286.0
NP_593669.1,NP_985716.2,1280.0
NP_593326.1,NP_987012.2,1269.0
NP_593287.2,NP_985705.2,1261.0
NP_595435.1,NP_982575.1,1259.0
NP_001342911.1,NP_983968.2,1254.0
NP_592849.1,NP_986786.2,1253.0
NP_595805.1,NP_985265.1,1251.0
NP_595772.1,NP_985230.2,1247.0
NP_001342921.1,NP_983660.1,1246.0
NP_594491.1,NP_984039.2,1246.0
NP_001342861.1,NP_986789.1,1233.0
NP_592809.1,NP_983061.1,1226.0
NP_595402.1,NP_984554.2,1201.0
NP_001342779.1,NP_985980.1,1191.0
NP_593252.1,NP_982870.2,1179.0
NP_593943.3,NP_986712.2,1177.0
NP_587932.3,NP_983072.3,1177.0
NP_594314.1,NP_983749.2,1169.0
NP_596124.1,NP_985361.2,1169.0
NP_594882.1,NP_982454.2,1161.0
NP_593971.1,NP_985901.1,1154.0
NP_594031.2,NP_984065.1,1128.0
NP_593640.1,NP_984459.1,1122.0
NP_593025.1,NP_986780.1,1117.0
NP_593474.1,NP_985827.1,1116.0
NP_595256.1,NP_983283.2,1114.0
NP_593660.1,NP_986789.1,1101.0
NP_595279.1,NP_984173.1,1098.0
NP_001342827.1,NP_983340.2,1098.0
NP_587882.1,NP_986114.2,1079.0
NP_595055.1,NP_986712.2,1076.0
NP_595937.1,NP_982723.1,1063.0
NP_594759.1,NP_986786.2,1050.0
NP_588492.1,NP_984450.1,1038.0
NP_593720.1,NP_984017.1,1038.0
NP_594396.1,NP_984041.1,1036.0
NP_595102.2,NP_985437.2,1034.0
NP_594555.1,NP_986520.2,1033.0
NP_594538.2,NP_984430.2,1033.0
NP_593704.1,NP_985044.2,1024.0
NP_588421.1,NP_985661.1,1022.0
NP_588472.2,NP_986109.2,1021.0
NP_594861.1,NP_985231.1,1019.0
NP_596653.1,NP_984830.1,1018.0
NP_594954.1,NP_986520.2,1016.0
NP_593253.1,NP_982561.2,1015.0
NP_596437.2,NP_983283.2,1010.0
NP_587877.1,NP_984942.1,1001.0
NP_588004.2,NP_984071.2,983.0
NP_595477.1,NP_985725.1,978.0
