query,subject,score
NP_593055.1,XP_001590813.1,2996.0
NP_594133.1,XP_001591223.1,2950.0
NP_593271.1,XP_001592109.1,2924.0
NP_595359.2,XP_001586369.1,2559.0
NP_593823.1,XP_001585982.1,2466.0
NP_593346.1,XP_001594627.1,2325.0
NP_595777.1,XP_001597533.1,2315.0
NP_588501.1,XP_001586992.1,2301.0
NP_593861.1,XP_001595120.1,2301.0
NP_596275.1,XP_001586369.1,2207.0
NP_594032.1,XP_001586992.1,2205.0
NP_594370.1,XP_001585981.1,2199.0
NP_588165.3,XP_001595294.1,2129.0
NP_596354.1,XP_001586904.1,2093.0
NP_595673.1,XP_001593006.1,2011.0
NP_596560.1,XP_001585979.1,2003.0
NP_594148.1,XP_001586262.1,2001.0
NP_595971.1,XP_001586992.1,1979.0
NP_588370.1,XP_001589045.1,1887.0
NP_594766.1,XP_001586992.1,1868.0
NP_593101.2,XP_001598796.1,1818.0
NP_596500.1,XP_001595294.1,1642.0
NP_592810.1,XP_001588149.1,1634.0
NP_595900.1,XP_001586261.1,1627.0
NP_594681.1,XP_001585666.1,1619.0
NP_593690.1,XP_001595664.1,1609.0
NP_001342921.1,XP_001590746.1,1600.0
NP_596080.2,XP_001591756.1,1584.0
NP_001018282.1,XP_001595294.1,1571.0
NP_595506.1,XP_001588093.1,1528.0
NP_001342827.1,XP_001592808.1,1515.0
NP_593217.1,XP_001591966.1,1510.0
NP_593669.1,XP_001595642.1,1493.0
NP_596300.1,XP_001589882.1,1451.0
NP_595619.1,XP_001595294.1,1435.0
NP_594538.2,XP_001596870.1,1431.0
NP_595279.1,XP_001587889.1,1404.0
NP_593253.1,XP_001585297.1,1375.0
NP_593296.1,XP_001597620.1,1358.0
NP_595819.2,XP_001585849.1,1351.0
NP_594360.1,XP_001595647.1,1341.0
NP_596124.1,XP_001587512.1,1338.0
NP_587959.2,XP_001595647.1,1337.0
NP_001342839.1,XP_001595862.1,1330.0
NP_592809.1,XP_001588149.1,1325.0
NP_595772.1,XP_001593012.1,1324.0
NP_588285.1,XP_001585264.1,1319.0
NP_593252.1,XP_001590648.1,1310.0
NP_595805.1,XP_001597734.1,1293.0
NP_587932.3,XP_001597846.1,1272.0
NP_593287.2,XP_001595101.1,1271.0
NP_593326.1,XP_001587121.1,1270.0
NP_592862.1,XP_001597533.1,1266.0
NP_594491.1,XP_001588490.1,1256.0
NP_001342744.1,XP_001591841.1,1256.0
NP_593971.1,XP_001590405.1,1254.0
NP_001342779.1,XP_001590519.1,1241.0
NP_001342896.1,XP_001597147.1,1234.0
NP_587863.1,XP_001597147.1,1234.0
NP_594314.1,XP_001590445.1,1232.0
NP_595256.1,XP_001595805.1,1222.0
NP_595402.1,XP_001592741.1,1219.0
NP_587882.1,XP_001598115.1,1213.0
NP_587890.1,XP_001595034.1,1201.0
NP_001342911.1,XP_001588624.1,1199.0
NP_593943.3,XP_001592006.1,1194.0
NP_593370.1,XP_001589712.1,1192.0
NP_594555.1,XP_001584976.1,1169.0
NP_594186.1,XP_001590014.1,1164.0
NP_594954.1,XP_001584976.1,1162.0
NP_593482.1,XP_001591051.1,1162.0
NP_596685.1,XP_001590813.1,1159.0
NP_594031.2,XP_001587807.1,1152.0
NP_594882.1,XP_001588282.1,1150.0
NP_595890.2,XP_001596681.1,1141.0
NP_594414.1,XP_001591524.1,1140.0
NP_596503.1,XP_001586571.1,1132.0
NP_593035.1,XP_001589102.1,1127.0
NP_592832.2,XP_001595388.1,1121.0
NP_594861.1,XP_001591571.1,1117.0
NP_596653.1,XP_001597366.1,1112.0
NP_001018299.1,XP_001592061.1,1110.0
NP_595937.1,XP_001589848.1,1110.0
NP_596486.1,XP_001590049.1,1107.0
NP_594813.1,XP_001592873.1,1102.0
NP_596437.2,XP_001595805.1,1085.0
NP_595055.1,XP_001592006.1,1078.0
NP_587900.1,XP_001586493.1,1064.0
NP_594396.1,XP_001595619.1,1063.0
NP_595304.1,XP_001586322.1,1036.0
NP_594290.1,XP_001586865.1,1029.0
NP_593640.1,XP_001593079.1,1028.0
NP_596614.1,XP_001585285.1,1028.0
NP_588114.1,XP_001598401.1,1025.0
NP_596180.1,XP_001589120.1,1019.0
NP_596329.1,XP_001587896.1,1018.0
NP_595102.2,XP_001590480.1,1015.0
NP_595477.1,XP_001598933.1,1009.0
NP_593979.1,XP_001594341.1,1006.0
NP_596526.1,XP_001593426.1,1006.0
NP_596689.2,XP_001587123.1,999.0
NP_594319.1,XP_001591238.1,993.0
NP_595403.1,XP_001597359.1,993.0
NP_596202.1,XP_001596163.1,993.0
NP_596171.1,XP_001590866.1,992.0
NP_001342849.1,XP_001595701.1,988.0
NP_594069.2,XP_001594200.1,988.0
NP_596117.1,XP_001592469.1,986.0
NP_593572.1,XP_001595862.1,986.0
NP_587766.1,XP_001595276.1,984.0
NP_593474.1,XP_001591079.1,983.0
NP_588086.1,XP_001585957.1,981.0
NP_595686.2,XP_001588001.1,981.0
NP_594487.2,XP_001588343.1,979.0
NP_593890.1,XP_001592427.1,975.0
NP_588502.1,XP_001586922.1,974.0
NP_588421.1,XP_001598048.1,974.0
NP_001342702.1,XP_001598220.1,971.0
NP_588472.2,XP_001591571.1,969.0
NP_593704.1,XP_001598048.1,967.0
NP_595246.1,XP_001592311.1,964.0
NP_593352.1,XP_001588472.1,964.0
NP_593816.1,XP_001598401.1,963.0
NP_593080.1,XP_001598882.1,961.0
NP_593245.1,XP_001596050.1,960.0
NP_595392.1,XP_001587785.1,950.0
NP_588004.2,XP_001597084.1,947.0
NP_001342781.1,XP_001584813.1,946.0
NP_595343.1,XP_001591087.1,945.0
NP_588344.1,XP_001594528.1,938.0
NP_595946.1,XP_001587610.1,936.0
