query,subject,score
NP_011967.1,XP_501349.1,3227.0
NP_012405.2,XP_503737.1,3159.0
NP_014413.1,XP_501721.1,3003.0
NP_010110.1,XP_501118.1,2856.0
NP_013207.1,XP_500637.1,2803.0
NP_011546.3,XP_504213.2,2620.0
NP_013446.1,XP_504213.2,2620.0
NP_012719.2,XP_505106.1,2575.0
NP_012600.1,XP_505106.1,2518.0
NP_012739.1,XP_500912.1,2460.0
NP_015093.1,XP_501096.1,2439.0
NP_009767.1,XP_503658.1,2216.0
NP_010141.1,XP_501909.2,2205.0
NP_011787.4,XP_500859.1,2165.0
NP_013934.1,XP_501721.1,2146.0
NP_014036.1,XP_504213.2,2055.0
NP_014986.3,XP_505388.1,2012.0
NP_014759.1,XP_502142.1,1956.0
NP_013060.1,XP_505096.2,1948.0
NP_011309.1,XP_500150.1,1917.0
NP_014794.3,XP_502376.1,1911.0
NP_014850.1,XP_500966.1,1838.0
NP_009777.1,XP_502210.1,1798.0
NP_011453.1,XP_502210.1,1791.0
NP_011575.1,XP_506031.1,1699.0
NP_012980.1,XP_504704.1,1697.0
NP_014137.1,XP_504422.1,1690.0
NP_015243.1,XP_506078.1,1664.0
NP_015335.1,XP_503752.1,1626.0
NP_012643.3,XP_502204.1,1622.0
NP_010419.3,XP_504380.1,1620.0
NP_011099.1,XP_505676.1,1595.0
NP_009376.2,XP_504778.1,1573.0
NP_010294.1,XP_505559.1,1573.0
NP_010412.1,XP_505337.1,1561.0
NP_015267.1,XP_505559.1,1526.0
NP_015510.1,XP_500229.1,1523.0
NP_013350.1,XP_503895.1,1521.0
NP_014384.3,XP_503895.1,1519.0
NP_011093.3,XP_501288.1,1514.0
NP_014776.1,XP_499612.1,1513.0
NP_010673.1,XP_499612.1,1513.0
NP_009673.1,XP_503627.1,1490.0
NP_010378.1,XP_501288.1,1489.0
NP_011320.3,XP_502953.1,1483.0
NP_014971.1,XP_503362.1,1471.0
NP_011608.1,XP_505653.1,1449.0
NP_013052.1,XP_503935.1,1447.0
NP_011507.1,XP_501205.1,1430.0
NP_009477.1,XP_499609.1,1423.0
NP_010694.1,XP_500428.1,1421.0
NP_012141.1,XP_504734.2,1420.0
NP_014468.3,XP_505559.1,1419.0
NP_014311.3,XP_503213.1,1416.0
NP_011091.1,XP_501282.1,1412.0
NP_014796.3,XP_500428.1,1403.0
NP_014267.1,XP_500898.1,1398.0
NP_014973.1,XP_500428.1,1389.0
NP_015289.1,XP_501205.1,1380.0
NP_015165.1,XP_504360.1,1377.0
NP_116579.1,XP_502687.1,1375.0
NP_010157.1,XP_505319.1,1365.0
NP_013827.1,XP_503442.1,1360.0
NP_012707.1,XP_503458.2,1357.0
NP_012216.1,XP_504850.1,1324.0
NP_012485.1,XP_502733.1,1311.0
NP_012712.1,XP_503611.1,1308.0
NP_015098.1,XP_500490.1,1306.0
NP_010883.3,XP_505730.1,1305.0
NP_012793.2,XP_503442.1,1301.0
NP_011734.3,XP_505234.2,1297.0
NP_010181.2,XP_499875.1,1297.0
NP_013407.1,XP_502616.2,1270.0
NP_012137.3,XP_503214.1,1268.0
NP_010993.1,XP_506109.1,1265.0
NP_011828.1,XP_503935.1,1260.0
NP_011098.3,XP_505677.1,1241.0
NP_009640.1,XP_503399.1,1233.0
NP_009579.1,XP_502222.2,1230.0
NP_010454.3,XP_503192.1,1228.0
NP_014980.3,XP_500483.1,1227.0
NP_012198.3,XP_506109.1,1224.0
NP_012123.1,XP_500771.1,1210.0
NP_014934.1,XP_503183.1,1205.0
NP_011720.3,XP_503399.1,1202.0
