sequences,occurrence
NP_595359.2,10
NP_594491.1,0
NP_595805.1,0
NP_593287.2,0
NP_593055.1,10
NP_588370.1,4
NP_595673.1,4
NP_594133.1,9
NP_592862.1,0
NP_593346.1,3
NP_594370.1,1
NP_595506.1,0
NP_588501.1,10
NP_596300.1,0
NP_593271.1,10
NP_596354.1,0
NP_593823.1,10
NP_596275.1,3
NP_593861.1,10
NP_595569.1,0
NP_595777.1,6
NP_593101.2,0
NP_593690.1,0
NP_594032.1,6
