query,subject,score
NP_593101.2,NP_586140.1,1454.0
NP_595673.1,NP_597540.1,1411.0
NP_595805.1,NP_584718.1,1272.0
NP_593690.1,NP_586343.1,1191.0
NP_595506.1,NP_585937.2,1140.0
NP_593287.2,NP_001402211.1,924.0
NP_596300.1,NP_584825.1,871.0
NP_594491.1,NP_586207.1,853.0
NP_596354.1,NP_586236.2,838.0
NP_595569.1,NP_586416.1,836.0
NP_596124.1,NP_001402296.1,811.0
NP_593425.1,NP_586434.1,786.0
NP_594862.1,NP_597239.2,779.0
NP_588114.1,NP_584783.2,775.0
NP_593474.1,NP_001402192.1,775.0
NP_593816.1,NP_584783.2,766.0
NP_595819.2,NP_597555.2,762.0
NP_594623.1,NP_586219.1,740.0
NP_595435.1,NP_584798.1,720.0
NP_593861.1,NP_584759.2,713.0
NP_593025.1,NP_585776.1,695.0
NP_596011.1,NP_586057.1,694.0
NP_596650.1,NP_597591.1,687.0
NP_001342896.1,NP_586452.1,672.0
NP_587863.1,NP_586452.1,672.0
NP_596732.1,NP_586464.1,663.0
NP_595477.1,NP_584768.1,662.0
NP_593720.1,NP_001402397.1,643.0
NP_595106.1,NP_586048.1,634.0
NP_595618.1,NP_001402130.1,628.0
NP_001342779.1,NP_597602.1,625.0
NP_596774.1,NP_586048.1,622.0
NP_593459.1,NP_586360.1,612.0
NP_593218.1,NP_001402259.1,604.0
NP_001342826.1,NP_586084.1,604.0
NP_588004.2,NP_584640.1,583.0
NP_595870.1,NP_001402438.1,580.0
NP_588370.1,NP_597317.1,568.0
NP_001342839.1,NP_584774.1,565.0
NP_596503.1,NP_586448.1,562.0
NP_596805.1,NP_597641.1,558.0
NP_001342928.1,NP_585790.1,551.0
NP_596614.1,NP_597420.2,550.0
NP_594263.2,NP_586205.2,546.0
NP_587795.1,NP_597158.1,539.0
NP_588437.1,NP_597323.1,533.0
NP_595892.1,NP_584742.2,531.0
NP_596162.1,NP_584661.2,525.0
NP_593640.1,NP_584674.1,522.0
NP_593572.1,NP_584774.1,522.0
NP_593277.1,NP_585855.1,516.0
NP_595392.1,NP_585996.2,514.0
NP_593245.1,NP_586360.1,511.0
NP_596545.1,NP_001402388.1,510.0
NP_596117.1,NP_586448.1,509.0
NP_596002.2,NP_586483.1,504.0
NP_595480.1,NP_586091.1,503.0
NP_593935.1,NP_586296.1,497.0
NP_594365.1,NP_584635.1,495.0
NP_001342849.1,NP_586287.2,493.0
NP_593326.1,NP_586143.1,492.0
NP_587809.2,NP_585947.1,492.0
NP_595333.1,NP_597645.1,491.0
NP_596066.1,NP_585768.1,489.0
NP_588421.1,NP_586360.1,489.0
NP_596710.1,NP_001402211.1,489.0
NP_595949.1,NP_597533.1,488.0
NP_593704.1,NP_586360.1,485.0
NP_001342870.1,NP_586257.1,484.0
NP_595810.1,NP_586139.1,484.0
NP_588291.2,NP_597371.1,483.0
NP_593080.1,NP_586281.2,480.0
NP_595898.1,NP_001402155.1,480.0
NP_594690.1,NP_597649.1,479.0
NP_593350.1,NP_597382.1,479.0
NP_596317.1,NP_586372.1,479.0
NP_593819.1,NP_584798.1,478.0
NP_595890.2,NP_001402267.1,475.0
NP_593092.1,NP_586042.1,471.0
NP_588095.1,NP_584813.2,471.0
NP_593253.1,NP_001402267.1,469.0
NP_596233.1,NP_584783.2,468.0
NP_593483.1,NP_584646.1,466.0
NP_595586.1,NP_586395.1,463.0
NP_001342764.1,NP_586372.1,462.0
NP_595438.1,NP_586360.1,459.0
NP_588132.1,NP_597539.1,459.0
NP_593318.2,NP_584647.1,459.0
NP_596523.1,NP_597238.1,456.0
NP_588492.1,NP_584783.2,454.0
NP_595792.1,NP_001402211.1,454.0
NP_593882.1,NP_586388.1,451.0
NP_595686.2,NP_001402267.1,448.0
NP_593971.1,NP_584560.1,447.0
NP_587900.1,NP_586385.1,445.0
NP_596049.2,NP_584776.1,444.0
NP_596761.1,NP_584791.2,436.0
NP_594878.1,NP_597445.1,429.0
NP_594079.1,NP_597645.1,429.0
NP_001342960.1,NP_584753.1,428.0
NP_593017.1,NP_001402301.1,428.0
NP_596546.1,NP_585829.1,426.0
NP_595940.1,NP_584753.1,426.0
NP_596319.1,NP_586385.1,424.0
NP_001342802.1,NP_597415.1,423.0
NP_588209.1,NP_584781.1,422.0
NP_594783.1,NP_001402392.1,422.0
NP_593668.2,NP_001402230.1,421.0
NP_001342776.1,NP_597422.1,421.0
NP_588344.1,NP_586186.1,421.0
NP_594037.1,NP_001402230.1,421.0
NP_596355.1,NP_586178.1,418.0
NP_594078.1,NP_586093.1,417.0
NP_001018299.1,NP_001402443.1,417.0
NP_596147.1,NP_597196.1,417.0
NP_595402.1,NP_584783.2,417.0
NP_595937.1,NP_586392.1,417.0
NP_594680.1,NP_597376.1,416.0
NP_596745.1,NP_586261.1,409.0
NP_596560.1,NP_586011.1,407.0
NP_596498.1,NP_001402266.1,407.0
NP_001342861.1,NP_001402119.1,407.0
NP_593346.1,NP_586011.1,404.0
NP_001342911.1,NP_586330.2,399.0
NP_593660.1,NP_001402119.1,397.0
NP_593896.1,NP_001402418.1,396.0
NP_593091.1,NP_586392.1,394.0
NP_594861.1,NP_586247.1,394.0
NP_595362.1,NP_584599.1,393.0
NP_593254.1,NP_586394.1,390.0
NP_595226.1,NP_001402265.1,390.0
NP_588472.2,NP_586247.1,390.0
NP_596486.1,NP_585849.1,389.0
NP_596014.1,NP_586287.2,387.0
NP_594205.1,NP_001402165.1,387.0
NP_588348.1,NP_586202.1,387.0
NP_596653.1,NP_597581.1,385.0
NP_593373.1,NP_586372.1,385.0
NP_596704.1,NP_001402130.1,385.0
NP_595225.2,NP_597257.1,383.0
NP_595640.1,NP_586433.1,382.0
NP_587882.1,NP_586078.2,380.0
NP_596080.2,NP_597661.1,378.0
NP_593471.1,NP_597630.1,375.0
NP_592983.1,NP_586359.1,375.0
NP_594780.1,NP_597630.1,374.0
NP_596635.1,NP_597407.1,372.0
NP_594482.1,NP_597437.1,369.0
NP_594902.1,NP_586253.1,366.0
NP_596077.1,NP_597184.1,363.0
NP_593629.1,NP_001402267.1,363.0
NP_588091.1,NP_001402294.1,362.0
NP_594867.1,NP_584758.1,362.0
NP_595998.1,NP_001402233.1,360.0
NP_594219.2,NP_001402432.1,358.0
NP_595304.1,NP_586351.2,358.0
NP_595345.1,NP_584647.1,357.0
NP_593740.1,NP_584753.1,353.0
NP_594034.2,NP_586084.1,352.0
NP_595837.1,NP_597462.1,352.0
NP_596272.1,NP_584800.1,348.0
NP_588225.1,NP_585900.1,347.0
NP_596324.1,NP_001402417.1,345.0
NP_001342919.1,NP_001402130.1,345.0
NP_596689.2,NP_586452.1,343.0
NP_594135.1,NP_584655.1,342.0
NP_596646.1,NP_584753.1,341.0
NP_596154.1,NP_586008.1,339.0
NP_001342712.1,NP_586008.1,339.0
NP_588420.1,NP_584753.1,338.0
NP_587856.1,NP_597238.1,338.0
NP_587758.1,NP_597539.1,337.0
NP_595903.1,NP_586285.1,335.0
NP_587876.1,NP_597455.1,333.0
NP_596168.1,NP_584797.1,332.0
NP_593273.1,NP_597467.2,332.0
NP_594305.1,NP_001402231.1,329.0
NP_595155.1,NP_584579.1,329.0
NP_001342995.1,NP_597319.1,328.0
NP_596441.2,NP_585818.1,328.0
NP_593835.1,NP_586159.1,323.0
NP_594014.1,NP_586363.1,322.0
NP_595385.1,NP_586247.1,320.0
NP_593520.1,NP_586183.1,320.0
NP_594186.1,NP_597442.2,320.0
NP_596388.1,NP_597238.1,319.0
NP_595519.1,NP_001402372.1,319.0
NP_592986.1,NP_586424.1,319.0
NP_588142.1,NP_585898.1,319.0
NP_596229.1,NP_586197.1,319.0
NP_596409.1,NP_586026.2,318.0
NP_592884.1,NP_584665.1,317.0
NP_001342933.1,NP_584743.1,314.0
NP_588387.1,NP_584742.2,313.0
NP_587766.1,NP_586452.1,313.0
NP_001342756.1,NP_586375.1,312.0
NP_595946.1,NP_597579.2,311.0
NP_594972.1,NP_597617.1,310.0
NP_596064.1,NP_597632.1,310.0
NP_595095.1,NP_597428.2,310.0
NP_596527.1,NP_001402194.1,310.0
NP_594166.1,NP_586388.1,309.0
NP_588033.1,NP_597238.1,309.0
NP_595938.1,NP_584797.1,309.0
NP_594442.1,NP_584773.1,306.0
NP_001018769.2,NP_586285.1,305.0
NP_593642.1,NP_597494.1,304.0
NP_594566.1,NP_584829.1,304.0
NP_001342753.1,NP_584797.1,301.0
NP_588352.1,NP_585835.1,301.0
NP_595146.1,NP_001402345.1,300.0
NP_593457.1,NP_597467.2,300.0
NP_594206.1,NP_586409.1,297.0
NP_001342852.1,NP_585875.1,297.0
NP_595275.1,NP_586409.1,297.0
NP_587881.1,NP_586003.1,295.0
NP_593138.1,NP_585787.1,295.0
NP_595092.1,NP_586175.2,294.0
NP_595279.1,NP_001402217.1,294.0
NP_594170.1,NP_597493.1,293.0
NP_593468.1,NP_001402211.1,293.0
NP_594854.1,NP_001402371.1,293.0
NP_587921.1,NP_597319.1,292.0
NP_594652.1,NP_586284.2,292.0
NP_594396.1,NP_586253.1,291.0
NP_594290.1,NP_001402294.1,290.0
NP_595793.1,NP_586253.1,290.0
NP_592933.1,NP_001402150.1,289.0
NP_587902.1,NP_586481.1,289.0
NP_593129.1,NP_586063.2,288.0
NP_595125.1,NP_001402421.1,287.0
NP_595369.1,NP_585807.1,286.0
NP_592849.1,NP_585849.1,285.0
NP_588561.1,NP_586387.1,285.0
NP_596607.1,NP_597496.1,284.0
NP_593184.1,NP_597600.2,284.0
NP_595123.2,NP_584797.1,283.0
NP_593458.1,NP_586147.1,281.0
NP_588385.2,NP_597215.1,280.0
NP_594630.1,NP_586181.1,279.0
NP_596510.1,NP_597213.1,279.0
NP_595879.1,NP_597213.1,279.0
NP_001018849.1,NP_585964.1,278.0
NP_592863.1,NP_001402371.1,278.0
NP_594759.1,NP_585849.1,277.0
NP_587731.1,NP_586247.1,277.0
NP_594882.1,NP_585784.1,276.0
NP_593106.1,NP_584765.1,276.0
NP_587757.1,NP_584794.2,275.0
NP_595255.1,NP_584794.2,275.0
NP_594440.1,NP_584794.2,275.0
NP_594907.2,NP_586506.1,274.0
NP_595760.1,NP_597600.2,274.0
NP_595939.1,NP_597462.1,274.0
NP_593952.1,NP_586186.1,273.0
NP_596171.1,NP_584714.1,273.0
NP_594564.1,NP_597178.1,273.0
NP_001342781.1,NP_001402443.1,273.0
NP_587984.1,NP_597238.1,271.0
NP_594325.1,NP_597365.1,271.0
NP_595380.1,NP_597600.2,271.0
NP_595614.2,NP_584797.1,271.0
NP_587868.1,NP_586482.1,271.0
NP_593077.1,NP_001402391.1,271.0
NP_593325.1,NP_586247.1,270.0
NP_593916.1,NP_597600.2,270.0
NP_592935.1,NP_597471.1,270.0
