query,subject,score
NP_011967.1,XP_444849.1,5454.0
NP_013207.1,XP_449846.1,4838.0
NP_012405.2,XP_449022.1,3962.0
NP_014413.1,XP_449236.1,3931.0
NP_010110.1,XP_448821.1,3698.0
NP_010745.3,XP_448497.1,3548.0
NP_012035.1,XP_447350.1,3514.0
NP_011546.3,XP_446406.1,3404.0
NP_013446.1,XP_446406.1,3395.0
NP_013188.1,XP_449299.1,3293.0
NP_014137.1,XP_448057.1,3249.0
NP_012739.1,XP_445436.1,3247.0
NP_015093.1,XP_445956.1,3224.0
NP_012719.2,XP_445995.1,3224.0
NP_012600.1,XP_445995.1,3223.0
NP_011320.3,XP_445495.1,3203.0
NP_013060.1,XP_445315.1,3142.0
NP_009698.3,XP_449781.1,3086.0
NP_011787.4,XP_446387.1,3041.0
NP_012137.3,XP_446746.1,2992.0
NP_010141.1,XP_447415.1,2971.0
NP_014986.3,XP_445928.1,2960.0
NP_011309.1,XP_444929.1,2914.0
NP_014560.1,XP_447593.1,2804.0
NP_015243.1,XP_447036.1,2713.0
NP_015267.1,XP_449665.1,2695.0
NP_010454.3,XP_445724.2,2662.0
NP_009694.3,XP_445202.1,2602.0
NP_014759.1,XP_449275.1,2596.0
NP_014036.1,XP_449945.1,2563.0
NP_009767.1,XP_449587.1,2515.0
NP_014971.1,XP_446003.1,2487.0
NP_010412.1,XP_449840.1,2476.0
NP_009551.2,XP_449804.1,2471.0
NP_013934.1,XP_449236.1,2457.0
NP_010694.1,XP_446088.1,2444.0
NP_014794.3,XP_448959.1,2444.0
NP_011733.3,XP_445066.1,2430.0
NP_010569.3,XP_446850.1,2411.0
NP_014796.3,XP_449421.1,2388.0
NP_011093.3,XP_449281.1,2377.0
NP_010419.3,XP_449053.1,2375.0
NP_116648.2,XP_449151.1,2370.0
NP_013534.3,XP_449389.1,2363.0
NP_010294.1,XP_447461.1,2357.0
NP_012529.3,XP_445554.1,2357.0
NP_013559.1,XP_446812.1,2353.0
NP_015510.1,XP_446794.1,2344.0
NP_010017.2,XP_445707.1,2325.0
NP_015335.1,XP_447785.1,2296.0
NP_011700.1,XP_447205.1,2295.0
NP_010378.1,XP_449281.1,2241.0
NP_011631.1,XP_448983.1,2217.0
NP_014973.1,XP_446088.1,2208.0
NP_011797.3,XP_446375.1,2194.0
NP_013408.1,XP_445685.1,2157.0
NP_013885.1,XP_446989.1,2149.0
NP_014850.1,XP_448895.1,2148.0
NP_009376.2,XP_446634.1,2143.0
NP_011575.1,XP_448421.1,2142.0
NP_013956.1,XP_449557.1,2132.0
NP_009777.1,XP_446270.1,2130.0
NP_011453.1,XP_446270.1,2125.0
NP_013052.1,XP_445860.1,2107.0
NP_014311.3,XP_447949.1,2080.0
NP_015442.1,XP_445611.1,2071.0
NP_012426.1,XP_446551.1,2070.0
NP_014128.2,XP_448065.1,2069.0
NP_009673.1,XP_448559.1,2067.0
NP_011091.1,XP_449279.1,2059.0
NP_014654.1,XP_446033.1,2050.0
NP_116674.2,XP_448671.1,2041.0
NP_010883.3,XP_448834.1,2032.0
NP_012056.1,XP_449926.1,2031.0
NP_011734.3,XP_445065.1,2016.0
NP_014297.3,XP_446650.1,2006.0
NP_010622.1,XP_449394.1,1999.0
NP_014468.3,XP_447461.1,1994.0
NP_013488.3,XP_447017.1,1986.0
NP_014934.1,XP_449832.1,1976.0
NP_011342.1,XP_449030.1,1938.0
NP_009477.1,XP_446507.1,1929.0
NP_012252.1,XP_446033.1,1919.0
NP_010181.2,XP_449097.1,1893.0
NP_013827.1,XP_448376.1,1886.0
NP_014736.1,XP_448935.1,1882.0
NP_011082.3,XP_447533.1,1872.0
NP_011888.1,XP_447742.1,1868.0
NP_011608.1,XP_446497.1,1866.0
NP_013350.1,XP_445123.1,1855.0
NP_015098.1,XP_445575.1,1852.0
NP_012643.3,XP_445387.1,1851.0
NP_012485.1,XP_447920.1,1842.0
NP_116579.1,XP_449361.1,1840.0
NP_014933.3,XP_449556.1,1828.0
NP_014384.3,XP_445123.1,1825.0
NP_010136.1,XP_447410.1,1825.0
NP_014267.1,XP_448638.1,1817.0
NP_014567.2,XP_447598.1,1802.0
NP_013923.1,XP_449227.1,1798.0
NP_012216.1,XP_448805.1,1795.0
NP_015165.1,XP_447863.1,1789.0
NP_011035.1,XP_446513.1,1783.0
NP_012141.1,XP_446741.1,1780.0
NP_013652.1,XP_449253.1,1772.0
NP_012140.1,XP_446743.1,1765.0
NP_013526.1,XP_447908.1,1765.0
NP_015107.1,XP_445944.1,1760.0
NP_013086.1,XP_445834.1,1749.0
NP_013475.1,XP_446572.1,1743.0
NP_009804.1,XP_445248.1,1736.0
NP_011756.1,XP_446318.1,1712.0
NP_012712.1,XP_448238.1,1711.0
NP_012707.1,XP_448234.1,1709.0
NP_012793.2,XP_448376.1,1707.0
NP_014621.1,XP_446987.1,1706.0
NP_116617.1,XP_448765.1,1689.0
NP_011365.1,XP_445907.1,1689.0
NP_010066.1,XP_446609.1,1688.0
NP_013514.1,XP_449773.1,1688.0
NP_013502.3,XP_445288.1,1686.0
NP_010587.1,XP_446862.1,1681.0
NP_014980.3,XP_445923.1,1670.0
NP_009474.1,XP_446509.1,1659.0
NP_011099.1,XP_449287.1,1657.0
NP_010425.1,XP_445037.1,1652.0
NP_011604.3,XP_446493.1,1647.0
NP_010323.3,XP_448738.1,1642.0
NP_014776.1,XP_444908.1,1642.0
NP_013074.1,XP_446531.1,1642.0
NP_010673.1,XP_444908.1,1642.0
NP_010325.1,XP_448738.1,1640.0
NP_010324.3,XP_448738.1,1639.0
NP_013932.1,XP_449235.1,1625.0
NP_014948.1,XP_447665.1,1621.0
NP_009445.2,XP_449751.1,1617.0
NP_012956.3,XP_448908.1,1615.0
NP_013847.1,XP_448390.1,1611.0
NP_015313.1,XP_449156.1,1600.0
NP_015486.1,XP_446184.1,1593.0
NP_009579.1,XP_445161.1,1590.0
NP_011359.1,XP_445912.1,1584.0
NP_010579.1,XP_446854.1,1583.0
NP_010892.1,XP_447385.1,1579.0
NP_010577.3,XP_446852.1,1577.0
NP_015351.1,XP_448450.1,1571.0
NP_011308.1,XP_445310.1,1570.0
