query,subject,score
NP_012405.2,XP_001590813.1,2939.0
NP_014413.1,XP_001592109.1,2914.0
NP_010110.1,XP_001591223.1,2653.0
NP_013446.1,XP_001586992.1,2420.0
NP_015093.1,XP_001585982.1,2412.0
NP_011546.3,XP_001586992.1,2410.0
NP_012739.1,XP_001585981.1,2399.0
NP_012719.2,XP_001586369.1,2250.0
NP_012600.1,XP_001586369.1,2186.0
NP_013934.1,XP_001592109.1,2160.0
NP_011967.1,XP_001597533.1,2112.0
NP_013207.1,XP_001589045.1,2087.0
NP_014137.1,XP_001586904.1,2077.0
NP_012980.1,XP_001590746.1,2043.0
NP_012035.1,XP_001595120.1,2030.0
NP_014036.1,XP_001586992.1,1960.0
NP_011787.4,XP_001585979.1,1954.0
NP_011309.1,XP_001586262.1,1877.0
NP_010141.1,XP_001593006.1,1860.0
NP_013060.1,XP_001592808.1,1858.0
NP_011099.1,XP_001594627.1,1708.0
NP_014794.3,XP_001598796.1,1703.0
NP_009777.1,XP_001586261.1,1610.0
NP_011453.1,XP_001586261.1,1602.0
NP_014850.1,XP_001595664.1,1601.0
NP_014759.1,XP_001588093.1,1576.0
NP_010412.1,XP_001585666.1,1535.0
NP_012707.1,XP_001588149.1,1517.0
NP_011320.3,XP_001595642.1,1503.0
NP_015243.1,XP_001591756.1,1502.0
NP_014986.3,XP_001589882.1,1440.0
NP_015335.1,XP_001585849.1,1356.0
NP_011507.1,XP_001595647.1,1352.0
NP_010419.3,XP_001592006.1,1346.0
NP_014796.3,XP_001597846.1,1345.0
NP_012141.1,XP_001593012.1,1343.0
NP_014384.3,XP_001585264.1,1341.0
NP_015289.1,XP_001595647.1,1341.0
NP_014971.1,XP_001598118.1,1330.0
NP_013350.1,XP_001585264.1,1329.0
NP_014973.1,XP_001597846.1,1326.0
NP_014267.1,XP_001587121.1,1322.0
NP_116579.1,XP_001590648.1,1319.0
NP_010694.1,XP_001597846.1,1317.0
NP_011575.1,XP_001597620.1,1317.0
NP_010883.3,XP_001590405.1,1302.0
NP_010157.1,XP_001595101.1,1263.0
NP_014776.1,XP_001597147.1,1256.0
NP_010673.1,XP_001597147.1,1256.0
NP_010993.1,XP_001588490.1,1251.0
NP_013052.1,XP_001598536.1,1240.0
NP_012712.1,XP_001590519.1,1237.0
NP_010136.1,XP_001587889.1,1236.0
NP_013827.1,XP_001592741.1,1230.0
NP_012485.1,XP_001595862.1,1222.0
NP_010454.3,XP_001584976.1,1221.0
NP_014311.3,XP_001597734.1,1205.0
NP_009673.1,XP_001590445.1,1199.0
NP_012793.2,XP_001592741.1,1197.0
NP_013407.1,XP_001587807.1,1195.0
NP_010294.1,XP_001597846.1,1191.0
NP_012198.3,XP_001588490.1,1189.0
NP_009640.1,XP_001595805.1,1179.0
NP_010181.2,XP_001587512.1,1158.0
NP_011720.3,XP_001595805.1,1153.0
NP_009531.1,XP_001589102.1,1136.0
NP_015267.1,XP_001597846.1,1131.0
NP_015165.1,XP_001588282.1,1123.0
NP_013923.1,XP_001593936.1,1121.0
NP_014948.1,XP_001588329.1,1120.0
NP_009376.2,XP_001590049.1,1115.0
NP_014468.3,XP_001597846.1,1115.0
NP_012643.3,XP_001590813.1,1113.0
NP_009579.1,XP_001594456.1,1109.0
NP_009804.1,XP_001588329.1,1100.0
NP_011395.1,XP_001589848.1,1099.0
NP_012216.1,XP_001590243.1,1096.0
NP_014934.1,XP_001598115.1,1095.0
NP_011828.1,XP_001598536.1,1078.0
NP_013914.1,XP_001595388.1,1077.0
NP_011365.1,XP_001592061.1,1051.0
NP_014980.3,XP_001593079.1,1050.0
NP_014621.1,XP_001597366.1,1043.0
NP_010929.3,XP_001585297.1,1043.0
NP_011051.3,XP_001595619.1,1038.0
NP_011734.3,XP_001588624.1,1026.0
NP_013086.1,XP_001592006.1,1026.0
NP_012140.1,XP_001591571.1,1023.0
NP_015098.1,XP_001593480.1,1017.0
NP_011342.1,XP_001591051.1,1010.0
NP_013956.1,XP_001595034.1,998.0
NP_010323.3,XP_001592311.1,998.0
NP_010324.3,XP_001592311.1,998.0
NP_010325.1,XP_001592311.1,992.0
NP_013170.1,XP_001589746.1,989.0
NP_014933.3,XP_001591571.1,983.0
NP_015107.1,XP_001590480.1,983.0
NP_012765.3,XP_001594581.1,982.0
NP_009373.1,XP_001598118.1,981.0
NP_012774.1,XP_001591238.1,977.0
NP_009530.1,XP_001598933.1,977.0
NP_013076.1,XP_001598048.1,977.0
NP_013408.1,XP_001586322.1,976.0
NP_009396.2,XP_001598048.1,973.0
NP_011608.1,XP_001594420.1,970.0
NP_013911.1,XP_001591945.1,966.0
NP_012123.1,XP_001591079.1,963.0
NP_014015.1,XP_001596870.1,960.0
NP_011029.3,XP_001598048.1,960.0
NP_015084.1,XP_001591945.1,956.0
NP_012500.3,XP_001596050.1,956.0
NP_012490.1,XP_001591238.1,956.0
NP_010524.3,XP_001597359.1,953.0
