query,subject,score
NP_593861.1,XP_459423.2,3330.0
NP_593055.1,XP_456785.1,2961.0
NP_593271.1,XP_457211.1,2751.0
NP_588370.1,XP_002770490.1,2557.0
NP_595359.2,XP_002770885.1,2439.0
NP_595777.1,XP_002770830.1,2332.0
NP_593823.1,XP_457388.1,2280.0
NP_588501.1,XP_457762.1,2163.0
NP_595673.1,XP_002770038.1,2152.0
NP_594032.1,XP_457762.1,2038.0
NP_596354.1,XP_002770523.1,2038.0
NP_594370.1,XP_457311.1,2022.0
NP_596275.1,XP_002770885.1,1910.0
NP_593101.2,XP_002770594.1,1901.0
NP_596560.1,XP_462429.2,1885.0
NP_595971.1,XP_457762.1,1861.0
NP_593346.1,XP_462098.2,1851.0
NP_594148.1,XP_002770420.1,1830.0
NP_594766.1,XP_457762.1,1778.0
NP_593690.1,XP_002777730.1,1695.0
NP_595506.1,XP_462102.2,1691.0
NP_594133.1,XP_002770648.1,1673.0
NP_595819.2,XP_461338.1,1662.0
NP_596300.1,XP_002770194.1,1650.0
NP_596685.1,XP_002770173.1,1596.0
NP_596080.2,XP_002770778.1,1581.0
NP_595900.1,XP_458082.2,1578.0
NP_594314.1,XP_002770283.1,1499.0
NP_593296.1,XP_002770711.1,1486.0
NP_001342896.1,XP_461796.1,1394.0
NP_587863.1,XP_461796.1,1394.0
NP_595569.1,XP_456601.1,1385.0
NP_592862.1,XP_002770830.1,1381.0
NP_593669.1,XP_460515.2,1379.0
NP_596486.1,XP_002770729.1,1349.0
NP_001342839.1,XP_458244.1,1341.0
NP_596124.1,XP_002770696.1,1308.0
NP_593326.1,XP_461271.1,1305.0
NP_592810.1,XP_002770573.1,1297.0
NP_595805.1,XP_459406.2,1296.0
NP_588285.1,XP_461401.1,1295.0
NP_001342827.1,XP_459011.2,1281.0
NP_001342921.1,XP_461077.2,1281.0
NP_001342911.1,XP_457080.1,1272.0
NP_593287.2,XP_462191.1,1272.0
NP_594360.1,XP_456711.1,1269.0
NP_587959.2,XP_456711.1,1267.0
NP_595772.1,XP_461134.1,1258.0
NP_594491.1,XP_461790.1,1256.0
NP_001342861.1,XP_462077.2,1248.0
NP_594882.1,XP_002770764.1,1242.0
NP_587932.3,XP_456503.2,1242.0
NP_593943.3,XP_460066.2,1229.0
NP_595435.1,XP_458016.2,1229.0
NP_595402.1,XP_458067.2,1227.0
NP_001342779.1,XP_461109.2,1214.0
NP_595279.1,XP_002770319.1,1208.0
NP_592849.1,XP_459841.2,1207.0
NP_592809.1,XP_002770573.1,1202.0
NP_593252.1,XP_002770746.1,1195.0
NP_593971.1,XP_002770461.1,1189.0
NP_593640.1,XP_456501.2,1187.0
NP_595055.1,XP_460066.2,1164.0
NP_593660.1,XP_462077.2,1153.0
NP_593253.1,XP_459081.2,1149.0
NP_593025.1,XP_462055.2,1140.0
NP_594031.2,XP_459431.1,1133.0
NP_593474.1,XP_459707.2,1123.0
NP_595256.1,XP_462568.1,1119.0
NP_001018299.1,XP_002770708.1,1092.0
NP_594555.1,XP_457387.2,1086.0
NP_596189.3,XP_460250.1,1065.0
NP_594954.1,XP_457387.2,1064.0
NP_596437.2,XP_462568.1,1060.0
NP_595937.1,XP_456737.1,1056.0
NP_593370.1,XP_459649.2,1050.0
NP_594396.1,XP_458629.1,1046.0
NP_588421.1,XP_459019.1,1045.0
NP_587882.1,XP_002770571.1,1044.0
NP_593704.1,XP_459019.1,1043.0
NP_587890.1,XP_461694.2,1042.0
NP_592832.2,XP_460532.2,1038.0
NP_593979.1,XP_462313.2,1037.0
NP_596653.1,XP_461958.2,1037.0
NP_596858.1,XP_457787.1,1036.0
NP_594861.1,XP_461131.2,1028.0
NP_593720.1,XP_459054.2,1024.0
NP_596800.2,XP_459011.2,1021.0
NP_588472.2,XP_461680.2,1016.0
NP_588004.2,XP_460031.1,1012.0
NP_588095.1,XP_456821.2,1008.0
NP_595102.2,XP_461620.1,1002.0
NP_593217.1,XP_456542.2,999.0
NP_596180.1,XP_002770131.1,999.0
NP_595098.1,XP_460949.1,998.0
NP_588492.1,XP_458708.1,997.0
NP_594759.1,XP_458780.2,996.0
NP_595477.1,XP_461279.2,993.0
NP_593572.1,XP_458244.1,991.0
NP_596117.1,XP_460208.2,980.0
NP_595343.1,XP_457216.2,980.0
NP_594538.2,XP_002770683.1,972.0
NP_594365.1,XP_458918.1,951.0
NP_588348.1,XP_459682.1,951.0
NP_596503.1,XP_459498.2,941.0
NP_593609.1,XP_456466.1,933.0
NP_595246.1,XP_461943.2,932.0
NP_595148.1,XP_457160.1,932.0
NP_595946.1,XP_458908.2,926.0
NP_594576.1,XP_458182.1,926.0
NP_587771.1,XP_456405.2,926.0
NP_594186.1,XP_460862.2,926.0
NP_593260.1,XP_461610.2,926.0
NP_596614.1,XP_458410.2,925.0
NP_593352.1,XP_456648.1,924.0
NP_596545.1,XP_457383.1,924.0
NP_593080.1,XP_002770466.1,923.0
NP_593459.1,XP_458029.1,923.0
NP_594319.1,XP_459635.1,922.0
NP_596526.1,XP_457124.2,920.0
NP_593437.1,XP_460673.1,918.0
NP_595686.2,XP_457324.2,917.0
NP_001342702.1,XP_461473.1,911.0
NP_594290.1,XP_002770263.1,907.0
NP_596732.1,XP_462080.1,907.0
NP_594862.1,XP_459174.1,905.0
NP_001342826.1,XP_002770111.1,905.0
NP_595304.1,XP_002770411.1,904.0
NP_595472.2,XP_459937.1,903.0
NP_588091.1,XP_459783.2,899.0
NP_593777.1,XP_459006.2,899.0
NP_587900.1,XP_459434.1,897.0
NP_593691.1,XP_460830.2,896.0
NP_593245.1,XP_456398.1,895.0
NP_595793.1,XP_458629.1,895.0
NP_595403.1,XP_461182.2,895.0
NP_595949.1,XP_462158.1,890.0
NP_588149.1,XP_458121.2,890.0
NP_596713.1,XP_461148.2,884.0
NP_595060.1,XP_457283.2,883.0
NP_595392.1,XP_002770099.1,876.0
NP_001342849.1,XP_459838.2,870.0
NP_588027.1,XP_461010.1,864.0
NP_593935.1,XP_459646.1,862.0
NP_588025.2,XP_460911.2,862.0
NP_001342913.1,XP_462470.2,860.0
NP_593218.1,XP_458159.2,853.0
NP_001342928.1,XP_460456.2,853.0
NP_595890.2,XP_002770450.1,847.0
NP_595837.1,XP_461948.2,846.0
NP_595438.1,XP_456813.1,845.0
NP_595792.1,XP_458749.2,845.0
NP_596011.1,XP_461639.1,845.0
NP_596066.1,XP_460538.1,841.0
NP_594623.1,XP_460251.1,834.0
NP_587795.1,XP_458026.1,833.0
NP_596233.1,XP_458708.1,833.0
NP_587701.1,XP_002770282.1,832.0
NP_593112.1,XP_002770862.1,830.0
NP_595810.1,XP_462464.1,827.0
NP_593254.1,XP_462610.2,819.0
NP_594487.2,XP_457828.1,819.0
NP_587766.1,XP_461497.2,815.0
NP_594919.1,XP_459057.2,811.0
NP_593894.1,XP_002770313.1,811.0
NP_587877.1,XP_457310.2,810.0
NP_592939.1,XP_457519.1,808.0
NP_596329.1,XP_461359.2,807.0
NP_593277.1,XP_002770886.1,806.0
NP_593520.1,XP_002770596.1,805.0
NP_587757.1,XP_460533.1,805.0
NP_595255.1,XP_460533.1,805.0
NP_595586.1,XP_002770677.1,805.0
NP_594440.1,XP_460533.1,805.0
NP_596745.1,XP_461335.2,802.0
NP_596319.1,XP_459434.1,802.0
NP_596381.1,XP_457433.2,801.0
NP_588291.2,XP_459020.1,801.0
NP_593890.1,XP_002770013.1,797.0
NP_594731.1,XP_458590.2,795.0
NP_593483.1,XP_461343.1,795.0
NP_596355.1,XP_460127.2,793.0
NP_595153.2,XP_460211.2,789.0
NP_596049.2,XP_002770854.1,786.0
NP_595892.1,XP_460656.1,785.0
NP_593985.1,XP_461794.1,785.0
NP_593151.1,XP_460631.1,784.0
NP_594902.1,XP_461787.2,784.0
NP_001342717.1,XP_457374.1,781.0
NP_595382.1,XP_461633.2,778.0
NP_593816.1,XP_002770514.1,778.0
NP_594488.1,XP_462428.1,777.0
NP_593996.1,XP_458606.2,768.0
NP_001342938.1,XP_458606.2,767.0
NP_596162.1,XP_458274.1,767.0
NP_596014.1,XP_458195.2,766.0
NP_596859.1,XP_457788.1,764.0
NP_595653.1,XP_002770228.1,764.0
NP_593729.1,XP_459092.2,764.0
NP_594155.1,XP_460123.2,764.0
NP_588502.1,XP_458161.2,761.0
NP_594060.2,XP_461248.1,761.0
NP_594219.2,XP_458057.2,759.0
NP_596635.1,XP_460936.1,757.0
NP_594312.1,XP_460848.1,754.0
NP_588142.1,XP_462468.2,754.0
NP_592838.1,XP_458637.2,751.0
NP_595335.1,XP_458058.2,749.0
NP_595409.1,XP_460488.1,747.0
NP_596209.1,XP_460799.2,746.0
NP_595086.1,XP_457082.2,744.0
NP_593557.1,XP_458064.2,742.0
NP_588235.1,XP_458872.2,740.0
NP_593490.1,XP_457304.2,739.0
NP_592894.1,XP_459575.1,739.0
NP_596689.2,XP_460715.2,734.0
NP_594564.1,XP_459935.2,733.0
NP_594414.1,XP_456718.2,732.0
NP_596289.1,XP_460160.2,731.0
NP_592919.1,XP_461087.2,730.0
NP_001018763.1,XP_460312.2,729.0
NP_593069.1,XP_456540.2,726.0
NP_001342707.1,XP_457858.2,726.0
NP_001342776.1,XP_459177.1,722.0
NP_596735.1,XP_002770815.1,722.0
NP_593129.1,XP_460162.2,719.0
