query,subject,score
NP_013207.1,XP_722762.2,3821.0
NP_011967.1,XP_716758.2,3666.0
NP_012035.1,XP_716279.1,3276.0
NP_012405.2,XP_712650.2,3245.0
NP_014413.1,XP_718624.1,3224.0
NP_012719.2,XP_714879.2,2932.0
NP_010110.1,XP_718845.2,2853.0
NP_011546.3,XP_721429.2,2836.0
NP_013446.1,XP_721429.2,2827.0
NP_012600.1,XP_714879.2,2808.0
NP_015093.1,XP_723161.2,2712.0
NP_012739.1,XP_716817.1,2624.0
NP_014137.1,XP_712655.2,2567.0
NP_011787.4,XP_721889.2,2505.0
NP_009767.1,XP_713590.2,2489.0
NP_010141.1,XP_719414.1,2445.0
NP_014986.3,XP_710723.2,2409.0
NP_013060.1,XP_711864.2,2349.0
NP_014759.1,XP_715412.1,2314.0
NP_013934.1,XP_718624.1,2304.0
NP_011309.1,XP_710836.2,2262.0
NP_012980.1,XP_723208.2,2058.0
NP_014036.1,XP_721429.2,1989.0
NP_014850.1,XP_710802.1,1975.0
NP_014794.3,XP_718172.1,1972.0
NP_015335.1,XP_720354.1,1957.0
NP_015243.1,XP_712928.2,1956.0
NP_011320.3,XP_717136.2,1935.0
NP_010412.1,XP_722769.2,1848.0
NP_009777.1,XP_720913.2,1835.0
NP_014971.1,XP_722219.1,1820.0
NP_011453.1,XP_720913.2,1819.0
NP_011575.1,XP_711102.1,1805.0
NP_014796.3,XP_723209.2,1736.0
NP_015510.1,XP_710991.1,1732.0
NP_010419.3,XP_721319.2,1722.0
NP_012137.3,XP_721767.2,1699.0
NP_012643.3,XP_717912.1,1683.0
NP_009673.1,XP_721469.2,1679.0
NP_010694.1,XP_717617.2,1678.0
NP_014973.1,XP_723209.2,1665.0
NP_009551.2,XP_710441.2,1647.0
NP_010745.3,XP_715318.2,1643.0
NP_011093.3,XP_716771.2,1642.0
NP_010378.1,XP_716771.2,1636.0
NP_009376.2,XP_719874.1,1623.0
NP_014384.3,XP_711356.2,1616.0
