query,subject,score
NP_014794.3,NP_586140.1,1397.0
NP_010141.1,NP_597540.1,1311.0
NP_014850.1,NP_586343.1,1164.0
NP_014311.3,NP_584718.1,1142.0
NP_014759.1,NP_585937.2,1121.0
NP_010157.1,NP_001402211.1,923.0
NP_014137.1,NP_586236.2,856.0
NP_010993.1,NP_586207.1,855.0
NP_012198.3,NP_586207.1,850.0
NP_009477.1,NP_586416.1,821.0
NP_014986.3,NP_584825.1,795.0
NP_010181.2,NP_001402296.1,760.0
NP_012123.1,NP_001402192.1,759.0
NP_009685.3,NP_586219.1,757.0
NP_015239.1,NP_597239.2,748.0
NP_011608.1,NP_584798.1,712.0
NP_015335.1,NP_597555.2,709.0
NP_012818.1,NP_586057.1,705.0
NP_012035.1,NP_584759.2,704.0
NP_011888.1,NP_584783.2,702.0
NP_116616.1,NP_597591.1,702.0
NP_011098.3,NP_585776.1,692.0
NP_010376.3,NP_586464.1,688.0
NP_009530.1,NP_584768.1,667.0
NP_014776.1,NP_586452.1,665.0
NP_010673.1,NP_586452.1,665.0
NP_014948.1,NP_586247.1,660.0
NP_012216.1,NP_001402397.1,659.0
NP_116614.1,NP_001402130.1,631.0
NP_012579.1,NP_586360.1,627.0
NP_116578.3,NP_586084.1,615.0
NP_009365.1,NP_001402259.1,613.0
NP_013625.1,NP_586048.1,608.0
NP_013582.1,NP_586048.1,608.0
NP_009804.1,NP_586247.1,606.0
NP_010884.1,NP_586360.1,599.0
NP_012712.1,NP_597602.1,595.0
NP_014980.3,NP_584674.1,587.0
NP_012777.1,NP_597641.1,568.0
NP_013207.1,NP_597317.1,565.0
NP_012485.1,NP_584774.1,565.0
NP_011467.1,NP_001402438.1,563.0
NP_015344.1,NP_584640.1,558.0
NP_013376.1,NP_585790.1,553.0
NP_011884.1,NP_584661.2,545.0
NP_010682.3,NP_597323.1,537.0
NP_009373.1,NP_584783.2,535.0
NP_011314.2,NP_597420.2,534.0
NP_013473.1,NP_586360.1,521.0
NP_014971.1,NP_584783.2,520.0
NP_012926.1,NP_586287.2,520.0
NP_009347.1,NP_597371.1,518.0
NP_013074.1,NP_586448.1,514.0
NP_010277.1,NP_586091.1,513.0
NP_012598.1,NP_585855.1,513.0
NP_012500.3,NP_586360.1,510.0
NP_010322.1,NP_584742.2,503.0
NP_009912.2,NP_586483.1,503.0
NP_009579.1,NP_001402227.1,491.0
NP_013076.1,NP_586360.1,490.0
NP_011029.3,NP_586360.1,490.0
NP_009478.1,NP_586360.1,489.0
NP_010544.3,NP_586448.1,489.0
NP_009396.2,NP_586360.1,489.0
NP_010882.1,NP_597158.1,488.0
NP_009679.2,NP_586296.1,486.0
NP_014069.1,NP_597645.1,486.0
NP_015399.1,NP_585768.1,485.0
NP_010498.1,NP_597533.1,483.0
NP_015406.1,NP_586296.1,483.0
NP_013254.1,NP_597371.1,478.0
NP_009761.4,NP_001402388.1,478.0
NP_013379.1,NP_586205.2,478.0
NP_014267.1,NP_586143.1,477.0
NP_013501.1,NP_001402211.1,476.0
NP_011059.3,NP_586372.1,475.0
NP_010942.1,NP_001402155.1,473.0
NP_013797.1,NP_586281.2,472.0
NP_009675.3,NP_585768.1,471.0
NP_014902.3,NP_585947.1,470.0
NP_009636.3,NP_597649.1,468.0
NP_010929.3,NP_001402267.1,468.0
NP_014287.3,NP_597238.1,467.0
NP_014760.3,NP_586257.1,466.0
NP_010117.1,NP_584647.1,464.0
NP_013012.3,NP_001402267.1,464.0
NP_013911.1,NP_584635.1,462.0
NP_009364.1,NP_597382.1,462.0
NP_015084.1,NP_584635.1,457.0
