query,subject,score
NP_011967.1,NP_985248.2,5004.0
NP_013207.1,NP_986739.2,4982.0
NP_012405.2,NP_983665.2,3764.0
NP_012719.2,NP_985967.2,3701.0
NP_012035.1,NP_983156.2,3665.0
NP_014413.1,NP_982612.1,3655.0
NP_010110.1,NP_984386.2,3583.0
NP_012600.1,NP_985967.2,3453.0
NP_010745.3,NP_985161.2,3234.0
NP_012739.1,NP_984945.2,3074.0
NP_011320.3,NP_985716.2,3042.0
NP_012980.1,NP_983660.1,3002.0
NP_015093.1,NP_985412.2,2989.0
NP_014137.1,NP_986205.2,2978.0
NP_013446.1,NP_983223.2,2936.0
NP_011546.3,NP_983223.2,2917.0
NP_013060.1,NP_983340.2,2903.0
NP_011787.4,NP_983089.2,2902.0
NP_010141.1,NP_984182.2,2806.0
NP_014986.3,NP_984470.2,2793.0
NP_012137.3,NP_985234.2,2684.0
NP_014036.1,NP_986314.1,2631.0
NP_011309.1,NP_985215.2,2624.0
NP_015243.1,NP_984605.2,2577.0
NP_009551.2,NP_984855.2,2536.0
NP_014759.1,NP_985109.2,2525.0
NP_013934.1,NP_982612.1,2372.0
NP_009767.1,NP_984147.2,2360.0
NP_010454.3,NP_986520.2,2316.0
NP_014794.3,NP_985951.1,2291.0
NP_009694.3,NP_983055.2,2235.0
NP_010412.1,NP_986731.2,2234.0
NP_116648.2,NP_986644.2,2209.0
NP_010017.2,NP_983059.2,2206.0
NP_011099.1,NP_986779.1,2182.0
NP_010569.3,NP_982459.1,2165.0
NP_015335.1,NP_982975.2,2165.0
NP_014850.1,NP_983821.2,2145.0
NP_014971.1,NP_984450.1,2112.0
NP_012426.1,NP_985621.1,2060.0
NP_011575.1,NP_986120.1,2046.0
NP_013534.3,NP_984975.2,2043.0
NP_009777.1,NP_982705.2,2034.0
NP_015510.1,NP_984584.1,2033.0
NP_011453.1,NP_982705.2,2030.0
NP_011631.1,NP_982572.2,2021.0
NP_013956.1,NP_986113.2,1997.0
NP_010378.1,NP_986786.2,1984.0
NP_011093.3,NP_986786.2,1979.0
NP_011700.1,NP_982396.1,1977.0
NP_013408.1,NP_984064.1,1958.0
NP_011091.1,NP_986789.1,1955.0
